gene	call	pass_count	failed_gates	ms_genetic	cross_genetics	local_breadth	residual_or_perturbation	reachable_modality	not_blocked	direction_clear	strong_l2g_disease_count	strong_qtl_coloc_disease_count	ms_max_l2g_score	ms_max_relevant_qtl_h4	local_positive_disease_count	wave62_call	wave104_call	wave128_call	blocker_text
SELL	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;reachable_modality;direction_clear	False	False	True	False	False	True	False	1	2	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
SKAP2	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	2	0.1297453939914703	0.9567830397321068	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
ABO	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ACAP1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  |  |  |  |  |  |  |  |  |  nan     
ACTN1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ADGRF5	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
AHI1	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.8092803955078125	0.9791449523035092	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
AMZ1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ANXA6	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ARAP1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0541927069425582	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ARHGAP15	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ARHGEF17	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ASCC2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
ATP10B	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;reachable_modality;direction_clear	False	False	True	False	False	True	False	1	1	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
AZIN2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
BAZ1A	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
BCL10	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.8693645596504211	0.9832271214830944	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
C1QL2	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.836643636226654	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
C1QTNF6	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  |  |  |  |  |  |  |  |  |  nan     
CARD14	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
CCDC122	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  |  |  |  |  |  |  |  |  |  nan     
CCL20	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;not_blocked;direction_clear	False	False	True	False	True	False	False	1	1	0.0	0.0	4.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan True  |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features |  |  |  |  no_target_resolved_coloc_or_mr   NO_REOPEN_INSUFFICIENT_CONVERGENCE can
CCR1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
CD6	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;not_blocked;direction_clear	True	False	False	False	True	False	False	1	1	0.4538581669330597	0.9970602846065236	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan prior_branch_blocker_or_directionality_unresolved nan True  | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Direct clinical or therapeutic-class prior art blocks novelty. |  |  |  |       
CENPW	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;reachable_modality;direction_clear	False	False	True	False	False	True	False	1	1	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
CTRB1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
CTRB2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
CTSB	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;reachable_modality;not_blocked	False	False	False	True	False	False	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan True  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_independent_convergence_after_guardrails | NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY |  |  |   NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSUFFICIENT_CONVERGENCE cathepsi
CYP24A1	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.8928307294845581	0.9984951960317858	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
DDC	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
DLD	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  |  nan     
ETV7	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;reachable_modality;not_blocked	False	False	True	False	False	False	True	1	1	0.0737953037023544	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  | insufficient_breadth; not_surface_secreted_extracellular_by_uniprot; no_druggability_route |  |  |  |  nan   NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
EVI5	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.8633472323417664	0.9394418403961422	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
EXOC2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
EXOC3L4	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
FOXO1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
FRMD4B	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
FUBP1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
GFI1	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.5791015028953552	0.952591978762989	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
GLS	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
GPR132	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
GTF2I	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
HBS1L	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
IGF1R	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
IKZF2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
IL13	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
IL1F10	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
INS	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
IQCB1	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.6795490980148315	0.9081168999606112	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
IQGAP1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
KDM5B	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
KLF13	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
KLRC3	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
KLRG1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
LRRC43	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
MANBA	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
MFN2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
MUC1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;residual_or_perturbation;reachable_modality;direction_clear	False	False	True	False	False	True	False	1	1	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
NADSYN1	NO_PIVOT_TARGET	2	cross_genetics;local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	False	False	False	False	True	False	1	1	0.6544780135154724	0.9441308970700886	2.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_MS_GENETICS_NARROW_OR_WEAK		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |       
NCF4	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NELL1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NEU4	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NFATC2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NRP1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NTMT2	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |       
NXPE1	NO_PIVOT_TARGET	2	ms_genetic;cross_genetics;local_breadth;residual_or_perturbation;reachable_modality	False	False	False	False	False	True	True	1	1	0.0	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan False  |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  | insufficient_independent_convergence_after_guardrails |  |  |  |  nan     
