gene	intervention_class	wave83_call	total_score	reachability_score	cross_autoimmune_score	ms_score	perturbation_response_score	safety_prior_penalty	hard_failures	accessible_uniprot	manual_closure_reason	manual_closure_source	chembl_activity_count	chembl_target_id	wave34a_target_class	wave34a_modality	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	target_resolution_score	genetics_first_score	global_meta_score	model_support_contexts	model_strong_support_contexts	direct_selective	direct_selectivity_score	efferocytosis_screen_call	ibd_response_fdr10	wave68_call	l1000_wave24_call	wave39_call	wave62_call	wave34a_call	wave71_call	wave55_score	manual_prior_blocked	primary_route_note
SBNO2	nuclear_regulatory	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.7937416110598745	0.0	7.9	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	2.0	2.0	AITD;Crohn	1.0	0.0	0.0	0.3337161519905203	2.958277407065829	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	10.0	0	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; no_druggability_route
IL12B	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.784541893839835	1.0	6.0	2.0	0.0	2.0	weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	0			0.0				0.0		0.0	11.0	Crohn;PBC;Psoriasis;UC	8.0	0.6698761173306804	0.2347246460272134	0.8363232772483672	2.4536126255989075	0.0	-2.334	0.0	0.0	0	0.0		0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	22.5	1	prior_art_saturated_cytokine_axis
HDAC7	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.7643	1.0	5.5	0.0	0.0	0.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				2.0	Crohn disease;psoriasis	0.0	5.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.0	0.0	0.1076347161400334	0.0	0.0	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL					NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
RYR2	receptor_or_ligand_axis	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.7	2.0	3.7	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	MS	0.0	0.4121115507645501	1.7419257483873338	0.137559744547624	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				7.0	0	insufficient_breadth; reachable protein class by UniProt location/features
SPRED2	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.649717992805337	0.0	5.0	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				1.0	type 1 diabetes mellitus	0.0	6.0	Celiac;RA;SLE	1.0	0.6798598760820634	0.0	0.2238020768563351	2.368286618702247	0.0	1.1779	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	23.0	0	insufficient_independent_convergence_after_guardrails
DLD	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.622583188073791	0.0	5.3	0.0	2.0	1.0	weak_reachability;no_strong_ms_anchor	0			0.0				2.0	Crohn disease;type 1 diabetes mellitus	0.0	4.0	UC	1.0	0.0	0.0	0.13357150371378	2.1505545871586063	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			12.0	0	
PTGIR	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.6028085	0.5	3.7	0.0	2.5	0.0	weak_reachability;no_strong_ms_anchor	0			0.0				3.0	Crohn disease;psoriasis;ulcerative colitis	0.0	1.0	UC	0.0	0.0	0.7432535657857313	0.4732036963579258	0.0	0.0	-0.388766	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL	PARK_REVIEW				NO_REOPEN_INSUFFICIENT_CONVERGENCE	7.0	0	insufficient_independent_convergence_after_guardrails
CD58	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.5642135645406	0.0	6.1	2.0	0.0	3.0	weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:genetic_anchor_without_state_response_and_prior_art_cd2_axis;no_high_confidence_directional_support	0	genetic_anchor_without_state_response_and_prior_art_cd2_axis	wave80/wave82 closure	0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	3.0	MS	2.0	0.9513845443725586	0.1797564428759965	0.3110884246237163	3.448185430270665	0.0	3.787943	0.0	0.0	0	0.0		0	DESCRIPTIVE_GENE_SIGNAL			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_REOPEN_INSUFFICIENT_CONVERGENCE	17.0	1	insufficient_independent_convergence_after_guardrails
MAP3K8	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.555115191827222	1.0	6.0	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				2.0	Crohn disease;ulcerative colitis	0.0	5.0	Crohn	1.0	0.0	0.0	0.353912834221494	2.2731012788481495	0.0	0.8566	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	16.0	0	insufficient_independent_convergence_after_guardrails
IL18R1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.552568886320874	2.0	5.0	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				0.0		0.0	6.0	AS;Celiac;Crohn;Psoriasis;RA;UC	3.0	0.0	0.0	0.1617058219734904	1.9217925754724912	0.0	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
CCL22	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.5499377890464725	2.0	3.2	0.0	2.0	1.0	weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor	1			0.0				1.0	ulcerative colitis	0.0	1.0	SLE	3.0	0.0	0.0	0.9127721326681087	2.332918593643152	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			5.0	0	
IFI30	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.547051073616485	0.0	5.2	2.0	2.0	2.0	weak_reachability;manual_or_prior_blocker	0			0.0				3.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	MS	3.0	0.6501023173332214	0.21016237009791	0.379946954952182	1.6470071574432383	0.0	-3.6	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	1	insufficient_independent_convergence_after_guardrails
IL27	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.545676556053796	0.0	5.3	0.0	2.0	1.0	weak_reachability;no_strong_ms_anchor	0			0.0				2.0	Crohn disease;ulcerative colitis	0.0	4.0	AS;Crohn;Psoriasis;UC	1.0	0.0	0.0	0.4096717150350237	1.637843707025307	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			12.0	0	
CXCL1	receptor_or_ligand_axis	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.449999999999999	2.0	6.0	1.0	0.0	2.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	3.0	0.0		0.0	0.0	1.2680322005771751	0.1506253392240219	0.0	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	3.0	1	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features
CXCL9	receptor_or_ligand_axis	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.449999999999999	2.0	3.0	2.0	2.0	2.0	weak_reachability;manual_or_prior_blocker	1			0.0				3.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0		0.0	0.0	2.5544176187121583	0.0309913568123503	0.0	0.0	-2.2	0.0	0.0	0	0.0	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	4.0	1	insufficient_breadth; generic_ifn_cytokine_or_chemokine_axis; reachable protein class by UniProt location/features
CARMIL1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.442425236558914	0.0	6.5	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	6.0	Celiac;RA;T1D	0.0	0.0	0.0	1.0	2.3088349103927612	0.0	2.3844	0.0	0.0	0	0.0		0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	21.0	0	insufficient_independent_convergence_after_guardrails
COG6	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.439572758935888	2.0	5.1	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0	CHEMBL4105962			2.0	Crohn disease;type 1 diabetes mellitus	0.0	3.0	Crohn;RA	2.0	0.0	0.1548633904039249	0.5706498550414025	2.263818392905927	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			12.0	0	
TNFSF11	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.389141218282624	1.0	5.8	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				1.0	ulcerative colitis	0.0	4.0	PBC	4.0	0.0	0.0	1.0	2.4206081218841633	0.0	0.9042	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	17.0	0	insufficient_independent_convergence_after_guardrails
TAGAP	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.377856511687688	0.0	4.5	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				1.0	Crohn disease	0.0	9.0	Celiac;Crohn;MS;Psoriasis;RA;T1D	0.0	0.8897240161895752	0.4550322625700271	0.2565170635340987	3.889210077917919	0.0	1.1779	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	23.0	0	insufficient_independent_convergence_after_guardrails
CARD9	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.375881921970173	1.1875	6.0	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0		intracellular adaptor	none selective	2.0	psoriasis;type 1 diabetes mellitus	0.0	5.0	AS;Crohn;Psoriasis;RA;UC	1.0	0.0	0.0	0.13197995180624	0.649046146467815	12.0375	-2.0434	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	NO_REOPEN_INSUFFICIENT_CONVERGENCE	16.0	0	Genetics may be broad, but current modality is absent or wrong-direction restoration.
SEL1L3	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.347625325620173	2.0	4.7	2.0	0.0	2.0	weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.0	1.0		0.0	0.0	0.922501683138024	0.0181382735511015	1.3175021708011627	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	4.0	1	insufficient_breadth; reachable protein class by UniProt location/features
PSMA3	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.2758695	2.0	4.0	1.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			4.0	CHEMBL6066934			4.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.0	0.0		0.0	0.0	0.4666329191743639	0.1222932329497812	0.0	0.0	1.103478	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	0	not_surface_secreted_extracellular_by_uniprot; core_machinery_or_hla_marker; ChEMBL exact target found; ChEMBL activity records: 4
RAD51B	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.2472576879501345	0.0	4.5	0.0	2.0	1.0	weak_reachability;no_strong_ms_anchor	0			0.0				1.0	type 1 diabetes mellitus	0.0	5.0	PBC;RA	0.0	0.0	0.5328164940259636	0.0994867490177902	1.2386345863342283	0.0	2.24585	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	19.0	0	insufficient_independent_convergence_after_guardrails
ZFP36L1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.240682282989659	0.0	5.0	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				0.0		0.0	5.0	Crohn;RA;T1D	3.0	0.6968469784779934	0.0	0.8367440032626986	2.3425485532643875	0.0	-0.4428	0.0	0.0	0	-0.0347031256553365	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
GAL	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.169291248264194	0.0	4.9	0.0	2.0	1.0	weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor	0			0.0				2.0	psoriasis;ulcerative colitis	0.0	2.0	AS	3.0	0.0	0.0	1.0	1.7952749884279613	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			6.0	0	
ELMO1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.137627117888257	0.0	4.5	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				0.0		0.0	7.0	PBC;Psoriasis	2.0	0.5108727446557169	0.0	0.115590147912949	2.333014119255044	0.0	1.1507	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	22.0	0	insufficient_independent_convergence_after_guardrails
GATA3	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.1286904927853065	0.0	4.5	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				0.0		0.0	6.0	RA;T1D	2.0	0.6790135416440723	0.0	0.6068498814068135	2.429269951902042	0.0	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
IL12RB2	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.1219203551694585	2.0	4.5	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				0.0		0.0	6.0	Crohn;PBC;SLE	2.0	0.0	0.139245532409824	0.895779015745345	2.3841357011297193	0.0	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
B3GNT2	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.054622462990036	0.0	4.5	0.0	2.0	1.0	weak_reachability;no_strong_ms_anchor	0			0.0				0.0		0.0	5.0	AS;Psoriasis	2.0	0.0	0.4106196557256041	0.1252096892166642	2.122483086600238	0.0	0.945	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	18.0	0	insufficient_independent_convergence_after_guardrails
SAA2	surface_secreted_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	2.0	5.0	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				4.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1.0	0.0		0.0	0.0	0.0900059811430504	0.9283295010838492	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				0.0	0	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features
ROMO1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	2.0	4.0	1.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				3.0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	1.0	0.0		0.0	0.0	0.4378196442775728	0.0660650677266765	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				0.0	0	insufficient_breadth; reachable protein class by UniProt location/features
SRPRB	receptor_or_ligand_axis	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	2.0	4.0	1.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				3.0	Crohn disease;psoriasis;ulcerative colitis	1.0	0.0		0.0	0.0	0.3675286242333886	0.2065821317720323	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				0.0	0	insufficient_breadth; reachable protein class by UniProt location/features
UQCRC1	transporter_or_trafficking	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	2.0	3.0	1.0	2.0	2.0	weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker	1			0.0				3.0	Crohn disease;psoriasis;type 1 diabetes mellitus	0.0	0.0		0.0	0.0	0.2554910437205446	0.1445881458805587	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				3.0	1	insufficient_breadth; not_surface_secreted_extracellular_by_uniprot; no_druggability_route; prior_demoted_or_class_blocked
NDUFB3	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	1.0	3.0	0.0	2.0	0.0	weak_reachability;no_strong_ms_anchor	0			0.0				3.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0		0.0	0.0	0.0	0.4352599649853882	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL						3.5	0	
PDE4B	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	6.0	1.0	3.0	0.0	2.0	0.0	weak_reachability;no_strong_ms_anchor	0			0.0				3.0	Crohn disease;psoriasis;ulcerative colitis	0.0	0.0		0.0	0.0	0.0	0.2820953249716317	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL						3.5	0	
IFIH1	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.9917367931127545	2.0	4.5	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0	CHEMBL4739862			1.0	ulcerative colitis	0.0	8.0	Psoriasis;T1D;UC	0.0	0.0	0.0762356111761359	0.838617040488483	1.4227452874183657	0.0	1.1133	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	21.0	0	insufficient_independent_convergence_after_guardrails
HHEX	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.9740645046949385	0.0	4.5	2.0	0.0	1.0	weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				1.0	type 1 diabetes mellitus	0.0	6.0	MS	0.0	0.8049300312995911	0.0042664676508863	0.9916450827045664	1.304930031299591	0.0	1.1133	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	21.0	0	insufficient_independent_convergence_after_guardrails
SLC44A2	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.96453844954265	0.0	2.2	2.0	2.0	0.0	weak_reachability;insufficient_cross_disease_breadth	0			0.0				1.0	Crohn disease	0.0	1.0	MS	1.0	0.6169834136962891	0.0	0.625406795080435	2.096922996950998	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	0	insufficient_independent_convergence_after_guardrails
NLRC5	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.961870854347945	0.0	5.7	2.0	0.0	2.0	weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	0			0.0				5.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	MS	0.0	0.5430619344017823	0.0	0.4867392295596717	1.7458056956529615	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION			10.0	1	no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; no_druggability_route; prior_demoted_or_class_blocked
LRIG3	surface_secreted_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.920206673443317	2.0	3.7	1.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	Celiac	0.0	0.0	1.4284885080798049	0.0537582280326119	1.468044489622116	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION			5.0	0	insufficient_breadth; reachable protein class by UniProt location/features
SEC61G	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.894807982444763	0.0	2.7	2.0	2.0	1.0	weak_reachability;insufficient_cross_disease_breadth	0			0.0				2.0	type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	MS	0.0	0.7987198829650879	0.0349436418700825	0.8769151120311164	1.298719882965088	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION			8.0	0	
IRF4	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.866885386934679	0.0	6.0	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	0			0.0				2.0	Sjogren syndrome;ulcerative colitis	0.0	7.0	Celiac;Psoriasis;RA;SLE;T1D	1.0	0.0	0.0444471151552097	0.910671703211036	3.861402579564523	0.0	1.1507	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	22.0	0	insufficient_independent_convergence_after_guardrails
IL21R	intracellular_other	NO_GO_NOT_REACHABLE_FIRST_CLASS	5.855560817859248	2.0	4.3	0.0	0.0	1.0	weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0				1.0	Crohn disease	0.0	4.0	Crohn;PBC;RA	1.0	0.0	0.0	0.1409791522949798	2.380905452394987	0.0	0.7937	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	15.0	0	insufficient_independent_convergence_after_guardrails
