candidate	source	mechanism	modality	source_call	base_score	support_summary	recommended_next_test	has_concrete_next_test	closure_reason	closed_or_blocked	no_go_source	concrete_bonus	closure_penalty	no_go_penalty	rerank_score
CEBPB	wave110	wave37:KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
DNAH9	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
GM20604	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
GM2825	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
HADHB	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
HEXB	wave110		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
IL12RB1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
KLHL33	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
LARP4B	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
LHX2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
MCMBP	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
NDST4	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
NKAIN2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
OBFC1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
OLFR266	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
OLFR615	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
PCDHB12	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
PLLP	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
PYDC3	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
SCGB1C1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
SEMA4G	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TAGAP1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TAS2R106	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TDRD1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TIAL1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TRIM46	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
TSC1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
VMN1R142	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
VMN2R87	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
LAMP2	wave91	lysosomal_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	3.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_LYSOSOMAL_MARKER_AUTOPHAGY_SYSTEMIC_RISK	True		False	True	0.5	0.0	-2.0	1.5
MERTK	wave91	complement_phagocytosis;lipid_loader_repair		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	3.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	PARK_TAM_EFFEROCYTOSIS_RECEPTOR_DIRECTION_AND_AGONISM_ROUTE_UNRESOLVED	True		False	True	0.5	0.0	-2.0	1.5
LILRB1_INHIBITORY_RECEPTOR	wave83	LILRB1 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_INTERVENTION_CLASS_META_RANK	2.8	ra_p=0.5065906412483463; ibd_p=0.1118133032868057	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True		False	True	0.5	0.0	-2.0	1.2999999999999998
LILRB3_INHIBITORY_RECEPTOR	wave83	LILRB3 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_INTERVENTION_CLASS_META_RANK	2.8	ra_p=0.1541707601082672; ibd_p=0.134413027972797	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True		False	True	0.5	0.0	-2.0	1.2999999999999998
CCL3	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	2.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=INSUFFICIENT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_BROAD_CHEMOKINE_REDUNDANCY	True		False	True	0.5	0.0	-2.0	1.0
CCL4	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	2.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=INSUFFICIENT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_BROAD_CHEMOKINE_REDUNDANCY	True		False	True	0.5	0.0	-2.0	1.0
MED16_MEDIATOR_MODULE	wave110	drug Mediator regulatory machinery, ideally via a selective CDK8/19 or Mediator-module strategy	small molecule or genetic perturbation depending on route	WETLAB_ONLY_MED16_SELECTIVE_NONDRUGGABLE_ROUTE	1.7899999999999998	reachable=1;prior=1;safety=0;response=0;direct=1;foundation=0;ms=0;genetics=0;specificity=0		False		False	False	-1.0	0.0	0.0	0.7899999999999998
NAAA_lipid_amide_preservation	wave83	NAAA_lipid_amide_preservation	small molecule or receptor/enzyme modulation	NO_GO_INTERVENTION_CLASS_META_RANK	2.0	biochem_diseases=0.0; treatment_hits=0.0	biochemical feature support is absent or underpowered	True		False	True	0.5	0.0	-2.0	0.5
CTSD_LYSOSOMAL_SPHINGOLIPID	wave83	CTSD lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	2.0	gate_pass=2/10	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	0.5
CTSS_LYSOSOMAL_SPHINGOLIPID	wave83	CTSS lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	2.0	gate_pass=2/10	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	0.5
GBA1_LYSOSOMAL_SPHINGOLIPID	wave83	GBA1 lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	2.0	gate_pass=1/10	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	0.5
SMPD1_LYSOSOMAL_SPHINGOLIPID	wave83	SMPD1 lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	2.0	gate_pass=1/10	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	0.5
PLIN2	wave91	lipid_loader_repair		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	2.0	ibd=NONRESPONSE_HIGH_WEAK; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_LIPID_DROPLET_MARKER_NOT_CONTROLLER	True		False	True	0.5	0.0	-2.0	0.5
NFKBIA	wave91	inflammatory_nfkb		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	2.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_GENERIC_NFKB_FEEDBACK_AXIS	True		False	True	0.5	0.0	-2.0	0.5
CD74	wave91	hla_ii_apc;ifn_apc;mif_cd74_receptor_state		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	2.0	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_BROAD_ANTIGEN_PRESENTATION_AXIS	True		False	True	0.5	0.0	-2.0	0.5
HEXA_RESIDUAL_ROUTE	wave83	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	NO_GO_INTERVENTION_CLASS_META_RANK	1.9	route_score=1.0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	True		False	True	0.5	0.0	-2.0	0.3999999999999999
HEXB_RESIDUAL_ROUTE	wave83	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	NO_GO_INTERVENTION_CLASS_META_RANK	1.5	route_score=1.0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	True		False	True	0.5	0.0	-2.0	0.0
MSR1	wave91	complement_phagocytosis;lipid_loader_repair		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5	ibd=NO_SUPPORT; ra=NO_SUPPORT; ms=MS_WM_UP_NOMINAL; wave62=nan	PARK_SCAVENGER_RECEPTOR_HOST_DEFENSE_AND_TISSUE_SELECTIVITY_UNRESOLVED	True		False	True	0.5	0.0	-2.0	0.0
GBP1	wave91	ifn_apc		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_IFN_MARKER_NOT_DRUGGABLE_CONTROLLER	True		False	True	0.5	0.0	-2.0	0.0
GPNMB	wave91	lipid_loader_repair		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_UP_NOMINAL; wave62=nan	PARK_MARKER_REPAIR_STATE_WITH_ONCOLOGY_ADC_PRECEDENT_BUT_WEAK_CAUSALITY	True		False	True	0.5	0.0	-2.0	0.0
STAT1	wave91	ifn_apc		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_GENERIC_IFN_TRANSCRIPTION_AXIS	True		False	True	0.5	0.0	-2.0	0.0
CXCL10	wave91	ifn_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	1.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_GENERIC_IFN_CHEMOKINE_AXIS	True		False	True	0.5	0.0	-2.0	0.0
LIPA	wave91	lipid_loader_repair		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.0	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	PARK_LYSOSOMAL_ACID_LIPASE_BIOLOGY_INTERESTING_BUT_PRIOR_W81_NO_REOPEN	True		False	True	0.5	0.0	-2.0	-0.5
APOE	wave91	lipid_loader_repair		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	1.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_SECRETED_LIPID_CARRIER_MARKER_CNS_AND_SYSTEMIC_LIPID_RISK	True		False	True	0.5	0.0	-2.0	-0.5
CD36	wave91	lipid_loader_repair		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	0.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_SYSTEMIC_LIPID_UPTAKE_RECEPTOR_LOW_SELECTIVITY	True		False	True	0.5	0.0	-2.0	-1.0
TNF	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	0.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=INSUFFICIENT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_EXISTING_ANTI_TNF_MS_RISK_AND_PRIOR_ART	True		False	True	0.5	0.0	-2.0	-1.0
LILRB5_INHIBITORY_RECEPTOR	wave110	LILRB5 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_LILRB_LOCAL_AUDIT	1.1500000000000006	reachable=1;prior=1;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0		False		False	True	-1.0	0.0	-2.0	-1.8499999999999994
C1QB	wave91	complement_phagocytosis		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-0.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_DOWN_NOMINAL; wave62=nan	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	True		False	True	0.5	0.0	-2.0	-2.0
SLAMF7_SIGNAL_BIAS	wave110	SLAMF7 engagement or antagonism in myeloid/APC states	antibody_or_biologic_hypothetical	PARK_ASSAY_DESIGN	-1.35	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=0;genetics=0;specificity=0		False		False	False	-1.0	0.0	0.0	-2.35
CHI3L1	wave95	Secreted biomarker/remodeling route with response conflict and high prior saturation.	secreted_biomarker_prior_saturation	NO_GO_PRIOR_ART_OR_SAFETY_BLOCKED	-1.0	IBD_external_antitnf:g=-1.61,p=2.14e-06,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.824,p=0.00326,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.59,p=0.205,nonctx=1,respctx=0	prior-art/safety gate blocks therapeutic promotion	True		False	True	0.5	0.0	-2.0	-2.5
NRCAM	wave95	Consistent response marker but neural adhesion biology and weak genetics make it unsafe as target-first route.	neural_adhesion_safety_and_weak_genetics	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	-1.0	IBD_external_antitnf:g=-1.23,p=0.00367,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.714,p=0.00955,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.84,p=0.133,nonctx=1,respctx=0	expression/response signal lacks residualized controller evidence and validated perturbation direction	True		False	True	0.5	0.0	-2.0	-2.5
TREM2	wave91	complement_phagocytosis;lipid_loader_repair		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	-1.0	ibd=NO_SUPPORT; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	PARK_REPAIR_PHAGOCYTOSIS_RECEPTOR_DIRECTION_AND_CNS_SELECTIVITY_UNRESOLVED	True		False	True	0.5	0.0	-2.0	-2.5
LILRB2_INHIBITORY_RECEPTOR	wave110	LILRB2 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	-1.5799999999999998	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0		False		False	False	-1.0	0.0	0.0	-2.58
LILRB4_INHIBITORY_RECEPTOR	wave110	LILRB4 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	-1.7	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0		False		False	False	-1.0	0.0	0.0	-2.7
CFB_FACTOR_B_INHIBITION	wave110	Factor B inhibition of alternative complement amplification	Secreted complement alternative-pathway serine protease; strong ChEMBL activity landscape; oral factor B inhibitors exist.	Use as druggability/prior-art comparator only.	-1.735	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0		False		False	False	-1.0	0.0	0.0	-2.7350000000000003
C1QC	wave91	complement_phagocytosis		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-1.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	True		False	True	0.5	0.0	-2.0	-3.0
C1QA	wave91	complement_phagocytosis		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-1.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_DOWN_NOMINAL; wave62=nan	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	True		False	True	0.5	0.0	-2.0	-3.0
ACSL1	wave91	lipid_loader_repair		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	-1.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_DEMOTED_TARGET_MARKER_AFTER_MODULE_ADJUSTED_TEST	True		False	True	0.5	0.0	-2.0	-3.0
IFI30_TARGETABILITY	wave110	IFI30 targetability shortlist route	benchmark_antigen_processing_no_clean_modality	NO_GO_TARGETABILITY_SHORTLIST_NODE	-0.1450000000000002	reachable=0;prior=0;safety=1;response=0;direct=0;foundation=0;ms=1;genetics=1;specificity=0		False		False	True	-1.0	0.0	-2.0	-3.1450000000000005
eicosanoid_receptors	wave110	Eicosanoid / leukotriene / prostaglandin sensors	NSAIDs, leukotriene modifiers, prostanoid receptor ligands, and LTA4H inhibitors provide chemical matter	NO_GO	-0.3249999999999999	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0		False		False	True	-1.0	0.0	-2.0	-3.325
LILRB1_INHIBITORY_RECEPTOR	wave110	LILRB1 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	-2.33	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0		False		False	False	-1.0	0.0	0.0	-3.33
LILRB3_INHIBITORY_RECEPTOR	wave110	LILRB3 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	-2.33	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0		False		False	False	-1.0	0.0	0.0	-3.33
ppar_lxr_lipid_nuclear	wave110	PPAR/LXR/RXR lipid nuclear receptors	approved PPAR agonists and preclinical LXR agonists exist; RXR agonists are pleiotropic	NO_GO	-0.4799999999999997	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0		False		False	True	-1.0	0.0	-2.0	-3.4799999999999995
CD200	wave95	Ligand-side signal with unresolved CD200R1 direction and prior checkpoint closure.	checkpoint_direction_receptor_side_unresolved	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	-2.0	IBD_external_antitnf:g=-0.736,p=0.0199,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.815,p=0.01,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.811,p=0.165,nonctx=0,respctx=1	expression/response signal lacks residualized controller evidence and validated perturbation direction	True		False	True	0.5	0.0	-2.0	-3.5
ROMO1	wave95	ROS/mitochondrial marker with no selective autoimmune modality.	mitochondrial_ros_no_selective_modality	NO_GO_MARKER_WITHOUT_RESIDUAL_OR_PERTURBATION_SUPPORT	-2.0	IBD_external_antitnf:g=0.161,p=0.425,nonctx=1,respctx=3; RA_GSE198520_baseline_synovium:g=1.15,p=0.00156,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.505,p=0.42,nonctx=0,respctx=1	expression/response signal lacks residualized controller evidence and validated perturbation direction	True		False	True	0.5	0.0	-2.0	-3.5
