gene	source	value
FBXO16	wave37	{'gene_symbol': 'FBXO16', 'n_sgrna': 4, 'median_efficient_lfc': 0.5791858117767177, 'median_noneater_lfc': -0.1128103961713308, 'median_efficient_minus_noneater_lfc': 0.783729666809502, 's1_median_efficient_lfc': 0.8684494582092779, 's3_median_efficient_lfc': 0.6790706048488104, 's1_median_noneater_lfc': -0.0376986409191757, 's3_median_noneater_lfc': -0.2873645306252139, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 0.125, 'contrast_p_wilcoxon': 0.25, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.8757238508867174, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
FBXO16	ms	{}
FBXO16	broad	{'gene': 'FBXO16', 'positive_disease_count': 2, 'positive_diseases': 'Crohn disease;Sjogren syndrome', 'negative_disease_count': 1, 'negative_diseases': 'psoriasis', 'best_p': 0.0119407806854679, 'max_abs_delta': 1.644130787631088}
FBXO16	ibd	{'gene': 'FBXO16', 'ibd_best_raw_p': 0.3409490802656812, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.0408745955070157, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
FBXO16	wave62	{}
FBXO16	wave71	{'gene': 'FBXO16', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': 0.181467, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 2.0; Crohn disease; Sjogren syndrome; 0.920009505703422', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'FBXO16'}
RECQL4	wave110	{'candidate': 'RECQL4', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.4000000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
RECQL4	wave81	{'gene': 'RECQL4', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Crohn disease;psoriasis', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': -0.1913098158967807, 'ms_p': 0.8338579124203143, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
RECQL4	wave37	{'gene_symbol': 'RECQL4', 'n_sgrna': 3, 'median_efficient_lfc': 0.5425021710610904, 'median_noneater_lfc': -0.3120632646951526, 'median_efficient_minus_noneater_lfc': 0.8545654357562431, 's1_median_efficient_lfc': 0.7967783283516621, 's3_median_efficient_lfc': 0.2882260137705188, 's1_median_noneater_lfc': -0.2148785413149294, 's3_median_noneater_lfc': 0.0430899281379844, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.75, 'noneater_p_wilcoxon': 0.5, 'contrast_p_wilcoxon': 0.5, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 1.0, 'noneater_fdr': 0.9889744952178532, 'contrast_fdr': 0.9971256078463696, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
RECQL4	ms	{'gene': 'RECQL4', 'mean_case': 5.21445354194014, 'mean_control': 5.40576335783692, 'delta_log2': -0.1913098158967807, 'hedges_g': -0.089240803314312, 'welch_t': -0.212691976148133, 'p': 0.8338579124203143, 'fdr': 0.9761732664217524, 'gene_norm': 'RECQL4'}
RECQL4	broad	{'gene': 'RECQL4', 'positive_disease_count': 2, 'positive_diseases': 'Crohn disease;psoriasis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0209931693171058, 'max_abs_delta': 1.7354012269527346}
RECQL4	ibd	{'gene': 'RECQL4', 'ibd_best_raw_p': 0.0573851219660684, 'ibd_best_raw_fdr': 0.9482041888468083, 'ibd_best_paired_p': 0.0165158570389565, 'ibd_best_paired_fdr': 0.9385255584246988, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
RECQL4	wave62	{}
RECQL4	wave71	{'gene': 'RECQL4', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.433696, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 2.0; Crohn disease; psoriasis; -0.1913098158967807; 0.9971256078463696', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'RECQL4'}
EFR3A	wave110	{'candidate': 'EFR3A', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
EFR3A	wave81	{'gene': 'EFR3A', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'Crohn disease', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.2644865146297235, 'ms_p': 0.0409895429330483, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
EFR3A	wave37	{'gene_symbol': 'EFR3A', 'n_sgrna': 4, 'median_efficient_lfc': 0.6844697530989772, 'median_noneater_lfc': -0.0758388820741726, 'median_efficient_minus_noneater_lfc': 0.8947628318325367, 's1_median_efficient_lfc': 0.487777114277655, 's3_median_efficient_lfc': 0.6958611679944962, 's1_median_noneater_lfc': 0.0271960288050721, 's3_median_noneater_lfc': -0.0968066153267253, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 0.625, 'contrast_p_wilcoxon': 0.25, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.9889744952178532, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
EFR3A	ms	{'gene': 'EFR3A', 'mean_case': 10.1761938439789, 'mean_control': 9.911707329349175, 'delta_log2': 0.2644865146297235, 'hedges_g': 0.943562013900004, 'welch_t': 2.2167966690107357, 'p': 0.0409895429330483, 'fdr': 0.8573807218486817, 'gene_norm': 'EFR3A'}
EFR3A	broad	{'gene': 'EFR3A', 'positive_disease_count': 1, 'positive_diseases': 'Crohn disease', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0260062737686466, 'max_abs_delta': 0.7865418735571712}
EFR3A	ibd	{'gene': 'EFR3A', 'ibd_best_raw_p': 0.3448904247044662, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.0335190919495988, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
EFR3A	wave62	{}
EFR3A	wave71	{'gene': 'EFR3A', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': 0.511304, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY', 'evidence_summary': 'inhibit_or_reduce; 1.0; Crohn disease; 0.2644865146297235; 0.920009505703422; 0.0', 'blockers': 'insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'EFR3A'}
IGLON5	wave110	{'candidate': 'IGLON5', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
IGLON5	wave81	{'gene': 'IGLON5', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'ulcerative colitis', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': -0.3955086162820667, 'ms_p': 0.6674202686855241, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
IGLON5	wave37	{'gene_symbol': 'IGLON5', 'n_sgrna': 4, 'median_efficient_lfc': 0.8324130167408421, 'median_noneater_lfc': -0.2779752670504838, 'median_efficient_minus_noneater_lfc': 1.0204032580512368, 's1_median_efficient_lfc': 0.6197875236811801, 's3_median_efficient_lfc': 0.9208807857009048, 's1_median_noneater_lfc': -0.4798452123823244, 's3_median_noneater_lfc': 0.046935118136441, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.125, 'noneater_p_wilcoxon': 0.25, 'contrast_p_wilcoxon': 0.125, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.8757238508867174, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
IGLON5	ms	{'gene': 'IGLON5', 'mean_case': 5.562011163621375, 'mean_control': 5.957519779903442, 'delta_log2': -0.3955086162820667, 'hedges_g': -0.1899442075609483, 'welch_t': -0.4395936477327966, 'p': 0.6674202686855241, 'fdr': 0.9574348457395032, 'gene_norm': 'IGLON5'}
IGLON5	broad	{'gene': 'IGLON5', 'positive_disease_count': 1, 'positive_diseases': 'ulcerative colitis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0067925897186223, 'max_abs_delta': 2.182740220145976}
IGLON5	ibd	{'gene': 'IGLON5', 'ibd_best_raw_p': 0.016126241420636, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.1793065458001606, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
IGLON5	wave62	{}
IGLON5	wave71	{'gene': 'IGLON5', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.181467, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; ulcerative colitis; -0.3955086162820667; 0.920009505703422', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'IGLON5'}
MAN1A2	wave110	{'candidate': 'MAN1A2', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
MAN1A2	wave81	{'gene': 'MAN1A2', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'Crohn disease', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.241003244143517, 'ms_p': 0.1354181777450778, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
MAN1A2	wave37	{'gene_symbol': 'MAN1A2', 'n_sgrna': 2, 'median_efficient_lfc': 0.7373947258576615, 'median_noneater_lfc': -0.1684492302945254, 'median_efficient_minus_noneater_lfc': 0.9058439561521868, 's1_median_efficient_lfc': 1.1130733023838844, 's3_median_efficient_lfc': 0.3617161493314387, 's1_median_noneater_lfc': -0.1768440938124988, 's3_median_noneater_lfc': -0.1600543667765519, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': nan, 'noneater_p_wilcoxon': nan, 'contrast_p_wilcoxon': nan, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': nan, 'noneater_fdr': nan, 'contrast_fdr': nan, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
MAN1A2	ms	{'gene': 'MAN1A2', 'mean_case': 9.118725901777562, 'mean_control': 8.877722657634045, 'delta_log2': 0.241003244143517, 'hedges_g': 0.6478706695130797, 'welch_t': 1.5600341306229624, 'p': 0.1354181777450778, 'fdr': 0.8989378106274888, 'gene_norm': 'MAN1A2'}
MAN1A2	broad	{'gene': 'MAN1A2', 'positive_disease_count': 1, 'positive_diseases': 'Crohn disease', 'negative_disease_count': 1, 'negative_diseases': 'type 1 diabetes mellitus', 'best_p': 0.0245534005520831, 'max_abs_delta': 0.7228227888184788}
MAN1A2	ibd	{'gene': 'MAN1A2', 'ibd_best_raw_p': 0.0431786701499763, 'ibd_best_raw_fdr': 0.9097202556363426, 'ibd_best_paired_p': 0.2285901324128635, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
MAN1A2	wave62	{}
MAN1A2	wave71	{'gene': 'MAN1A2', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': -0.031957, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; Crohn disease; 0.241003244143517', 'blockers': 'too_few_guides; insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'MAN1A2'}
MREG	wave110	{'candidate': 'MREG', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
MREG	wave81	{'gene': 'MREG', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'psoriasis', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': -1.1356746357606893, 'ms_p': 0.3109854665752915, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
MREG	wave37	{'gene_symbol': 'MREG', 'n_sgrna': 3, 'median_efficient_lfc': 0.5412799937070207, 'median_noneater_lfc': 0.0015512036572216, 'median_efficient_minus_noneater_lfc': 0.7381558563486115, 's1_median_efficient_lfc': 0.3103929064195769, 's3_median_efficient_lfc': 0.7721670809944645, 's1_median_noneater_lfc': 0.1377418404633426, 's3_median_noneater_lfc': -0.1346394331488993, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.5, 'noneater_p_wilcoxon': 1.0, 'contrast_p_wilcoxon': 0.5, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.9600924529799222, 'noneater_fdr': 1.0, 'contrast_fdr': 0.9971256078463696, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
MREG	ms	{'gene': 'MREG', 'mean_case': 4.398783774723702, 'mean_control': 5.534458410484391, 'delta_log2': -1.1356746357606893, 'hedges_g': -0.4481276291353126, 'welch_t': -1.047610683159244, 'p': 0.3109854665752915, 'fdr': 0.9094390036211306, 'gene_norm': 'MREG'}
MREG	broad	{'gene': 'MREG', 'positive_disease_count': 1, 'positive_diseases': 'psoriasis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0107847777916229, 'max_abs_delta': 1.3562892651626717}
MREG	ibd	{'gene': 'MREG', 'ibd_best_raw_p': 0.0027002276999491, 'ibd_best_raw_fdr': 0.6994804288380453, 'ibd_best_paired_p': 0.0243479815808615, 'ibd_best_paired_fdr': 0.8427003665470157, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
MREG	wave62	{}
MREG	wave71	{'gene': 'MREG', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.181467, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 1.0; psoriasis; -1.1356746357606893; 0.9971256078463696', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'MREG'}
PLIN4	wave110	{'candidate': 'PLIN4', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.1500000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
PLIN4	wave81	{'gene': 'PLIN4', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 1, 'broad_positive_diseases': 'Sjogren syndrome', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': -1.206250847650037, 'ms_p': 0.1457111954023493, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
PLIN4	wave37	{'gene_symbol': 'PLIN4', 'n_sgrna': 3, 'median_efficient_lfc': 0.7719203306050704, 'median_noneater_lfc': 0.0529310857500544, 'median_efficient_minus_noneater_lfc': 0.7387369483265096, 's1_median_efficient_lfc': 0.8192780303354286, 's3_median_efficient_lfc': 0.2797467954185517, 's1_median_noneater_lfc': 0.1564211491446632, 's3_median_noneater_lfc': -0.0505589776445543, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 1.0, 'contrast_p_wilcoxon': 0.25, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 1.0, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
PLIN4	ms	{'gene': 'PLIN4', 'mean_case': 4.963487058462993, 'mean_control': 6.16973790611303, 'delta_log2': -1.206250847650037, 'hedges_g': -0.6732484626554165, 'welch_t': -1.553026609336016, 'p': 0.1457111954023493, 'fdr': 0.8989378106274888, 'gene_norm': 'PLIN4'}
