gene	wave81_call	score	direct_perturbation	direct_table_presence	direct_perturbation_detail	foundation_model_support	foundation_table_presence	foundation_model_detail	ms_anchor	genetics_or_target_resolution	broad_positive_disease_count	broad_positive_diseases	ibd_response_nominal	ibd_response_fdr10	modality_channel	prior_not_blocked	blocker	sources	wave62_call	ms_delta_log2	ms_p	wave71_call	decision_reason
TBX6	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		-1.999815513448889	0.0158114790875102	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TDRD1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.8082283949839004	0.4256531769612471	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TIAL1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.1919977019666454	0.2000571614574451	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TPX2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	Crohn disease;psoriasis	0	0	0	1		wave37_efferocytosis_crispr		0.388655050343254	0.7566394056553223	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TRIM46	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.6632328513969799	0.5429054647201933	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TSC1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.0364246955213065	0.7995019245596273	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
VMN1R142	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
VMN2R87	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
VMN2R98	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
YTHDF2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.1327571129098164	0.3644206959031834	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZCCHC6	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.1863108468338872	0.2893651216591801	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZFP385A	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZFP598	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZFP775	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZSWIM7	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.080290570252691	0.7811454644298303	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PTPN6	PARK_PERTURBATION_FIRST_CANDIDATE	4	0	1		1	1	wave70c:support=1,strong=0,token_contexts=1	0	0	0		0	0	0	1		wave70c_geneformer		-0.323469415535639	0.263412802552573	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SIGLEC10	PARK_PERTURBATION_FIRST_CANDIDATE	4	0	0		1	1	wave70c:support=2,strong=1,token_contexts=2	0	0	0		0	0	0	1		wave70c_geneformer		-0.6228823890231006	0.0790960238639784	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
IL7R	NO_GO_PERTURBATION_FIRST_BLOCKED	9	0	1		1	1	wave57:support=1,strong=1,token_contexts=1;wave69d:support=1,strong=1,token_contexts=2;wave70c:support=3,strong=1,token_contexts=4	1	1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1	0	0	0	IL7R genetics/druggability but prior audited and broad T-cell biology	wave57_geneformer;wave69d_geneformer;wave70c_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	-0.6536992297096775	0.5724603142052797	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	IL7R genetics/druggability but prior audited and broad T-cell biology
SP140	NO_GO_PERTURBATION_FIRST_BLOCKED	8	0	1		0	1		1	1	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1	0	1	0	closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification	wave57_geneformer;wave69d_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	-0.0867628128456026	0.7262224269643743	NO_REOPEN_BLOCKED_BRANCH	closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification
GALC	NO_GO_PERTURBATION_FIRST_BLOCKED	7	0	1		0	1		1	1	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	1	0	sphingolipid enzyme route prior audited; no translational specificity	wave57_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	0.1897668310526405	0.4547265367950667	NO_REOPEN_INSUFFICIENT_CONVERGENCE	sphingolipid enzyme route prior audited; no translational specificity
NCF2	NO_GO_PERTURBATION_FIRST_BLOCKED	7	0	1		1	1	wave70c:support=3,strong=0,token_contexts=5	1	0	2	Crohn disease;ulcerative colitis	1	0	1	0	NOX2 host-defense/CGD directionality risk	wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.5993704440951095	0.0194216439823732	NO_REOPEN_BLOCKED_BRANCH	NOX2 host-defense/CGD directionality risk
STAT4	NO_GO_PERTURBATION_FIRST_BLOCKED	7	0	1		0	1		1	1	2	Crohn disease;ulcerative colitis	1	0	1	0	generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction	wave15_direct_perturbation;wave57_geneformer;wave69d_geneformer	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	0.8684079555977076	0.4607005214454064	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction
CXCR2	NO_GO_PERTURBATION_FIRST_BLOCKED	6	0	1		1	1	wave57:support=1,strong=1,token_contexts=1	0	1	3	Crohn disease;psoriasis;ulcerative colitis	0	0	1	0	chemokine/neutrophil route prior audited and infection-risk broad	wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.8298247585525846	0.3775250672864965	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	chemokine/neutrophil route prior audited and infection-risk broad
JAK2	NO_GO_PERTURBATION_FIRST_BLOCKED	6	0	1		1	1	wave69d:support=1,strong=0,token_contexts=1	0	1	1	Crohn disease	1	0	1	0	JAK/IFN broad immunosuppression/prior art	wave15_direct_perturbation;wave69d_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.1310389086976435	0.5843508835841206	NO_REOPEN_BLOCKED_BRANCH	JAK/IFN broad immunosuppression/prior art
TNFRSF1A	NO_GO_PERTURBATION_FIRST_BLOCKED	6	0	1		0	0		1	1	0		0	0	1	0	TNFR1/MS genetics but TNF-axis direction is hazardous in MS	wave15_direct_perturbation	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	-0.1651855861386195	0.3190864538699107	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	TNFR1/MS genetics but TNF-axis direction is hazardous in MS
ASAH1	NO_GO_PERTURBATION_FIRST_BLOCKED	5	0	1		1	1	wave57:support=5,strong=1,token_contexts=6	1	0	0		0	0	0	0	sphingolipid enzyme route prior audited; no translational specificity	wave57_geneformer		0.4645985538687647	0.0266365328274421		sphingolipid enzyme route prior audited; no translational specificity
CTSD	NO_GO_PERTURBATION_FIRST_BLOCKED	5	0	1		1	1	wave57:support=2,strong=0,token_contexts=6	1	0	0		0	0	0	0	cathepsin/lysosomal protease route prior audited and nonspecific	wave57_geneformer		0.4931363740249406	0.0483200176388117	NO_REOPEN_INSUFFICIENT_CONVERGENCE	cathepsin/lysosomal protease route prior audited and nonspecific
CD274	NO_GO_PERTURBATION_FIRST_BLOCKED	4	0	1		1	1	wave69d:support=1,strong=0,token_contexts=2;wave70c:support=1,strong=0,token_contexts=4	0	0	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1	0	0	0	prior global survivor audit marked a blocked branch	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.3544765521359103	0.3282160655447695	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
FCGR2A	NO_GO_PERTURBATION_FIRST_BLOCKED	4	0	0		1	1	wave69d:support=2,strong=1,token_contexts=3;wave70c:support=3,strong=2,token_contexts=4	0	0	1	Sjogren syndrome	1	0	1	0	Fc receptor direction and safety blocked	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.1533819091799007	0.582735290071486	NO_REOPEN_BLOCKED_BRANCH	Fc receptor direction and safety blocked
FCGRT	NO_GO_PERTURBATION_FIRST_BLOCKED	4	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		1	0	0	0	prior global survivor audit marked a blocked branch	wave37_efferocytosis_crispr		0.0231623625607966	0.8909537537424405	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
CD40	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave57:support=1,strong=0,token_contexts=2	0	0	2	Crohn disease;ulcerative colitis	0	0	1	0	checkpoint/costimulation prior art and broad immune activation	wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.5445775168848961	0.0540269612921963	NO_REOPEN_BLOCKED_BRANCH	checkpoint/costimulation prior art and broad immune activation
CD80	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave69d:support=1,strong=1,token_contexts=2;wave70c:support=2,strong=0,token_contexts=3	0	0	1	ulcerative colitis	1	0	0	0	costimulation blockade prior art; abatacept MS trial failed	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.2205636929543839	0.8621214280819472	NO_REOPEN_BLOCKED_BRANCH	costimulation blockade prior art; abatacept MS trial failed
CHUK	NO_GO_PERTURBATION_FIRST_BLOCKED	3	1	1	wave15:weak_selective_target_suppression:weak_followup_only	0	0		0	0	2	Crohn disease;psoriasis	0	0	0	0	IKK/NF-kB broad inflammatory core	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.2237878248965508	0.3211760938016935	NO_REOPEN_INSUFFICIENT_CONVERGENCE	IKK/NF-kB broad inflammatory core
CTSB	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave57:support=3,strong=2,token_contexts=7	0	0	2	psoriasis;ulcerative colitis	1	0	0	0	cathepsin/lysosomal protease route prior audited and nonspecific	wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0599954640789519	0.8140537383462653	NO_REOPEN_INSUFFICIENT_CONVERGENCE	cathepsin/lysosomal protease route prior audited and nonspecific
CTSS	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave57:support=2,strong=0,token_contexts=7	0	0	1	type 1 diabetes mellitus	1	0	0	0	cathepsin/antigen-processing route prior audited and host-defense risk	wave57_geneformer		0.189873422640673	0.1407159118865243	NO_REOPEN_INSUFFICIENT_CONVERGENCE	cathepsin/antigen-processing route prior audited and host-defense risk
CYBA	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave70c:support=1,strong=0,token_contexts=6	0	0	2	Crohn disease;psoriasis	1	0	0	0	prior global survivor audit marked a blocked branch	wave70c_geneformer		-0.2776210425293879	0.2613868419845392	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
CYBB	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave70c:support=2,strong=1,token_contexts=2	0	0	0		1	0	0	0	NOX2 host-defense/CGD directionality risk	wave70c_geneformer		-0.3982503951498284	0.2611171787563284	NO_REOPEN_BLOCKED_BRANCH	NOX2 host-defense/CGD directionality risk
GSK3B	NO_GO_PERTURBATION_FIRST_BLOCKED	3	1	1	wave15:selective_target_suppression:candidate_evidence_not_enough_to_nominate_drug	0	1		0	0	1	Crohn disease	0	0	0	0	broad pleiotropic kinase/CNS prior art and no MS target anchor	wave15_direct_perturbation;wave69d_geneformer		-0.1319846584560178	0.4753109636188744	NO_REOPEN_INSUFFICIENT_CONVERGENCE	broad pleiotropic kinase/CNS prior art and no MS target anchor
INPP5D	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave70c:support=1,strong=0,token_contexts=1	0	0	0		1	0	0	0	prior global survivor audit marked a blocked branch	wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.3037841690561134	0.0943958111282368	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
JAK1	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave69d:support=1,strong=1,token_contexts=3	0	0	2	Crohn disease;ulcerative colitis	1	0	0	0	JAK/IFN broad immunosuppression/prior art	wave15_direct_perturbation;wave69d_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.2576120813511604	0.060997046211002		JAK/IFN broad immunosuppression/prior art
LILRB2	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	0		1	1	wave70c:support=2,strong=0,token_contexts=4	0	0	2	Crohn disease;ulcerative colitis	1	0	0	0	prior global survivor audit marked a blocked branch	wave70c_geneformer		-0.7296611895492067	0.0077844079989185	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
MED16	NO_GO_PERTURBATION_FIRST_BLOCKED	3	1	1	wave15:selective_target_suppression:strong_mechanistic_comparator_not_druggable	0	0		0	0	2	Crohn disease;type 1 diabetes mellitus	0	0	0	0	mediator-complex non-druggable benchmark	wave15_direct_perturbation		-0.0601508185563499	0.8241295054203107	NO_REOPEN_INSUFFICIENT_CONVERGENCE	mediator-complex non-druggable benchmark
NCF1	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave69d:support=3,strong=0,token_contexts=4;wave70c:support=3,strong=2,token_contexts=5	0	0	1	Crohn disease	1	0	0	0	NOX2 host-defense/CGD directionality risk	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.6643413684356645	0.4799034657965054	NO_REOPEN_BLOCKED_BRANCH	NOX2 host-defense/CGD directionality risk
PTPN2	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		0	1		0	0	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	0	1	0	TCPTP_restoration_not_currently_druggable; prior_branch_blocker_or_directionality_unresolved	wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0059418057306839	0.9843569990044077	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	TCPTP_restoration_not_currently_druggable; prior_branch_blocker_or_directionality_unresolved
RFX5	NO_GO_PERTURBATION_FIRST_BLOCKED	3	1	1	wave15:weak_selective_target_suppression:weak_followup_only	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	0	MHC-II antigen-presentation core/host-defense risk	wave15_direct_perturbation		0.0043302351443461	0.9786885809467264	NO_REOPEN_INSUFFICIENT_CONVERGENCE	MHC-II antigen-presentation core/host-defense risk
SRC	NO_GO_PERTURBATION_FIRST_BLOCKED	3	0	1		1	1	wave69d:support=1,strong=0,token_contexts=6	0	0	1	Crohn disease	1	0	0	0	broad SRC-family kinase/prior art	wave15_direct_perturbation;wave69d_geneformer		0.2090289331356878	0.4292206800209179		broad SRC-family kinase/prior art
IFNGR2	NO_GO_PERTURBATION_FIRST_BLOCKED	2	0	1		0	0		0	0	1	type 1 diabetes mellitus	1	0	1	0	IFN receptor broad suppression	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.1589069164410972	0.3887701856855546	NO_REOPEN_INSUFFICIENT_CONVERGENCE	IFN receptor broad suppression
STAT1	NO_GO_PERTURBATION_FIRST_BLOCKED	2	0	1		0	0		0	0	3	Crohn disease;psoriasis;ulcerative colitis	1	0	0	0	JAK/IFN broad immunosuppression/prior art	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.5378996098681981	0.1363451431707629	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	JAK/IFN broad immunosuppression/prior art
SYK	NO_GO_PERTURBATION_FIRST_BLOCKED	2	0	1		1	1	wave69d:support=1,strong=0,token_contexts=3	0	0	0		0	0	0	0	broad immune kinase/prior art	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0717819514112196	0.7728653669980862	NO_REOPEN_BLOCKED_BRANCH	broad immune kinase/prior art
TYK2	NO_GO_PERTURBATION_FIRST_BLOCKED	2	0	1		0	0		0	0	2	psoriasis;type 1 diabetes mellitus	1	0	1	0	JAK/IFN broad immunosuppression/prior art	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0976695299908261	0.5321339034622258	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	JAK/IFN broad immunosuppression/prior art
CIITA	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	2	Crohn disease;type 1 diabetes mellitus	1	0	0	0	direct_antigen_presentation_host_defense	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.1592290360524426	0.5752493711426078	NO_REOPEN_INSUFFICIENT_CONVERGENCE	direct_antigen_presentation_host_defense
FCGR2B	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	1		0	0	0		1	0	0	0	Fc receptor direction and safety blocked	wave69d_geneformer;wave70c_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION	0.3743680552898727	0.5995853752716118	NO_REOPEN_BLOCKED_BRANCH	Fc receptor direction and safety blocked
IFNAR1	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	0		1	0	0	0	IFN receptor broad suppression	wave15_direct_perturbation		0.1620721610760434	0.4082807869531087		IFN receptor broad suppression
IFNAR2	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	2	psoriasis;type 1 diabetes mellitus	1	0	0	0	IFN receptor broad suppression	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.1894182060730376	0.4923277084112737		IFN receptor broad suppression
IFNGR1	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	0	IFN receptor broad suppression	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0730197085267221	0.6518207324321686		IFN receptor broad suppression
NFKB1	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	0		0	0	1	0	prior global survivor audit marked prior-art or host-defense penalty	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.1807165347874555	0.6530965209801629	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	prior global survivor audit marked prior-art or host-defense penalty
STAT3	NO_GO_PERTURBATION_FIRST_BLOCKED	1	0	1		0	0		0	0	2	Crohn disease;ulcerative colitis	0	0	1	0	prior global survivor audit marked prior-art or host-defense penalty	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0052452399033047	0.9827297093959808	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	prior global survivor audit marked prior-art or host-defense penalty
BTK	NO_GO_PERTURBATION_FIRST_BLOCKED	0	0	1		0	1		0	0	0		0	0	0	0	prior global survivor audit marked a blocked branch	wave70c_geneformer		-0.0897993985966802	0.5626479987667415	NO_REOPEN_BLOCKED_BRANCH	prior global survivor audit marked a blocked branch
GBA1	NO_GO_PERTURBATION_FIRST_BLOCKED	0	0	0		0	1		0	0	1	type 1 diabetes mellitus	0	0	0	0	lysosomal enzyme route prior audited; no direction/modality	wave57_geneformer					lysosomal enzyme route prior audited; no direction/modality
IRF5	NO_GO_PERTURBATION_FIRST_BLOCKED	0	0	1		0	0		0	0	0		0	0	0	0	prior_art_or_crowded_TF_axis; prior_branch_blocker_or_directionality_unresolved	wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.160335979633075	0.5711412387155418	PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	prior_art_or_crowded_TF_axis; prior_branch_blocker_or_directionality_unresolved
RGS14	NO_GO_NO_PERTURBATION_SUPPORT	9	0	1		0	1		1	1	1	Crohn disease	1	0	1	1		wave69d_geneformer	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	-0.5035394425450566	0.0463387063426136	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
DAP	NO_GO_NO_PERTURBATION_SUPPORT	7	0	1		0	1		1	0	3	Crohn disease;psoriasis;ulcerative colitis	1	0	0	1		wave57_geneformer		0.3933456450044126	0.0080691967127082	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
FMNL2	NO_GO_NO_PERTURBATION_SUPPORT	7	0	1		0	0		1	0	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	0	0	1		wave15_direct_perturbation		0.4116873433440275	0.0323812070948891	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
BIRC3	NO_GO_NO_PERTURBATION_SUPPORT	6	0	1		0	0		1	0	2	type 1 diabetes mellitus;ulcerative colitis	1	0	0	1		wave15_direct_perturbation		0.7690495898515248	0.0182090480476607	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
CARMIL1	NO_GO_NO_PERTURBATION_SUPPORT	6	0	0		0	1		0	1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	1	1		wave57_geneformer	NO_GO_WAVE62_TARGET_RESOLUTION			NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
MYC	NO_GO_NO_PERTURBATION_SUPPORT	6	0	1		0	0		1	0	2	Crohn disease;type 1 diabetes mellitus	0	0	1	1		wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.1796494504019694	0.5466328849061214	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
PRDM1	NO_GO_NO_PERTURBATION_SUPPORT	6	0	1		0	0		0	1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	1	1		wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	-0.0411396810451609	0.9031141115364548	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
ATF5	NO_GO_NO_PERTURBATION_SUPPORT	5	0	1		0	0		1	0	2	Crohn disease;ulcerative colitis	0	0	0	1		wave15_direct_perturbation		0.5161155260346195	0.0307494520500533		candidate lacks direct perturbation or model support
ETV7	NO_GO_NO_PERTURBATION_SUPPORT	5	0	1		0	0		0	0	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	1	0	1	1		wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	1.2818765454897223	0.1865737416259766	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
PLEK	NO_GO_NO_PERTURBATION_SUPPORT	5	0	1		0	0		0	0	3	Crohn disease;Sjogren syndrome;ulcerative colitis	1	0	1	1		wave15_direct_perturbation		0.0008511431179645	0.997174971498952	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
PPARG	NO_GO_NO_PERTURBATION_SUPPORT	5	0	1		0	0		1	0	1	ulcerative colitis	0	0	0	1		wave15_direct_perturbation		1.33861418076643	0.0023372069061631	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
ARID5B	NO_GO_NO_PERTURBATION_SUPPORT	4	0	1		0	0		0	0	1	psoriasis	1	0	1	1		wave15_direct_perturbation	NO_GO_WAVE62_TARGET_RESOLUTION	0.6326873195137814	0.075697519230288	NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support
ATF3	NO_GO_NO_PERTURBATION_SUPPORT	4	0	1		0	0		0	0	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	1	0	0	1		wave15_direct_perturbation		0.3182548771815856	0.3695433226980207		candidate lacks direct perturbation or model support
CASP10	NO_GO_NO_PERTURBATION_SUPPORT	4	0	1		0	0		0	0	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	0	0	1		wave15_direct_perturbation		0.249366701816033	0.2063174319242694		candidate lacks direct perturbation or model support
