gene	disease	dataset	channel	comparison	effect	p	quality	score	limitation	axis	positive_nominal	negative_nominal
TNF	Sjogren	GSE23117	expression_screen	Sjogren_advanced_SS_vs_nonSS_control	1.5120495062147052	0.3558425365502983	0.25	0.33749082302264705	bulk minor salivary gland; cell-composition and inflammation confounding	interferon_chemokine,metabolic_licensing	False	False
CXCL10	Sjogren	GSE23117	expression_screen	Sjogren_advanced_SS_vs_nonSS_control	1.5617265031823333	0.398532473398992	0.25	0.34153878563578394	bulk minor salivary gland; cell-composition and inflammation confounding	interferon_chemokine	False	False
MSR1	Sjogren	GSE23117	expression_screen	Sjogren_advanced_SS_vs_nonSS_control	12.362050675526524	1.823509526062866e-05	0.25	0.8949243302981837	bulk minor salivary gland; cell-composition and inflammation confounding	lipid_droplet_efflux,complement_phagocytosis	True	False
MARCO	Sjogren	GSE23117	expression_screen	Sjogren_advanced_SS_vs_nonSS_control	7.0387145795015575	0.0005454963244408	0.25	0.7719340142788295	bulk minor salivary gland; cell-composition and inflammation confounding	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	True	False
MERTK	Sjogren	GSE23117	expression_screen	Sjogren_advanced_SS_vs_nonSS_control	1.7823905094364958	0.3523321571814793	0.25	0.3740603901080784	bulk minor salivary gland; cell-composition and inflammation confounding	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	False
ASAH1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	1.15394827980387	1.43216131772887e-10	0.9	2.559538043053158	bulk lesion proteomics, donor-aware but not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	True	False
ASAH1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.46350738095341	0.0059215370241487	0.8	1.3512445641392756	reconstructed state from snRNA markers; donor-paired but marker-defined	lipid_droplet_efflux,lysosome_antigen_processing	True	False
GPNMB	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	2.16422755448021	3.49971132666645e-10	0.9	3.667964934063943	bulk lesion proteomics, donor-aware but not cell-specific	lipid_droplet_efflux,tissue_remodeling	True	False
GPNMB	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	2.09688164001997	0.0059215370241487	0.8	1.6986531131236948	reconstructed state from snRNA markers; donor-paired but marker-defined	lipid_droplet_efflux,tissue_remodeling	True	False
IFI30	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	1.1168267050192	7.026158968130041e-09	0.9	2.2470034021103937	bulk lesion proteomics, donor-aware but not cell-specific	lysosome_antigen_processing,interferon_chemokine	True	False
IFI30	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.855771434246055	0.0144328239388418	0.8	0.9700301238486725	reconstructed state from snRNA markers; donor-paired but marker-defined	lysosome_antigen_processing,interferon_chemokine	True	False
TPP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.617050167780905	2.77809594597505e-08	0.9	1.6440855599163662	bulk lesion proteomics, donor-aware but not cell-specific	lysosome_antigen_processing	True	False
TPP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.11799771135645	0.0080452374865616	0.8	1.1429366767426028	reconstructed state from snRNA markers; donor-paired but marker-defined	lysosome_antigen_processing	True	False
LAMP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.344357718803367	7.66244030450984e-08	0.9	1.322407674044821	bulk lesion proteomics, donor-aware but not cell-specific	lysosome_antigen_processing	True	False
LAMP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.19094354150368	0.0144328239388418	0.8	1.14522790667575	reconstructed state from snRNA markers; donor-paired but marker-defined	lysosome_antigen_processing	True	False
CTSD	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.606636933819722	8.1920675145397e-06	0.9	1.3359113577668642	bulk lesion proteomics, donor-aware but not cell-specific	lysosome_antigen_processing	True	False
CTSD	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.47052060280439	0.0059215370241487	0.8	1.3550913469727706	reconstructed state from snRNA markers; donor-paired but marker-defined	lysosome_antigen_processing	True	False
ALDH1A1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.506793356402328	1.10725125213686e-05	0.9	1.2381042802676518	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ALDH1A1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.07371293461054	0.0059215370241487	0.8	1.1374406068933107	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	True	False
ACSL1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.366170096192296	2.76174452656208e-05	0.9	1.0818854513099867	bulk lesion proteomics, donor-aware but not cell-specific	lipid_droplet_efflux	True	False
ACSL1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.16923272590565	0.0059215370241487	0.8	1.1898336298463348	reconstructed state from snRNA markers; donor-paired but marker-defined	lipid_droplet_efflux	True	False
NAMPT	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.630770532294644	9.14104899359346e-05	0.9	1.22784838777633	bulk lesion proteomics, donor-aware but not cell-specific	metabolic_licensing	True	False
NAMPT	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.01459914533907	0.0190588916017305	0.8	1.0368339131047022	reconstructed state from snRNA markers; donor-paired but marker-defined	metabolic_licensing	True	False
SLC25A24	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.21926885961516	0.0002454752385904	0.9	0.8787873272798989	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SLC25A24	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.987177971625092	0.0249324556028632	0.8	1.007265399803554	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	True	False
CTSL	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.610386781086414	0.0006776880943145	0.9	1.1074191237076383	bulk lesion proteomics, donor-aware but not cell-specific	lysosome_antigen_processing	True	False
CTSL	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.02066601829491	0.0249324556028632	0.8	1.0242398989169519	reconstructed state from snRNA markers; donor-paired but marker-defined	lysosome_antigen_processing	True	False
SYT7	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	6.68568168632997	0.0	0.35	2.0999999999999996	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SYT7	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.653504659253743	0.0440109840129514	0.8	0.8109270687836113	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	True	False
ISCU	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	7.06929764602213	0.0	0.35	2.0999999999999996	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ISCU	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.152582650845565	0.918812683274642	0.8	-0.46385865654325736	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
SPTLC1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	2.347034353097	1.5334204291784598e-22	0.35	1.7571930353759249	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SPTLC1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.541908365579592	0.153576396549984	0.8	-0.7004042196668167	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
MTMR6	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.909934990421148	1.86430172155747e-21	0.35	1.0027158699711025	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
MTMR6	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.684296366495728	0.126278928554698	0.8	0.7746268878933159	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
PLP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-1.06134700719519	5.35486155074137e-17	0.9	-2.782818459713506	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
PLP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.196636764467163	0.22127181567247	0.8	0.5309137399703633	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ARL6IP5	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.328670697758532	6.02860770310319e-13	0.9	1.7937054419740184	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ARL6IP5	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.129350397153057	0.838463781922464	0.8	0.457501027362759	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
SNX5	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.258840410801762	1.054776282115e-12	0.9	1.6972479152146844	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SNX5	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.375636761785876	0.475532659596901	0.8	-0.5798602099437427	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
STX7	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.377162000939413	3.1629986796913898e-12	0.9	1.8075148997070531	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
STX7	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.153336062615152	1.0	0.8	0.46133442504606087	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
EFHD1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.748854534039367	1.3609757704396799e-11	0.9	2.212233165834478	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
EFHD1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.218920225341422	0.683480902201426	0.8	0.5009984470177575	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ITGB2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.538953827179568	5.10579566031328e-11	0.9	1.8804403602585196	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ITGB2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.120736717343064	0.610298655976554	0.8	0.46431805303465	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
PLD2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.647772444722379	6.77665290498751e-11	0.9	-1.9982105657555687	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
PLD2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.0438560996482535	0.918812683274642	0.8	0.42010148916617857	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
FERMT3	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.705056811376226	1.49269591996743e-10	0.9	2.0238208465474683	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
FERMT3	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.548538387596912	0.102917539402853	0.8	0.7213618937714315	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
MMGT1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.546776756976407	2.26141189697565e-10	0.9	1.815021140317199	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
MMGT1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.0460164232201984	0.308063229907199	0.8	-0.45406597594949394	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
HCN2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.952186274956321	2.24594180271526e-10	0.9	-2.291173880504749	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
HCN2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.14302616182702	0.610298655976554	0.8	-0.47355250685940714	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
PRKCSH	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.19908141227039	5.06688512855855e-10	0.9	1.3755195519457324	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
PRKCSH	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.140250745390903	0.838463781922464	0.8	0.46191676983736896	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ARHGAP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.324135520647093	7.24213440762647e-10	0.9	1.5035691335895005	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ARHGAP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.627576414943531	0.126278928554698	0.8	-0.748540742707507	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
PTPRF	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.272738174693535	1.1115615576087e-09	0.9	-1.4274458458272687	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
PTPRF	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.189451272892516	0.475532659596901	0.8	0.5013790587581459	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
YBX1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.441039140255482	1.6733967416564401e-09	0.9	1.5970029232357605	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
YBX1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.0635530994840266	0.918812683274642	0.8	0.4280285769763686	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
TMED10	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.237902788381771	3.7881124093268105e-09	0.9	1.3389382917822004	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
TMED10	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.415109725292068	0.262192602406773	0.8	0.6208916152942786	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
CA4	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.79331819190284	4.2903111310472505e-09	0.35	0.7514943108346853	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
CA4	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.151883671588789	1.0	0.8	0.46075346863551564	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
TBXAS1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.55724212005423	5.4246174223225e-09	0.9	1.6661280963083036	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
TBXAS1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-1.68313493284693	0.0059215370241487	0.8	-1.4717112361394553	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	True
HEXB	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.475671469018822	5.28643683329244e-09	0.9	1.5800940719238257	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
HEXB	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.575137433163905	0.102917539402853	0.8	0.7337526346380461	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
SOD3	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.515379612582183	8.75044903940692e-09	0.9	-1.5977370462890939	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
SOD3	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.104249047802268	0.787406490666269	0.8	-0.4493410968550578	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ANP32A	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.380523086840253	1.57444943812693e-08	0.9	1.4291386851842238	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ANP32A	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.23594405461495	0.414823067184775	0.8	-0.5258642937701162	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
GNB4	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.395958453773721	2.32737924625536e-08	0.9	1.4273465282387234	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
GNB4	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.497954836795797	0.153576396549984	0.8	-0.6804385474409935	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ARPC1B	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.406999038112617	2.82540856902216e-08	0.9	1.429748672812077	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
ARPC1B	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.0823058814941506	0.540817904242618	0.8	-0.4521837130566563	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
FBP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.735298104219113	3.58845177902978e-08	0.9	1.7498433146266095	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
FBP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.563453931270997	0.153576396549984	0.8	0.7101911859108816	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
C1orf198	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.276127121952874	4.01837870054227e-08	0.9	-1.2821200513352475	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
C1orf198	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.336384606090312	0.358951435852626	0.8	-0.5741967389418335	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
CKB	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.460664253852625	5.35871589713987e-08	0.9	-1.4538289952119756	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
CKB	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.0005408540455207	0.308063229907199	0.8	0.43432545539859246	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
FYN	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.477333202718776	5.3549395480686e-08	0.9	1.4704538633669093	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
FYN	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.213796078537859	0.540817904242618	0.8	-0.5071198697813084	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
UGGT1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.190313763173721	6.18716083832501e-08	0.9	1.1791702177945338	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
UGGT1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.524838655282243	0.126278928554698	0.8	-0.7012904887625123	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
OTUD7B	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.252265815346687	6.08729741280136e-08	0.9	1.2412060051860105	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
OTUD7B	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.423631838724724	0.262192602406773	0.8	0.6246307661744909	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
VAT1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.457329061182932	7.80990965248328e-08	0.9	1.432629591379348	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
VAT1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.392362761518318	0.262192602406773	0.8	0.610911188456629	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
FKBP15	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.484893914583698	8.34123764361441e-08	0.9	1.456543893670612	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
FKBP15	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.341234637194392	0.22127181567247	0.8	-0.595067708560452	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
IQGAP2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.871825255419007	9.38555382244182e-08	0.35	0.711237291527339	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
IQGAP2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	1.53473817194216	0.0059215370241487	0.8	1.3903149642797612	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	True	False
EML1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.499446299176251	1.05033629426073e-07	0.35	0.5676072832416083	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
EML1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-2.64776331623041	0.0059215370241487	0.8	-2.000814119913618	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	True
SNX3	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.206621687034683	2.17958528022153e-07	0.9	1.1458344514586052	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SNX3	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.391157599604364	0.610298655976554	0.8	0.5763526599217591	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
MAP2K2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.174223932878497	2.24126526527819e-07	0.9	1.1140015164415198	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
MAP2K2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.247936602818969	0.610298655976554	0.8	-0.5170166059208439	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
SAR1A	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.23245632765664	2.46983763884356e-07	0.9	1.1653489199593363	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SAR1A	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.0116986138722637	0.918812683274642	0.8	0.40715965966795004	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
PPP1R1B	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.662867651704616	3.10503177341879e-07	0.9	-1.559927906805723	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
PPP1R1B	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.409053197224199	0.610298655976554	0.8	0.5837667554146166	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
RBM4	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.317278671881748	3.45287927314236e-07	0.9	1.2311765897011924	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
RBM4	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-1.08613737775988	0.0108269212771313	0.8	-1.1078077930414296	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	True
SUPT16H	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.963927671987368	3.68289688214366e-07	0.35	0.7122238781292825	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
SUPT16H	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.652421909346666	0.0144328239388418	0.8	-0.863737311499795	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	True
CMTM5	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.413934664535991	4.24679949985075e-07	0.9	-1.311983426138673	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
CMTM5	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.0816030217327014	1.0	0.8	0.43264120869308054	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
RANBP1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.217861253646608	5.31746880677353e-07	0.9	-1.121129126706395	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
RANBP1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.0204788381430635	1.0	0.8	-0.4081915352572254	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
ACBD7	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	-0.580752581304435	9.69753343712951e-07	0.9	-1.4242587137007714	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	False	True
ACBD7	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	0.650974216412824	0.0831311427008039	0.8	0.7792858329631357	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
FBP2	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.91158919718856	1.01197039049275e-06	0.9	1.719689373374518	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
FBP2	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.590703702970358	0.18144920772142	0.8	-0.71488821752365	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
UNC93B1	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.986309188504551	9.94665940960493e-07	0.9	1.7880242975432001	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
UNC93B1	MS	GSE301908	snRNA_MIMS2_like_microglia	MIMS2_like_vs_HMG_like	-0.387666199804282	0.22127181567247	0.8	-0.6156680739260119	reconstructed state from snRNA markers; donor-paired but marker-defined	unassigned	False	False
MYL6	MS	GSE279972	foamy_lesion_proteomics	foamy_vs_nonfoamy_lesion	0.197288999947142	1.12360308089498e-06	0.9	1.0730152279027236	bulk lesion proteomics, donor-aware but not cell-specific	unassigned	True	False
