candidate	gene	intervention_node	source_reason	wave63_score	wave63_call	gate_pass_count	failed_gates	manual_or_prior_blocker	ms_l2g	ms_relevant_qtl_h4	strong_l2g_disease_count	relevant_qtl_coloc_disease_count	wave55_genetic_disease_count	local_positive_disease_count	local_negative_disease_count	residual_retained_disease_count	strict_residual_disease_count	ms_expression_min_p	ms_expression_min_fdr	lipid_lysosomal_myeloid_neighborhood	real_perturbation	direct_selectivity_score	direct_target_suppression	foundation_model_support	efferocytosis_support	route_literature_support	chembl_activity_count	route_druggability	wave62_call	wave31_call	wave34_call	wave34a_call	wave57_call	wave61_call	gate_ms_target_resolved	gate_cross_disease_target_resolved	gate_broad_genetic_support	gate_module_or_state_support	gate_strict_residual_or_ms_expression	gate_real_perturbation_support	gate_foundation_model_support	gate_repair_or_efferocytosis_guardrail	gate_druggable_or_modality	gate_no_manual_or_prior_blocker	gate_not_generic_or_cytotoxic
IRF5_MYEL0ID_INHIBITION	IRF5	IRF5	Strong broad genetics benchmark; inhibited myeloid TF route is prior-art/crowded.	0.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	IRF5_TF_prior_art_and_druggability;prior_art_or_crowded_TF_axis;prior_branch_blocker_or_directionality_unresolved;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	7.0	7.0	10.0	0.0	0.0	0.0	0.0	0.5711412387155418	0.9431647247323408	False	True	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	PARK_PRIOR_ART_OR_CROWDING		NO_GO_WAVE61_GUARDRAIL	False	True	True	False	False	False	False	False	False	False	True
IFI30	IFI30	IFI30	wave62_parked_target_resolution	0.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	cross_disease_target_resolved;broad_genetic_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker;not_generic_or_cytotoxic	direct_antigen_processing_host_defense_and_druggability	0.6501023173332214	0.9959013728724722	1.0	3.0	0.0	3.0	0.0	1.0	0.0	0.379946954952182	0.9141270983319502	True	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	True	False	False	False	False	False	False	False
GSK3B	GSK3B	GSK3B	prior_transition_controller_audit	0.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	Primary macrophage perturbation is partially selective, but target genetics/local breadth are weak and chronic GSK3B modulation is pleiotropic.;partial selectivity only, weak genetics/local breadth, chronic pleiotropic safety concerns;NO_GO_PLEIOTROPIC_PARTIAL_CONTROLLER;pleiotropic_neuroimmune_metabolic;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.4753109636188744	0.925497453503607	False	True	0.7779563820432978	1.6223580114004137	False	False	False	0.0	2.0		PARK_SELECTIVE_PERTURBATION_BUT_TRANSLATION_BLOCKED				NO_GO_WAVE61_GUARDRAIL	False	False	False	False	False	True	False	False	True	False	True
CTSB	CTSB	CTSB	prior_transition_controller_audit	0.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;strict_residual_or_ms_expression;real_perturbation_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker;not_generic_or_cytotoxic	L1000 CA-074-Me reversal does not overcome prior cathepsin selectivity and lysosomal repair-direction blockers.;cathepsin B inhibition is plausible only as inflammatory protease control; broad inhibition may impair lysosomal proteolysis and antigen/debris handling;NO_GO_LYSOSOMAL_MODEL_REOPENER;cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking;generic/prior-art inflammatory target CTSB;NO_GO_L1000_ONLY	0.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.8140537383462653	0.9761732664217524	True	False	5.734401462886022	0.0	True	False	False	100.0	1.5	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_L1000_ONLY_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_MODEL_SCREEN	NO_GO_L1000_ONLY	False	False	False	True	False	False	True	False	True	False	False
TNFSF14	TNFSF14	TNFSF14	wave62_parked_target_resolution	0.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	HVEM_LIGHT_axis_directionality_prior_art	0.9683961868286132	0.99996835676439	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.1529206114338398	0.8989378106274888	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	False	True
CDK8_CDK19_MEDIATOR_KINASE	CDK8	CDK8_CDK19_MEDIATOR_KINASE	prior_transition_controller_audit	-0.75	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker;not_generic_or_cytotoxic	Chemical matter exists, but Wave17 found broad IFN/IL-10/Treg prior art and no direct autoimmune APC inhibitor phenocopy.;does not phenocopy MED16 enough locally; prior broad IFN/IL-10/Treg biology and no APC autoimmune validation;NO_GO_SURROGATE_TRANSLATION_BLOCKED	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.2957111900709055	0.9075477698307116	False	True	2.3051173986620066	3.139501453617054	False	False	False	0.0	3.0		PARK_SELECTIVE_PERTURBATION_BUT_TRANSLATION_BLOCKED	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				False	False	False	False	False	True	False	False	True	False	False
CD40	CD40	CD40	wave62v_benchmark_or_module_control	-1.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	prior_art_costimulation_axis	0.0	0.0	1.0	6.0	8.0	2.0	1.0	0.0	0.0	0.0540269612921963	0.8904676266102052	False	False	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_MODEL_SCREEN		False	False	True	False	False	False	False	False	False	False	True
BACH2_TOLERANCE_RESTORATION	BACH2	BACH2	Strong broad genetics benchmark; restoration route has no selective modality.	-1.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	tolerance_TF_restoration_not_druggable	0.0	0.0	3.0	2.0	10.0	1.0	0.0	0.0	0.0	0.2980719423940499	0.9075477698307116	False	False	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				False	False	True	False	False	False	False	False	False	False	True
LRRK2	LRRK2	LRRK2	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	L1000 antigen-presentation reversal exists for XMD-1150, but prior V3 gates found no shared cross-autoimmune module support beyond IBD-skewed biology.;non-obvious target requires prior-art and safety review	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.1043486548165995	0.8989378106274888	False	False	3.766399002569981	0.0	False	False	False	0.0	3.0		NO_GO_L1000_ONLY_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION	False	False	False	False	False	False	False	False	True	False	True
FAAH	FAAH	FAAH	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	L1000 signal is not supported by V3 module genetics or immune-cell perturbation and overlaps prior inflammatory/pain biology.;non-obvious target requires prior-art and safety review	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.1728786876743701	0.8993702893651148	False	False	3.542648036244662	0.0	False	False	False	0.0	2.0		NO_GO_L1000_ONLY_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION	False	False	False	False	False	False	False	False	True	False	True
MKNK1	MKNK1	MKNK1	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	L1000 signal only; translation/initiation kinase route lacks V3 target-specific autoimmune support.;non-obvious target requires prior-art and safety review	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0431690837454023	0.8665399879407999	False	False	3.910711927676272	0.0	False	False	False	0.0	2.0		NO_GO_L1000_ONLY_CONTROLLER				PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION	False	False	False	False	False	False	False	False	True	False	True
PIK3CG	PIK3CG	PIK3CG	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	Immune kinase is druggable but prior V3 target-first audit found no module-specific rescue.;non-obvious target requires prior-art and safety review	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0721793832731482	0.8989378106274888	False	False	3.7163287263497073	0.0	False	False	False	0.0	2.5		NO_GO_DYNAMIC_CONTROLLER				PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION	False	False	False	False	False	False	False	False	True	False	True
MAPK14	MAPK14	MAPK14	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker;not_generic_or_cytotoxic	p38 inflammatory biology is saturated and broad; L1000 signal is insufficient.;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	3.0	0.0	5.0	2.0	0.0	0.0	0.0	0.831669682060653	0.9761732664217524	False	True	-0.0355935028077412	0.0	False	False	False	0.0	2.5	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_DYNAMIC_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			NO_GO_WAVE61_GUARDRAIL	False	False	True	False	False	False	False	False	True	False	False
PLK1	PLK1	PLK1	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	L1000 signal is oncology/cell-cycle heavy and not compatible with chronic autoimmune therapy.;oncology/cell-cycle/stress target PLK1;NO_GO_L1000_ONLY	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0655127037664409	0.8989378106274888	False	False	6.026094179349034	0.0	False	False	False	0.0	2.5		NO_GO_L1000_ONLY_CONTROLLER				NO_GO_L1000_ONLY	False	False	False	False	False	False	False	False	True	False	True
RARG	RARG	RARG	prior_transition_controller_audit	-1.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	2	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	Retinoid autoimmunity/barrier biology is crowded and V3-specific target support is absent.	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.402722295225937	0.9157965328993009	False	False	0.0	0.0	False	False	False	0.0	2.0		NO_GO_L1000_ONLY_CONTROLLER					False	False	False	False	False	False	False	False	True	False	True
MED16	MED16	MED16	prior_transition_controller_audit	-1.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	1	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker;not_generic_or_cytotoxic	Strong primary macrophage perturbation clue, but MED16 itself is not a drug target and CDK8/CDK19 loss does not phenocopy it in the local MHC-II CRISPR screen.;strong selective macrophage perturbation clue but no direct druggable handle;NO_GO_STRONG_PERTURBATION_NO_HANDLE;broad_transcriptional_Mediator_risk;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.8241295054203107	0.9761732664217524	False	True	2.3051173986620066	3.139501453617054	False	False	False	0.0	0.0		PARK_STRONG_PERTURBATION_NO_DRUGGABLE_HANDLE				NO_GO_WAVE61_GUARDRAIL	False	False	False	False	False	True	False	False	False	False	False
RFX5	RFX5	RFX5	prior_transition_controller_audit	-1.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	1	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker;not_generic_or_cytotoxic	Mechanistically selective HLA-II gate but not a tractable drug target.;nonselective_MHCII_host_defense;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.9786885809467264	0.9982687727683835	False	True	0.5231987939104686	0.5517938735080701	False	False	False	0.0	0.0		NO_GO_DYNAMIC_CONTROLLER				NO_GO_WAVE61_GUARDRAIL	False	False	False	False	False	True	False	False	False	False	False
CTNNB1	CTNNB1	CTNNB1	prior_transition_controller_audit	-1.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	1	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker;not_generic_or_cytotoxic	L1000 signal is cell-line only and Wnt/beta-catenin intervention is broad, tissue-context dependent, and not linked to the V3 module.;oncology/cell-cycle/stress target CTNNB1;NO_GO_L1000_ONLY	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.7572678141399579	0.9709375242067292	False	False	5.959333489001663	0.0	False	False	False	0.0	1.0		NO_GO_L1000_ONLY_CONTROLLER				NO_GO_L1000_ONLY	False	False	False	True	False	False	False	False	False	False	False
HSP90AA1	HSP90AA1	HSP90AA1	prior_transition_controller_audit	-2.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	1	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker;not_generic_or_cytotoxic	Strong L1000 reversal is likely stress/proteostasis/cytotoxic signature, not a selective autoimmune APC transition controller.;oncology/cell-cycle/stress target HSP90AA1;NO_GO_L1000_ONLY	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.4235057892504066	0.9195199515584406	False	False	7.878573645422091	0.0	False	False	False	0.0	2.5		NO_GO_L1000_ONLY_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			NO_GO_L1000_ONLY	False	False	False	False	False	False	False	False	True	False	False
CHUK_IKK	CHUK	CHUK_IKK	prior_transition_controller_audit	-2.25	NO_GO_WAVE63_TRANSITION_CONTROLLER	1	ms_target_resolved;cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker;not_generic_or_cytotoxic	Weak selectivity in Mixscale and broad NF-kB toxicity/prior art.;broad_NFKB_host_defense;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.3211760938016935	0.9120391943246274	False	True	0.3353338408117842	0.672021576511123	False	False	False	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_DYNAMIC_CONTROLLER	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY			NO_GO_WAVE61_GUARDRAIL	False	False	False	False	False	False	False	False	True	False	False
