gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
PDIA4	four_disease_low_contradiction;top_rank	18.061463476526377	4.0	0.0	False	-0.6214340839245054	0.0407144742028937	False	3	3	0	3	3	1	1	0	0		ibd_uc_epithelial:0.492,p=0.0026;ibd_crohn_epithelial:0.467,p=0.011;psoriasis_keratinocyte:0.383,p=0.032	ibd_uc_epithelial|complement_phagocytosis:0.477,p=0.00047;ibd_uc_epithelial|lysosomal_apc:0.474,p=0.00097;ibd_uc_epithelial|lipid_loader_repair:0.488,p=0.003;ibd_crohn_epithelial|lysosomal_apc:0.354,p=0.0032;ibd_uc_epithelial|core_lysosomal_lipid:0.415,p=0.005;ibd_crohn_epithelial|complement_phagocytosis:0.428,p=0.017;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.292,p=0.033;psoriasis_keratinocyte|inflammatory_nfkb:0.309,p=0.04	5
CFP	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-2.298076006660539	0.0364971261630132	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.863,p=0.0049;ibd_crohn_myeloid:0.641,p=0.022;psoriasis_skin_apc:0.334,p=0.041	ibd_uc_myeloid|hla_ii_apc:0.745,p=0.011;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.605,p=0.015;ibd_uc_myeloid|lipid_loader_repair:0.635,p=0.016;ibd_crohn_myeloid|lipid_loader_repair:0.623,p=0.026;ibd_crohn_myeloid|hla_ii_apc:0.585,p=0.027;ibd_crohn_myeloid|complement_effector:0.508,p=0.029;psoriasis_skin_apc|mif_cd74_receptor_state:0.289,p=0.031;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.542,p=0.034	5
SMCO4	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.9152482067315876	0.3027646120706504	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.582,p=0.00071;ibd_crohn_myeloid:0.671,p=0.0054;psoriasis_skin_apc:0.22,p=0.049	ibd_crohn_myeloid|hla_ii_apc:0.579,p=0.0017;ibd_uc_myeloid|hla_ii_apc:0.458,p=0.0042;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.446,p=0.0061;ibd_crohn_myeloid|complement_effector:0.536,p=0.0062;ibd_uc_myeloid|lipid_loader_repair:0.446,p=0.0068;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.65,p=0.0077;ibd_crohn_myeloid|lipid_loader_repair:0.627,p=0.0079;ibd_crohn_myeloid|complement_phagocytosis:0.612,p=0.012	5
NMI	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.1366878120920951	0.5370361570982254	False	4	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.324,p=0.0018;psoriasis_skin_apc:0.616,p=0.03;psoriasis_keratinocyte:0.685,p=0.036;ibd_crohn_myeloid:0.332,p=0.042	ibd_uc_myeloid|hla_ii_apc:0.292,p=0.0055;psoriasis_skin_apc|complement_phagocytosis:0.616,p=0.0089;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.619,p=0.012;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.216,p=0.016;ibd_uc_myeloid|lipid_loader_repair:0.225,p=0.023;psoriasis_skin_apc|hif_nampt_metabolic:0.532,p=0.024;psoriasis_skin_apc|mif_cd74_receptor_state:0.619,p=0.027;psoriasis_skin_apc|lipid_loader_repair:0.607,p=0.035	5
MSRB1	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	0.0476228372838241	0.8145296396169516	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.453,p=0.018;ibd_crohn_myeloid:0.358,p=0.025;psoriasis_skin_apc:0.609,p=0.041	psoriasis_skin_apc|hif_nampt_metabolic:0.509,p=0.018;ibd_crohn_myeloid|hla_ii_apc:0.359,p=0.024;ibd_uc_myeloid|hla_ii_apc:0.422,p=0.027;ibd_crohn_myeloid|complement_effector:0.351,p=0.028;psoriasis_skin_apc|lipid_loader_repair:0.523,p=0.028;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.608,p=0.031;ibd_crohn_myeloid|mif_cd74_receptor_state:0.341,p=0.033;psoriasis_skin_apc|complement_phagocytosis:0.61,p=0.034	5
SCD	four_disease_low_contradiction	15.0	4.0	1.0	False	0.3699574700771606	0.1572805657312676	False	3	3	0	3	3	1	1	0	0		ibd_uc_epithelial:0.603,p=0.0038;ibd_crohn_epithelial:0.625,p=0.021;psoriasis_keratinocyte:1.45,p=0.04	ibd_uc_epithelial|lipid_loader_repair:0.637,p=0.00097;ibd_uc_epithelial|lysosomal_apc:0.578,p=0.0023;ibd_uc_epithelial|complement_phagocytosis:0.59,p=0.0044;ibd_uc_epithelial|core_lysosomal_lipid:0.55,p=0.0048;psoriasis_keratinocyte|inflammatory_nfkb:1.25,p=0.022;ibd_crohn_epithelial|complement_phagocytosis:0.521,p=0.029;ibd_uc_epithelial|complement_effector:0.462,p=0.038;ibd_crohn_epithelial|lysosomal_apc:0.511,p=0.039	5
CYTOR	four_disease_low_contradiction	15.0	4.0	1.0	False			False	4	3	0	4	3	1	1	0	0		ibd_crohn_myeloid:0.411,p=0.0093;ibd_uc_myeloid:0.546,p=0.019;ibd_uc_stromal:0.496,p=0.028;t1d_stellate_cell:0.414,p=0.034	t1d_stellate_cell|lysosomal_apc:0.388,p=0.0022;ibd_uc_stromal|ifn_apc:0.52,p=0.01;ibd_crohn_myeloid|hla_ii_apc:0.406,p=0.011;ibd_uc_stromal|lysosomal_apc:0.536,p=0.013;t1d_stellate_cell|c1q_phagocytic_myeloid:0.435,p=0.016;t1d_stellate_cell|core_lysosomal_lipid:0.268,p=0.019;t1d_stellate_cell|lipid_loader_repair:0.267,p=0.021;ibd_uc_stromal|hla_ii_apc:0.445,p=0.023	5
SERPINA1	top_rank	22.004886256284884	3.0	0.0	False	-0.2970372840590478	0.334044421696787	False	6	3	0	6	3	3	1	0	0		ibd_uc_myeloid:2.51,p=0.0042;ibd_uc_epithelial:0.336,p=0.0053;ibd_crohn_myeloid:1.7,p=0.011;t1d_ductal_cell:0.63,p=0.036;t1d_endothelial_cell:1.07,p=0.037;t1d_acinar_cell:0.952,p=0.041	ibd_crohn_myeloid|hla_ii_apc:1.84,p=0.00058;ibd_uc_epithelial|complement_phagocytosis:0.333,p=0.0056;ibd_uc_epithelial|lysosomal_apc:0.328,p=0.0057;t1d_endothelial_cell|core_lysosomal_lipid:0.598,p=0.0065;ibd_uc_epithelial|lipid_loader_repair:0.327,p=0.0076;t1d_endothelial_cell|lysosomal_apc:0.864,p=0.0078;t1d_endothelial_cell|lipid_loader_repair:0.59,p=0.008;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.39,p=0.0089	5
LCN2	top_rank	21.0	3.0	0.0	False	-0.5023389988968477	0.6231471760280782	False	4	3	0	4	3	1	1	0	0		ibd_uc_epithelial:4.82,p=0.00034;ibd_crohn_epithelial:2.31,p=0.0084;ibd_uc_stromal:0.367,p=0.019;t1d_endothelial_cell:1.56,p=0.043	ibd_uc_epithelial|complement_phagocytosis:4.69,p=6.7e-09;ibd_uc_epithelial|lysosomal_apc:4.71,p=7.1e-06;ibd_uc_epithelial|core_lysosomal_lipid:3.84,p=0.00077;ibd_uc_epithelial|lipid_loader_repair:4.47,p=0.0016;ibd_uc_epithelial|mixscale_validated_ifng_readout:2.85,p=0.0058;ibd_crohn_epithelial|lysosomal_apc:1.92,p=0.0068;ibd_crohn_epithelial|complement_phagocytosis:2.1,p=0.01;ibd_uc_stromal|ifn_apc:0.375,p=0.011	5
CXCL3	top_rank	21.0	3.0	0.0	False	0.004094684426982	0.993312536598802	False	5	3	0	4	3	2	1	0	0		ibd_crohn_epithelial:0.427,p=0.0077;t1d_ductal_cell:0.722,p=0.0088;t1d_endothelial_cell:0.681,p=0.011;ibd_uc_epithelial:0.53,p=0.016;t1d_acinar_cell:1.07,p=0.048	t1d_ductal_cell|lysosomal_apc:0.376,p=0.00056;t1d_ductal_cell|core_lysosomal_lipid:0.378,p=0.00084;t1d_ductal_cell|complement_effector:0.454,p=0.0029;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.666,p=0.0063;t1d_endothelial_cell|lysosomal_apc:0.611,p=0.0069;t1d_ductal_cell|lipid_loader_repair:0.592,p=0.007;t1d_ductal_cell|complement_phagocytosis:0.751,p=0.0079;ibd_uc_epithelial|complement_phagocytosis:0.513,p=0.0084	5
CXCL1	top_rank	21.0	3.0	0.0	False	1.2680322005771751	0.1506253392240219	False	4	3	0	4	3	2	1	0	0		ibd_uc_epithelial:1.34,p=0.0068;t1d_ductal_cell:0.974,p=0.017;ibd_crohn_epithelial:0.637,p=0.018;t1d_endothelial_cell:1.32,p=0.036	ibd_uc_epithelial|complement_phagocytosis:1.3,p=0.0026;ibd_uc_epithelial|lysosomal_apc:1.3,p=0.0043;t1d_ductal_cell|complement_effector:0.551,p=0.0088;ibd_uc_epithelial|lipid_loader_repair:1.29,p=0.0097;ibd_uc_epithelial|core_lysosomal_lipid:1.13,p=0.012;t1d_ductal_cell|lysosomal_apc:0.492,p=0.012;t1d_endothelial_cell|lysosomal_apc:1.13,p=0.013;t1d_ductal_cell|core_lysosomal_lipid:0.493,p=0.013	5
CXCL2	top_rank	20.0	3.0	0.0	False	0.5504440262199104	0.2523563033377436	False	5	3	0	5	3	1	1	0	0		ibd_uc_stromal:0.574,p=0.009;ibd_crohn_epithelial:0.369,p=0.02;t1d_endothelial_cell:0.829,p=0.028;ibd_uc_myeloid:0.639,p=0.028;ibd_uc_epithelial:0.496,p=0.035	ibd_uc_stromal|ifn_apc:0.597,p=0.0033;ibd_uc_stromal|complement_effector:0.582,p=0.0035;ibd_uc_stromal|lysosomal_apc:0.575,p=0.0088;ibd_uc_stromal|hla_ii_apc:0.532,p=0.0091;ibd_uc_stromal|core_lysosomal_lipid:0.517,p=0.021;ibd_uc_stromal|lipid_loader_repair:0.511,p=0.024;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.826,p=0.029;ibd_crohn_epithelial|lysosomal_apc:0.319,p=0.031	5
OLFM4	top_rank	19.0	3.0	0.0	False			False	4	3	0	4	3	2	1	0	0		ibd_crohn_epithelial:1.9,p=0.00051;ibd_uc_epithelial:2.52,p=0.0018;t1d_acinar_cell:1.28,p=0.038;t1d_ductal_cell:0.657,p=0.048	ibd_crohn_epithelial|lysosomal_apc:1.6,p=0.00019;ibd_crohn_epithelial|complement_phagocytosis:1.7,p=0.00043;ibd_uc_epithelial|complement_phagocytosis:2.55,p=0.00045;ibd_uc_epithelial|lysosomal_apc:2.55,p=0.00047;ibd_uc_epithelial|lipid_loader_repair:2.04,p=0.0069;ibd_uc_epithelial|core_lysosomal_lipid:1.95,p=0.011;ibd_uc_epithelial|mixscale_validated_ifng_readout:1.6,p=0.019;ibd_crohn_epithelial|hla_ii_apc:0.954,p=0.02	5
ARPC5	top_rank	18.2792045203122	3.0	0.0	False	0.1591591141179691	0.2177922488849154	False	4	3	0	4	3	1	1	0	0		ibd_crohn_myeloid:0.468,p=3.7e-05;ibd_uc_myeloid:0.607,p=0.0015;psoriasis_skin_stromal:0.358,p=0.032;ibd_uc_stromal:0.282,p=0.042	ibd_crohn_myeloid|hla_ii_apc:0.427,p=8.2e-05;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.458,p=8.7e-05;ibd_crohn_myeloid|complement_effector:0.383,p=0.00022;ibd_crohn_myeloid|lipid_loader_repair:0.383,p=0.00031;ibd_crohn_myeloid|complement_phagocytosis:0.433,p=0.0004;ibd_crohn_myeloid|mif_cd74_receptor_state:0.336,p=0.0016;ibd_crohn_myeloid|lysosomal_apc:0.3,p=0.0023;ibd_crohn_myeloid|core_lysosomal_lipid:0.3,p=0.0027	5
TTYH3	top_rank	18.211642479360226	3.0	0.0	False	0.3792362363776007	0.1845335127721597	False	4	3	0	4	3	1	1	0	0		ibd_uc_epithelial:0.294,p=0.0021;ibd_crohn_epithelial:0.249,p=0.0027;psoriasis_skin_stromal:0.321,p=0.0067;ibd_uc_stromal:0.478,p=0.01	ibd_uc_epithelial|lysosomal_apc:0.282,p=0.00036;ibd_uc_epithelial|complement_phagocytosis:0.286,p=0.0011;ibd_uc_stromal|lysosomal_apc:0.527,p=0.0012;ibd_crohn_epithelial|lysosomal_apc:0.2,p=0.002;ibd_uc_stromal|hla_ii_apc:0.433,p=0.0021;ibd_uc_epithelial|lipid_loader_repair:0.291,p=0.0026;psoriasis_skin_stromal|lipid_loader_repair:0.325,p=0.0027;psoriasis_skin_stromal|inflammatory_nfkb:0.322,p=0.0031	5
RAB10	top_rank	18.065708832000272	3.0	0.0	False	0.0127326088185011	0.9341460586882564	False	4	3	0	4	3	1	1	0	0		ibd_crohn_epithelial:0.299,p=0.0014;ibd_crohn_myeloid:0.362,p=0.003;ibd_uc_myeloid:0.296,p=0.016;t1d_acinar_cell:0.465,p=0.021	ibd_crohn_epithelial|lysosomal_apc:0.238,p=0.00092;ibd_crohn_myeloid|hla_ii_apc:0.333,p=0.0035;ibd_crohn_epithelial|complement_phagocytosis:0.264,p=0.0037;ibd_crohn_myeloid|complement_effector:0.297,p=0.0044;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.326,p=0.0047;ibd_crohn_myeloid|lipid_loader_repair:0.339,p=0.0068;t1d_acinar_cell|complement_phagocytosis:0.348,p=0.0085;ibd_crohn_myeloid|complement_phagocytosis:0.299,p=0.0092	5
S100A8	top_rank	18.0	3.0	0.0	False	-2.8735647302284484	0.0618526869677346	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:11.1,p=0.0056;psoriasis_keratinocyte:8.09,p=0.016;ibd_crohn_myeloid:8.65,p=0.035	ibd_crohn_myeloid|hla_ii_apc:9.77,p=0.0016;ibd_uc_myeloid|hla_ii_apc:9.64,p=0.012;ibd_uc_myeloid|c1q_phagocytic_myeloid:7.94,p=0.013;psoriasis_keratinocyte|inflammatory_nfkb:7.11,p=0.015;ibd_uc_myeloid|lipid_loader_repair:7.07,p=0.015;ibd_crohn_myeloid|mif_cd74_receptor_state:9.3,p=0.019;ibd_crohn_myeloid|complement_effector:9.09,p=0.023;ibd_crohn_myeloid|core_lysosomal_lipid:7.47,p=0.027	5
S100A9	top_rank	18.0	3.0	0.0	False	-1.408029161012294	0.2499891152292659	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:2.68,p=0.0075;ibd_crohn_myeloid:1.53,p=0.012;psoriasis_keratinocyte:9.74,p=0.042	ibd_crohn_myeloid|hla_ii_apc:1.62,p=0.0021;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.29,p=0.011;ibd_crohn_myeloid|lipid_loader_repair:1.21,p=0.016;ibd_crohn_myeloid|complement_effector:1.48,p=0.016;ibd_crohn_myeloid|core_lysosomal_lipid:1.2,p=0.017;ibd_crohn_myeloid|mif_cd74_receptor_state:1.46,p=0.018;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.96,p=0.018;ibd_uc_myeloid|hla_ii_apc:2.28,p=0.019	5
RAB24	top_rank	17.106129904130274	3.0	0.0	False	-0.4718470923170326	0.2316258965705408	False	3	3	0	3	3	1	1	0	0		ibd_crohn_myeloid:0.574,p=0.018;t1d_acinar_cell:0.299,p=0.031;ibd_uc_myeloid:0.307,p=0.043	ibd_crohn_myeloid|lipid_loader_repair:0.596,p=0.013;ibd_crohn_myeloid|core_lysosomal_lipid:0.449,p=0.019;ibd_crohn_myeloid|hla_ii_apc:0.541,p=0.019;ibd_crohn_myeloid|complement_effector:0.514,p=0.024;ibd_uc_myeloid|hla_ii_apc:0.327,p=0.03;t1d_acinar_cell|ifn_apc:0.208,p=0.032;t1d_acinar_cell|complement_phagocytosis:0.254,p=0.034;t1d_acinar_cell|mif_cd74_receptor_state:0.279,p=0.035	5
SERPINB1	top_rank	17.005668863933597	3.0	0.0	False	0.025950166986302	0.8686302203659795	False	4	3	0	4	3	1	1	0	0		ibd_uc_myeloid:0.443,p=0.0085;ibd_uc_epithelial:0.461,p=0.009;ibd_crohn_epithelial:0.205,p=0.037;psoriasis_keratinocyte:0.606,p=0.04	ibd_uc_myeloid|hla_ii_apc:0.465,p=0.0036;ibd_uc_epithelial|complement_phagocytosis:0.459,p=0.0093;ibd_uc_epithelial|lysosomal_apc:0.452,p=0.0098;ibd_uc_epithelial|lipid_loader_repair:0.456,p=0.01;ibd_uc_epithelial|core_lysosomal_lipid:0.419,p=0.019;ibd_uc_myeloid|lipid_loader_repair:0.38,p=0.029;ibd_crohn_epithelial|complement_phagocytosis:0.207,p=0.033;ibd_uc_epithelial|c1q_phagocytic_myeloid:0.365,p=0.044	5
CSGALNACT1	top_rank	17.0	3.0	0.0	False	-0.3755440485743797	0.1745940191208913	False	4	3	0	4	3	1	1	0	0		ibd_crohn_myeloid:0.405,p=0.003;ibd_uc_myeloid:0.585,p=0.0065;psoriasis_skin_stromal:0.366,p=0.025;ibd_crohn_stromal:0.681,p=0.044	ibd_crohn_myeloid|hla_ii_apc:0.389,p=0.0041;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.354,p=0.0043;psoriasis_skin_stromal|inflammatory_nfkb:0.371,p=0.0048;ibd_crohn_myeloid|complement_effector:0.359,p=0.0067;ibd_crohn_myeloid|lipid_loader_repair:0.354,p=0.0072;ibd_crohn_myeloid|complement_phagocytosis:0.317,p=0.009;psoriasis_skin_stromal|hif_nampt_metabolic:0.344,p=0.011;ibd_crohn_myeloid|mif_cd74_receptor_state:0.335,p=0.012	5
GBP4	top_rank	17.0	3.0	0.0	False	0.405019017634137	0.0775354784129323	False	3	3	0	3	3	1	1	0	0		psoriasis_skin_apc:0.335,p=0.0014;ibd_uc_myeloid:0.468,p=0.0071;ibd_crohn_myeloid:0.958,p=0.011	ibd_crohn_myeloid|hla_ii_apc:0.811,p=0.0025;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.334,p=0.0034;psoriasis_skin_apc|complement_phagocytosis:0.335,p=0.0035;psoriasis_skin_apc|lipid_loader_repair:0.317,p=0.0086;ibd_crohn_myeloid|complement_effector:0.765,p=0.01;psoriasis_skin_apc|hif_nampt_metabolic:0.319,p=0.012;ibd_crohn_myeloid|lipid_loader_repair:0.914,p=0.015;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.916,p=0.015	5
PDE4B	mechanistic_scout	14.186413443238964	3.0	0.0	False	-0.429544411286491	0.2820953249716317	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.919,p=0.00029;psoriasis_skin_stromal:0.503,p=0.012;ibd_crohn_myeloid:0.808,p=0.014	psoriasis_skin_stromal|hif_nampt_metabolic:0.481,p=0.00095;psoriasis_skin_stromal|inflammatory_nfkb:0.508,p=0.0037;ibd_crohn_myeloid|hla_ii_apc:0.861,p=0.0037;ibd_uc_myeloid|hla_ii_apc:0.736,p=0.0037;ibd_uc_myeloid|lipid_loader_repair:0.549,p=0.0039;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.465,p=0.0055;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.784,p=0.0056;psoriasis_skin_stromal|lipid_loader_repair:0.504,p=0.012	5
KRTCAP3	top_rank	20.0	2.0	0.0	True	2.0628495204019814	0.0373082507309811	False	2	1	0	2	1	2	1	0	0		t1d_ductal_cell:0.273,p=0.022;t1d_endothelial_cell:0.53,p=0.034	t1d_ductal_cell|complement_phagocytosis:0.325,p=0.011;t1d_ductal_cell|c1q_phagocytic_myeloid:0.279,p=0.023;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.526,p=0.036;t1d_endothelial_cell|hla_ii_apc:0.504,p=0.039;t1d_endothelial_cell|ifn_apc:0.493,p=0.044;t1d_endothelial_cell|lysosomal_apc:0.488,p=0.049	5
HLA-DMA	four_disease_low_contradiction	16.0	4.0	0.0	False	0.2126620284251732	0.2606019417088906	False	4	4	0	2	2	1	1	0	0		ibd_uc_epithelial:0.316,p=0.0089;t1d_acinar_cell:0.255,p=0.014;sjogren_gland_epithelial:0.301,p=0.028;ibd_crohn_epithelial:0.41,p=0.038	ibd_uc_epithelial|lysosomal_apc:0.328,p=0.0026;ibd_uc_epithelial|complement_phagocytosis:0.311,p=0.0093;sjogren_gland_epithelial|hif_nampt_metabolic:0.323,p=0.013;sjogren_gland_epithelial|core_lysosomal_lipid:0.327,p=0.015;sjogren_gland_epithelial|lysosomal_apc:0.326,p=0.015;ibd_uc_epithelial|core_lysosomal_lipid:0.25,p=0.019;sjogren_gland_epithelial|complement_effector:0.31,p=0.02;sjogren_gland_epithelial|lipid_loader_repair:0.316,p=0.02	4
POMP	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	24.0	5.0	0.0	False	-0.0430089608388559	0.762824900529835	False	4	3	0	2	2	1	1	0	0		psoriasis_skin_stromal:0.3,p=0.0078;ibd_uc_stromal:0.456,p=0.012;t1d_acinar_cell:0.287,p=0.02;ibd_uc_myeloid:0.309,p=0.049	psoriasis_skin_stromal|inflammatory_nfkb:0.296,p=0.0012;psoriasis_skin_stromal|hif_nampt_metabolic:0.307,p=0.0016;ibd_uc_stromal|hla_ii_apc:0.415,p=0.0052;ibd_uc_stromal|ifn_apc:0.467,p=0.0056;psoriasis_skin_stromal|lipid_loader_repair:0.28,p=0.0067;ibd_uc_stromal|complement_effector:0.459,p=0.0088;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.295,p=0.0093;ibd_uc_stromal|lysosomal_apc:0.461,p=0.01	4
CD24	four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	4.0	0.0	False	-0.3131457372415891	0.79096128985077	False	5	3	0	4	2	2	1	0	0		t1d_ductal_cell:0.35,p=0.0013;ibd_uc_epithelial:0.371,p=0.0089;t1d_endothelial_cell:0.913,p=0.011;ibd_crohn_epithelial:0.28,p=0.033;ibd_uc_stromal:0.248,p=0.035	ibd_uc_epithelial|lysosomal_apc:0.346,p=0.00034;t1d_ductal_cell|complement_phagocytosis:0.378,p=0.00056;ibd_uc_epithelial|complement_phagocytosis:0.353,p=0.00085;t1d_ductal_cell|c1q_phagocytic_myeloid:0.353,p=0.0015;t1d_ductal_cell|lipid_loader_repair:0.31,p=0.0021;ibd_uc_epithelial|lipid_loader_repair:0.395,p=0.0027;ibd_uc_epithelial|core_lysosomal_lipid:0.303,p=0.0031;t1d_endothelial_cell|lysosomal_apc:0.831,p=0.0076	4
STAT1	mechanistic_scout;top_rank	18.57678482091551	3.0	0.0	False	0.5378996098681981	0.1363451431707629	False	5	3	0	4	2	1	1	0	0		ibd_crohn_myeloid:0.911,p=0.0046;ibd_crohn_epithelial:0.347,p=0.011;ibd_uc_myeloid:0.373,p=0.025;ibd_crohn_stromal:0.624,p=0.027;psoriasis_skin_stromal:0.562,p=0.046	ibd_crohn_myeloid|hla_ii_apc:0.74,p=0.00061;ibd_crohn_stromal|complement_effector:0.524,p=0.001;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.942,p=0.0025;psoriasis_skin_stromal|hif_nampt_metabolic:0.578,p=0.0041;ibd_crohn_myeloid|complement_phagocytosis:0.916,p=0.0042;ibd_crohn_stromal|inflammatory_nfkb:0.707,p=0.0043;psoriasis_skin_stromal|inflammatory_nfkb:0.553,p=0.0063;ibd_crohn_myeloid|lipid_loader_repair:0.878,p=0.0069	4
PSME2	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	27.06715336283678	5.0	0.0	False	-0.2525338557141818	0.4970034386143676	False	4	2	0	4	2	2	1	0	0		ibd_uc_myeloid:0.706,p=0.00025;ibd_uc_stromal:0.413,p=0.0081;psoriasis_skin_apc:0.822,p=0.01;psoriasis_keratinocyte:0.997,p=0.048	ibd_uc_stromal|complement_effector:0.421,p=0.00039;ibd_uc_myeloid|lipid_loader_repair:0.599,p=0.0038;psoriasis_skin_apc|mif_cd74_receptor_state:0.714,p=0.0045;ibd_uc_stromal|lysosomal_apc:0.423,p=0.0056;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.558,p=0.0061;ibd_uc_stromal|ifn_apc:0.417,p=0.0081;psoriasis_skin_apc|hif_nampt_metabolic:0.791,p=0.0082;ibd_uc_myeloid|hla_ii_apc:0.513,p=0.0089	4
MMP7	four_disease_low_contradiction;top_rank	25.0	4.0	0.0	False	1.836134503047833	0.1901690746366625	False	5	2	0	5	2	4	1	0	0		ibd_uc_epithelial:3.02,p=0.0077;t1d_endothelial_cell:1.4,p=0.025;t1d_acinar_cell:1.05,p=0.028;t1d_ductal_cell:0.36,p=0.033;t1d_stellate_cell:1.56,p=0.046	ibd_uc_epithelial|lysosomal_apc:2.96,p=0.0062;ibd_uc_epithelial|complement_phagocytosis:3.01,p=0.0079;ibd_uc_epithelial|lipid_loader_repair:2.99,p=0.0084;t1d_ductal_cell|complement_phagocytosis:0.412,p=0.0099;ibd_uc_epithelial|core_lysosomal_lipid:2.73,p=0.012;t1d_ductal_cell|c1q_phagocytic_myeloid:0.365,p=0.017;t1d_endothelial_cell|c1q_phagocytic_myeloid:1.37,p=0.025;t1d_acinar_cell|mif_cd74_receptor_state:0.873,p=0.028	4
AGRN	four_disease_low_contradiction;top_rank	22.173871244580905	4.0	0.0	False	-0.1994784498572919	0.5354048479004957	False	3	2	0	3	2	2	1	0	0		ibd_uc_epithelial:0.254,p=0.0063;psoriasis_keratinocyte:0.337,p=0.025;psoriasis_skin_stromal:0.314,p=0.043	ibd_uc_epithelial|complement_phagocytosis:0.26,p=0.0027;ibd_uc_epithelial|lysosomal_apc:0.258,p=0.0039;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.269,p=0.021;psoriasis_skin_stromal|inflammatory_nfkb:0.316,p=0.035;psoriasis_keratinocyte|inflammatory_nfkb:0.275,p=0.038;psoriasis_skin_stromal|hif_nampt_metabolic:0.305,p=0.043;psoriasis_keratinocyte|hif_nampt_metabolic:0.313,p=0.047	4
PSMA5	four_disease_low_contradiction;top_rank	21.07568348537941	4.0	0.0	False	-0.1820091427843166	0.6669236814806572	False	3	2	0	3	2	1	1	0	0		ibd_uc_myeloid:0.312,p=0.0031;ibd_uc_stromal:0.348,p=0.023;psoriasis_skin_stromal:0.243,p=0.032	ibd_uc_stromal|lysosomal_apc:0.409,p=0.00081;ibd_uc_stromal|complement_effector:0.356,p=0.0032;ibd_uc_stromal|core_lysosomal_lipid:0.319,p=0.0056;ibd_uc_myeloid|lipid_loader_repair:0.293,p=0.0069;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.207,p=0.0094;ibd_uc_myeloid|complement_effector:0.28,p=0.011;ibd_uc_myeloid|hla_ii_apc:0.267,p=0.015;ibd_uc_stromal|inflammatory_nfkb:0.347,p=0.024	4
