candidate	source	source_wave	mechanism	modality	source_call	primary_blocker	missing_gates	escape_score	support_summary	manual_escape_logic	recommended_next_test	has_concrete_next_test
OBFC1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
OLFR266	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
OLFR615	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
PCDHB12	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
PLLP	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
PYDC3	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
SCGB1C1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
SEMA4G	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TAGAP1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TAS2R106	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TDRD1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TIAL1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TRIM46	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
TSC1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
VMN1R142	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
VMN2R87	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
EPHX2_SEH_OXYLIPIN_RATIO	wave83	wave74_ephx2_oxylipin_specificity	soluble epoxide hydrolase inhibition to preserve epoxy-fatty acids	small-molecule EPHX2/sEH inhibitor	NO_GO	available data do not resolve an EPHX2-specific mechanism over generic lipid/inflammatory disturbance	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	2.3249999999999993	reachable=1;prior=1;safety=1;response=1;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
MED16_MEDIATOR_MODULE	wave83	wave53_perturbation_first_pivot	drug Mediator regulatory machinery, ideally via a selective CDK8/19 or Mediator-module strategy	small molecule or genetic perturbation depending on route	WETLAB_ONLY_MED16_SELECTIVE_NONDRUGGABLE_ROUTE	The real Med16_KO signal is strong, but the route lacks a target-specific MS anchor and a safe selective druggable handle; practical Mediator/CDK8/19 modulation risks broad transcriptional or oncology-like toxicity.	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;safety_direction_clear;fewer_than_two_support_channels	1.7899999999999998	reachable=1;prior=1;safety=0;response=0;direct=1;foundation=0;ms=0;genetics=0;specificity=0			False
LILRB5_INHIBITORY_RECEPTOR	wave83	wave78_lilrb_inhibitory_receptor_audit	LILRB5 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_LILRB_LOCAL_AUDIT	does not pass target-level local gates	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	1.1500000000000006	reachable=1;prior=1;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
CD58_CD2_AXIS	wave83	wave80_cd58_cd2_axis_deepening	CD58-CD2 interaction/state marker	biologic or fusion protein precedent	PARK_CD58_CD2_AXIS_PRIOR_ART_OR_IBD_LIMITED	MS genetics and RA CD58 signal survive T-cell adjustment, but IBD replication, direction, or prior art block promotion	prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	0.9299999999999997	reachable=1;prior=0;safety=0;response=1;direct=0;foundation=0;ms=1;genetics=1;specificity=0			False
IFI30_TARGETABILITY	wave83	wave79_targetability_shortlist_audit	IFI30 targetability shortlist route	benchmark_antigen_processing_no_clean_modality	NO_GO_TARGETABILITY_SHORTLIST_NODE	insufficient target-level convergence after strict gates	reachable_modality;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-0.14500000000000024	reachable=0;prior=0;safety=1;response=0;direct=0;foundation=0;ms=1;genetics=1;specificity=0			False
eicosanoid_receptors	wave83	wave23_metabolite_barrier_circuit	Eicosanoid / leukotriene / prostaglandin sensors	NSAIDs, leukotriene modifiers, prostanoid receptor ligands, and LTA4H inhibitors provide chemical matter	NO_GO	Leukotriene/prostaglandin immunology is crowded, directionally contradictory, and not selective for the V3 APC state.	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-0.32499999999999996	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0			False
ppar_lxr_lipid_nuclear	wave83	wave23_metabolite_barrier_circuit	PPAR/LXR/RXR lipid nuclear receptors	approved PPAR agonists and preclinical LXR agonists exist; RXR agonists are pleiotropic	NO_GO	Already demoted in Wave19 for mixed/negative local signal and saturated PPAR/LXR autoimmune/metabolic prior art.	cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-0.47999999999999976	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0			False
SEL1L3_TARGETABILITY	wave83	wave79_targetability_shortlist_audit	SEL1L3 targetability shortlist route	undercharacterized_membrane_marker	NO_GO_TARGETABILITY_SHORTLIST_NODE	insufficient target-level convergence after strict gates	reachable_modality;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-0.8950000000000002	reachable=0;prior=0;safety=1;response=0;direct=0;foundation=0;ms=1;genetics=0;specificity=0			False
P4HB_TARGETABILITY	wave83	wave79_targetability_shortlist_audit	P4HB targetability shortlist route	chembl_enzyme_but_broad_er_redox	NO_GO_TARGETABILITY_SHORTLIST_NODE	insufficient target-level convergence after strict gates	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.0349999999999997	reachable=1;prior=0;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
CHUK_IKK_MODULATION	wave83	wave53_perturbation_first_pivot	modulate IKK-alpha/NF-kB pathway output	small molecule or genetic perturbation depending on route	NO_GO_PERTURBATION_FIRST_PIVOT	CHUK/IKK-alpha is weakly perturbation-positive but broad NF-kB biology lacks selectivity and novelty.	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.13	reachable=1;prior=0;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
bile_acid_fxr_tgr5	wave83	wave23_metabolite_barrier_circuit	Bile-acid receptors FXR/TGR5	FXR agonists and TGR5 agonist chemistry exist; gut-restricted FXR concepts are plausible	NO_GO	This is the least obviously saturated cross-autoimmune route, but local V3 state support is absent and PBC/IBD/metabolic bile-acid art is substantial.	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.19	reachable=1;prior=0;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
TNFRSF1A_DAMPING	wave83	wave53_perturbation_first_pivot	modulate TNFR1/TNF pathway output without worsening demyelination	small molecule or genetic perturbation depending on route	NO_GO_PERTURBATION_FIRST_PIVOT	TNFRSF1A/TNF perturbation is genetically broad but MS direction is unsafe because TNF blockade can worsen demyelinating biology; local MS expression is negative.	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.2999999999999998	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=0;genetics=1;specificity=0			False
SLAMF7_SIGNAL_BIAS	wave83	wave64_slamf7_perturbation_audit	SLAMF7 engagement or antagonism in myeloid/APC states	antibody_or_biologic_hypothetical	PARK_ASSAY_DESIGN	NO_GO_NO_HUMAN_DISEASE_ANCHOR;NO_GO_WRONG_OR_UNKNOWN_DIRECTION;NO_GO_GENERIC_INFLAMMATION_ONLY;NO_GO_REPAIR_GUARDRAIL_FAIL;NO_GO_HOST_DEFENSE_OR_TOXICITY_FAIL;NO_GO_NO_CROSS_DISEASE_REPLICATION;NO_GO_PRIOR_ART_BLOCKED_OR_UNSEARCHED	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.3499999999999999	reachable=1;prior=0;safety=0;response=0;direct=1;foundation=0;ms=0;genetics=0;specificity=0			False
IL7R_TARGETED_ROUTE	wave83	wave58_cxcr2_il7r_targeted_audit	IL7R targeted autoimmune route	small molecule or biologic depending on target	NO_GO_WAVE58_TARGETED_AUDIT	strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.4	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=1;specificity=0			False
retinoid_vdr_rxr	wave83	wave23_metabolite_barrier_circuit	Retinoid/RAR/RXR/VDR differentiation-barrier axis	retinoids, rexinoids, vitamin-D analogs, and VDR agonists exist	NO_GO	Vitamin D, retinoic-acid, and RXR/RAR immunomodulation are very crowded and pleiotropic.	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.485	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=1;genetics=0;specificity=0			False
LILRB2_INHIBITORY_RECEPTOR	wave83	wave78_lilrb_inhibitory_receptor_audit	LILRB2 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.5799999999999998	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0			False
LILRB4_INHIBITORY_RECEPTOR	wave83	wave78_lilrb_inhibitory_receptor_audit	LILRB4 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.7	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0			False
CFB_FACTOR_B_INHIBITION	wave83	wave44_cfb_complement_stratification_audit	Factor B inhibition of alternative complement amplification	Secreted complement alternative-pathway serine protease; strong ChEMBL activity landscape; oral factor B inhibitors exist.	Use as druggability/prior-art comparator only.	Direct prior art: iptacopan/LNP023 in IgA nephropathy and complement diseases; Google Patents factor B inhibitor method claims.; Encapsulated-bacteria infection risk, complement host defense, kidney/complement indication crowding.	ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-1.735	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
DAB2_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	no genetics, no broad recurrence, no surface/secreted route, and no target chemistry in local artifacts	none mature; intracellular adaptor/endocytic protein	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.8499999999999999	reachable=0;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0			False
CD9_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	tetraspanin pleiotropy, no genetics, no cross-disease breadth in Wave81, and prior Wave71 flags disease-state direction conflict	antibody or tetraspanin-targeted biologic is technically possible but biologically broad	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.8499999999999999	reachable=0;prior=0;safety=0;response=0;direct=1;foundation=0;ms=1;genetics=0;specificity=0			False
PSAP_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	no genetics/modality channel in Wave81, weak cross-autoimmune recurrence, and no resolved intervention biomarker	protein/peptide or lysosomal-lipid support is conceivable, but not supported by the local cross-autoimmune evidence	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	reachable_modality;cross_disease_cellstate;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-1.925	reachable=0;prior=0;safety=0;response=0;direct=0;foundation=1;ms=1;genetics=0;specificity=0			False
CTSB_LYSOSOMAL_SPHINGOLIPID	wave83	wave59_lysosomal_sphingolipid_model_reopener_audit	CTSB lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_LYSOSOMAL_MODEL_REOPENER	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-2.125	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=0;specificity=0			False
ASAH1_LYSOSOMAL_SPHINGOLIPID	wave83	wave59_lysosomal_sphingolipid_model_reopener_audit	ASAH1 lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_LYSOSOMAL_MODEL_REOPENER	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-2.125	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=0;specificity=0			False
HEXA_LYSOSOMAL_SPHINGOLIPID	wave83	wave59_lysosomal_sphingolipid_model_reopener_audit	HEXA lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_LYSOSOMAL_MODEL_REOPENER	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-2.125	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=0;specificity=0			False
HEXB_LYSOSOMAL_SPHINGOLIPID	wave83	wave59_lysosomal_sphingolipid_model_reopener_audit	HEXB lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_LYSOSOMAL_MODEL_REOPENER	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-2.125	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=0;specificity=0			False
CXCR2_TARGETED_ROUTE	wave83	wave58_cxcr2_il7r_targeted_audit	CXCR2 targeted autoimmune route	small molecule or biologic depending on target	NO_GO_WAVE58_TARGETED_AUDIT	ms_external_genetic_anchor; strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	-2.15	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=0;specificity=0			False
GSK3B_INHIBITION	wave83	wave53_perturbation_first_pivot	partial GSK3B inhibition to damp antigen-processing readouts	small molecule or genetic perturbation depending on route	NO_GO_GSK3B_REAL_PERTURBATION_PRIOR_ART_PLEIOTROPY	Gsk3b_KO has real perturbation support but GSK3B is pleiotropic, prior-art crowded in neuroimmune disease, and locally lacks FDR-supported MS/cross-disease cell-state anchoring.	reachable_modality;cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional	-2.215	reachable=0;prior=0;safety=0;response=0;direct=1;foundation=1;ms=0;genetics=0;specificity=0			False
RFX5_MHCII_PARTIAL_SUPPRESSION	wave83	wave53_perturbation_first_pivot	partially suppress RFX5/MHC-II transcriptional output	small molecule or genetic perturbation depending on route	NO_GO_PERTURBATION_FIRST_PIVOT	RFX5 is a direct antigen-presentation transcriptional node, but the whole HLA-II axis is already closed for host-defense and nonselective antigen-presentation suppression risk.	reachable_modality;cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional	-2.215	reachable=0;prior=0;safety=0;response=0;direct=1;foundation=1;ms=0;genetics=0;specificity=0			False
GPR183_oxysterol_gradient	wave83	wave72_lipid_mediator_intervention_scout	GPR183_oxysterol_gradient	small molecule or receptor/enzyme modulation	NO_GO_WAVE72	biochemical feature support is absent or underpowered	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.28	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0			False
LILRB1_INHIBITORY_RECEPTOR	wave83	wave78_lilrb_inhibitory_receptor_audit	LILRB1 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.33	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
LILRB3_INHIBITORY_RECEPTOR	wave83	wave78_lilrb_inhibitory_receptor_audit	LILRB3 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.33	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
GPR65_ACID_SENSING_GPCR	wave83	wave50_gpr65_acid_sensing_gpcr_audit	GPR65/TDAG8 pH-sensing immune modulation	small-molecule agonist/PAM or GPCR modulator	NO_GO_GPR65_PRIOR_ART_AND_LOCAL_CELLSTATE_MISMATCH	GPR65 remains a plausible biology axis but not a V3 finding: target-resolved direction, non-IBD coloc, and disease-cell agonist/PAM perturbation are missing, while public literature/patent prior art already covers autoimmune GPR65 modulation.	cross_disease_cellstate;ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.34	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0			False
SPNS1_TARGETABILITY	wave83	wave79_targetability_shortlist_audit	SPNS1 targetability shortlist route	lysosomal_transporter_no_chemical_matter	NO_GO_TARGETABILITY_SHORTLIST_NODE	insufficient target-level convergence after strict gates	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.3449999999999998	reachable=0;prior=0;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
GALC_LYSOSOMAL_SPHINGOLIPID	wave83	wave59_lysosomal_sphingolipid_model_reopener_audit	GALC lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_LYSOSOMAL_MODEL_REOPENER	foundation_model_support; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.4250000000000003	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=1;specificity=0			False
FMNL2_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	intracellular actin regulator, no target-resolved genetics, no local ChEMBL route, not surface/secreted despite broad recurrence	no selective FMNL2 route; broad formin/actin modulation would be toxic and nonselective	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	reachable_modality;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.7350000000000003	reachable=0;prior=0;safety=0;response=0;direct=0;foundation=0;ms=1;genetics=0;specificity=0			False
DAP_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	intracellular ribosome/autophagy protein, no target-resolved genetics, no surface/secreted route	none credible for selective systemic therapy	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	reachable_modality;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.795	reachable=0;prior=0;safety=0;response=0;direct=0;foundation=0;ms=1;genetics=0;specificity=0			False
ahr_tryptophan	wave83	wave23_metabolite_barrier_circuit	AHR / tryptophan-kynurenine sensing	AHR agonists/antagonists and IDO/TDO enzyme inhibitors exist; route direction is disease- and ligand-context dependent	NO_GO	AHR/IDO/kynurenine immunoregulation is broad, crowded, and often immunosuppressive rather than a selective barrier-repair control.	ms_anchor;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	-2.875	reachable=1;prior=0;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
