gene	association_id	accession_id	reported_trait	efo_traits	p_value	locations	mapped_genes	pubmed_id	first_author	source_url
PTPN2	101119527	GCST90132226	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	4e-09	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101119527
PTPN2	101118832	GCST90132225	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	6.0000000000000005e-15	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118832
PTPN2	101118545	GCST90132224	Rheumatoid arthritis	rheumatoid arthritis	3e-10	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118545
PTPN2	101118186	GCST90132223	Rheumatoid arthritis	rheumatoid arthritis	3.0000000000000004e-09	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118186
PTPN2	101117958	GCST90132222	Rheumatoid arthritis	rheumatoid arthritis	1e-10	18:12857759	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101117958
PTPN2	101117272	GCST90132222	Rheumatoid arthritis	rheumatoid arthritis	3.0000000000000002e-18	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101117272
PTPN2	98371015	GCST90131437	Rheumatoid arthritis	rheumatoid arthritis	6e-06	18:12797695	PTPN2	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98371015
PTPN2	93485826	GCST90018925	Type 1 diabetes	type 1 diabetes mellitus	1e-09	18:12778716	PTPN2;LINC01882	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93485826
PTPN2	64639837	GCST90013534	Rheumatoid arthritis	rheumatoid arthritis	3e-14	18:12797695	PTPN2	33310728	Ha E	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/64639837
PTPN2	62247388	GCST010571	Autoimmune thyroid disease	autoimmune thyroid disease	2e-11	18:12782850	PTPN2;LINC01882	32581359	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62247388
PTPN2	55993491	GCST009875	Type 1 diabetes	type 2 diabetes mellitus	3e-16	18:12777574	PTPN2;LINC01882	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55993491
PTPN2	55992973	GCST009874	Celiac disease	celiac disease	8e-12	18:12777574	PTPN2;LINC01882	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55992973
PTPN2	55992816	GCST009873	Autoimmune traits (pleiotropy)	autoimmune disease	5e-16	18:12777574	PTPN2;LINC01882	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55992816
PTPN2	47681337	GCST008485	Crohn's disease	Crohn disease	9e-08	18:12854073	PTPN2	25489960	Yang SK	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/47681337
PTPN2	41473450	GCST003044	Crohn's disease	Crohn disease	6.0000000000000005e-25	18:12809341	PTPN2	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/41473450
PTPN2	36072241	GCST007071	Autoimmune traits	autoimmune disease	8e-17	18:12809341	PTPN2	30595370	Kichaev G	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/36072241
PTPN2	35716956	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	2e-15	18:12881362	PTPN2	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716956
PTPN2	35716827	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	2e-10	18:12881362	PTPN2	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716827
PTPN2	35716688	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	1e-07	18:12881362	PTPN2	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716688
PTPN2	31570892	GCST006048	Rheumatoid arthritis (ACPA-positive)	rheumatoid arthritis	3.0000000000000004e-08	18:12797695	PTPN2	24532676	Kim K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/31570892
PTPN2	30560730	GCST005569	Rheumatoid arthritis	rheumatoid arthritis	4e-06	18:12857759	PTPN2	23143596	Eyre S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/30560730
PTPN2	24657913	GCST005536	Type 1 diabetes	type 1 diabetes mellitus	2e-06	18:12830539	PTPN2	25751624	Onengut-Gumuscu S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24657913
PTPN2	24657906	GCST005536	Type 1 diabetes	type 1 diabetes mellitus	1e-15	18:12809341	PTPN2	25751624	Onengut-Gumuscu S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24657906
PTPN2	24301615	GCST005523	Celiac disease	celiac disease	2e-10	18:12843138	PTPN2	22057235	Trynka G	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24301615
PTPN2	24298372	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ankylosing spondylitis;Crohn disease;psoriasis;sclerosing cholangitis;ulcerative colitis	1e-11	18:12857759	PTPN2	26974007	Ellinghaus D	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24298372
PTPN2	24298368	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ankylosing spondylitis;Crohn disease;psoriasis;sclerosing cholangitis;ulcerative colitis	2e-26	18:12879467	PTPN2	26974007	Ellinghaus D	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24298368
PTPN2	21583396	GCST001191	Type 1 diabetes	type 1 diabetes mellitus	4e-13	18:12779948	PTPN2;LINC01882	21829393	Plagnol V	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/21583396
PTPN2	21312824	GCST004346	Psoriasis	psoriasis	1e-10	18:12857003	PTPN2	28537254	Tsoi LC	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/21312824
PTPN2	19715308	GCST004131	Inflammatory bowel disease	inflammatory bowel disease	1e-16	18:12818923	PTPN2	28067908	de Lange KM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19715308
PTPN2	19713736	GCST004132	Crohn's disease	Crohn disease	1e-20	18:12818923	PTPN2	28067908	de Lange KM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19713736
PTPN2	15713010	GCST008644	Celiac disease and Rheumatoid arthritis	celiac disease;rheumatoid arthritis	1e-12	18:12860802	PTPN2	26546613	Gutierrez-Achury J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15713010
PTPN2	15078874	GCST003043	Inflammatory bowel disease	inflammatory bowel disease	1e-27	18:12809341	PTPN2	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15078874
PTPN2	15078873	GCST003043	Inflammatory bowel disease	inflammatory bowel disease	8e-28	18:12778716	PTPN2;LINC01882	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15078873
PTPN2	15071249	GCST003045	Ulcerative colitis	ulcerative colitis	3.0000000000000003e-13	18:12809341	PTPN2	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15071249
PTPN2	12719904	GCST001725	Inflammatory bowel disease	inflammatory bowel disease	3e-26	18:12809341	PTPN2	23128233	Jostins L	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/12719904
PTPN2	10861930	GCST002740	Inflammatory skin disease	atopic eczema;psoriasis	1e-07	18:12780465	PTPN2;LINC01882	25574825	Baurecht H	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/10861930
TNFAIP3	188118303	GCST90468147	Psoriasis	psoriasis	3e-16	6:137876687	TNFAIP3	39789286	Loya H	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/188118303
TNFAIP3	188010158	GCST90624214	Psoriasis	psoriasis	2e-17	6:137868747	TNFAIP3	39883516	Liu S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/188010158
TNFAIP3	165261045	GCST90565134	Psoriasis	psoriasis	5e-13	6:137921861	TNFAIP3;LINC02865	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165261045
TNFAIP3	165260214	GCST90565134	Psoriasis	psoriasis	1e-26	6:137901373	TNFAIP3;LINC02865	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165260214
TNFAIP3	165260005	GCST90565134	Psoriasis	psoriasis	2e-40	6:137885646	TNFAIP3	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165260005
TNFAIP3	163410872	GCST90480461	Psoriasis and related disorder (PheCode 696)	psoriasis	9.000000000000001e-15	6:137874265	TNFAIP3	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410872
TNFAIP3	163410710	GCST90480460	Psoriasis (PheCode 696.4)	psoriasis	1e-16	6:137876687	TNFAIP3	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410710
TNFAIP3	163410452	GCST90480458	Psoriasis vulgaris (PheCode 696.41)	psoriasis vulgaris	1e-14	6:137876687	TNFAIP3	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410452
TNFAIP3	135976914	GCST000679	Rheumatoid arthritis	rheumatoid arthritis	8e-08	6:137874014	TNFAIP3	20453842	Stahl EA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/135976914
TNFAIP3	105701364	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	5e-12	6:137878280	TNFAIP3	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105701364
TNFAIP3	105700748	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	2.9999999999999996e-65	6:137909252	TNFAIP3;LINC02865	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700748
TNFAIP3	101117900	GCST90132222	Rheumatoid arthritis	rheumatoid arthritis	4e-32	6:137921300	TNFAIP3;LINC02865	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101117900
TNFAIP3	98371077	GCST90131438	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	ACPA-positive rheumatoid arthritis;rheumatoid factor seropositivity measurement;rheumatoid arthritis	9e-12	6:137909252	TNFAIP3;LINC02865	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98371077
TNFAIP3	98370757	GCST90131437	Rheumatoid arthritis	rheumatoid arthritis	6e-11	6:137909252	TNFAIP3;LINC02865	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98370757
TNFAIP3	93485319	GCST90018917	Systemic lupus erythematosus	systemic lupus erythematosus	2e-08	6:137913641	TNFAIP3;LINC02865	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93485319
TNFAIP3	93484851	GCST90018910	Rheumatoid arthritis	rheumatoid arthritis	2e-08	6:137907383	TNFAIP3;LINC02865	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93484851
TNFAIP3	93484754	GCST90018907	Psoriasis vulgaris	psoriasis vulgaris	2e-08	6:137918297	TNFAIP3;LINC02865	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93484754
TNFAIP3	88182597	GCST011991	Psoriasis or type 2 diabetes (trans-disease meta-analysis)	psoriasis;type 2 diabetes mellitus	3.0000000000000003e-13	6:137876687	TNFAIP3	33385400	Patrick MT	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/88182597
TNFAIP3	81143485	GCST011956	Systemic lupus erythematosus	systemic lupus erythematosus	3e-84	6:137907383	TNFAIP3;LINC02865	33272962	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/81143485
TNFAIP3	80715427	GCST011990	Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect)	psoriasis;type 2 diabetes mellitus	9.000000000000001e-15	6:137878280	TNFAIP3	33385400	Patrick MT	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/80715427
TNFAIP3	71351068	GCST011389	Rheumatoid arthritis	rheumatoid arthritis	4e-10	6:137902353	TNFAIP3;LINC02865	32723749	Kwon YC	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/71351068
TNFAIP3	64639625	GCST90013534	Rheumatoid arthritis	rheumatoid arthritis	4e-29	6:137909252	TNFAIP3;LINC02865	33310728	Ha E	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/64639625
TNFAIP3	62285250	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	5e-29	6:137874586	TNFAIP3	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62285250
TNFAIP3	62284523	GCST007400	Systemic lupus erythematosus	systemic lupus erythematosus	2e-29	6:137916852	TNFAIP3;LINC02865	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62284523
TNFAIP3	55993240	GCST009877	Rheumatoid arthritis	rheumatoid arthritis	2e-09	6:137922602	TNFAIP3;LINC02865	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55993240
TNFAIP3	55992704	GCST009873	Autoimmune traits (pleiotropy)	autoimmune disease	5e-10	6:137922602	TNFAIP3;LINC02865	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55992704
TNFAIP3	40933971	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	myositis disease;rheumatoid arthritis;systemic lupus erythematosus;systemic sclerosis	4.9999999999999997e-23	6:137922602	TNFAIP3;LINC02865	30573655	Acosta-Herrera M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/40933971
TNFAIP3	35919717	GCST002874	Psoriasis	psoriasis	9e-12	6:137874556	TNFAIP3	25903422	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35919717
TNFAIP3	35919643	GCST002874	Psoriasis	psoriasis	5e-10	6:137874556	TNFAIP3	25903422	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35919643
TNFAIP3	35716911	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	4e-26	6:137906227	TNFAIP3;LINC02865	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716911
TNFAIP3	35716823	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	1e-10	6:137906227	TNFAIP3;LINC02865	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716823
TNFAIP3	35716511	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	1e-17	6:137906227	TNFAIP3;LINC02865	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716511
TNFAIP3	34600407	GCST006048	Rheumatoid arthritis (ACPA-positive)	rheumatoid arthritis	1e-17	6:137922602	TNFAIP3;LINC02865	24532676	Kim K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/34600407
TNFAIP3	24375777	GCST005527	Psoriasis	psoriasis	2e-25	6:137876687	TNFAIP3	23143594	Tsoi LC	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24375777
TNFAIP3	24346746	GCST004867	Systemic lupus erythematosus	systemic lupus erythematosus	5e-13	6:137874014	TNFAIP3	19838195	Gateva V	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24346746
TNFAIP3	24297915	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ankylosing spondylitis;Crohn disease;psoriasis;sclerosing cholangitis;ulcerative colitis	1e-16	6:137876687	TNFAIP3	26974007	Ellinghaus D	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24297915
TNFAIP3	17433120	GCST003622	Systemic lupus erythematosus	systemic lupus erythematosus	1e-12	6:137874929	TNFAIP3	27399966	Morris DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17433120
TNFAIP3	17432791	GCST003622	Systemic lupus erythematosus	systemic lupus erythematosus	2e-16	6:137874929	TNFAIP3	27399966	Morris DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17432791
TNFAIP3	17358826	GCST003599	Systemic lupus erythematosus	systemic lupus erythematosus	2e-14	6:137874929	TNFAIP3	26663301	Lessard CJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17358826
TNFAIP3	16035001	GCST003269	Cutaneous psoriasis	cutaneous psoriasis measurement;psoriasis	8e-11	6:137878280	TNFAIP3	26626624	Stuart PE	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/16035001
TNFAIP3	16033375	GCST003268	Psoriasis vulgaris	psoriasis vulgaris	5.0000000000000005e-17	6:137878280	TNFAIP3	26626624	Stuart PE	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/16033375
TNFAIP3	15800922	GCST003156	Systemic lupus erythematosus	systemic lupus erythematosus	3e-19	6:137922602	TNFAIP3;LINC02865	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15800922
TNFAIP3	15787716	GCST003155	Systemic lupus erythematosus	systemic lupus erythematosus	2e-31	6:137921300	TNFAIP3;LINC02865	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15787716
TNFAIP3	10861878	GCST002740	Inflammatory skin disease	psoriasis	9e-16	6:137874556	TNFAIP3	25574825	Baurecht H	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/10861878
TNFAIP3	10859716	GCST002738	Psoriasis	psoriasis	6e-12	6:137876687	TNFAIP3	25574825	Baurecht H	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/10859716
TNFAIP3	41557	GCST002318	Rheumatoid arthritis	rheumatoid arthritis	6.999999999999999e-11	6:137906227	TNFAIP3;LINC02865	24390342	Okada Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/41557
TNFAIP3	41556	GCST002318	Rheumatoid arthritis	rheumatoid arthritis	2e-20	6:137906227	TNFAIP3;LINC02865	24390342	Okada Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/41556
TNFAIP3	41555	GCST002318	Rheumatoid arthritis	rheumatoid arthritis	2e-29	6:137906227	TNFAIP3;LINC02865	24390342	Okada Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/41555
TNFAIP3	36769	GCST002217	Sjögren's syndrome	Sjogren syndrome	8e-09	6:137874586	TNFAIP3	24097066	Li Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/36769
TNFAIP3	26384	GCST001795	Systemic lupus erythematosus	systemic lupus erythematosus	1e-13	6:137874929	TNFAIP3	23273568	Yang W	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/26384
TNFAIP3	17180	GCST000833	Psoriasis	psoriasis	7e-07	6:137878280	TNFAIP3	20953190	Strange A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17180
TNFAIP3	15362	GCST000677	Rheumatoid arthritis	rheumatoid arthritis	2e-06	6:137874929	TNFAIP3	20453841	Kochi Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15362
TNFAIP3	14008	GCST000507	Systemic lupus erythematosus	systemic lupus erythematosus	1e-17	6:137874929	TNFAIP3	19838193	Han JW	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/14008
TNFAIP3	12563	GCST000322	Psoriasis	psoriasis	9e-12	6:137878280	TNFAIP3	19169254	Nair RP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/12563
TNFAIP3	11253	GCST000216	Systemic lupus erythematosus	systemic lupus erythematosus	3e-12	6:137874586	TNFAIP3	19165918	Graham RR	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/11253
CLEC16A	166015483	GCST90570210	Multiple sclerosis (MTAG)	multiple sclerosis	8e-23	16:11083944	CLEC16A	40262193	Shigesi N	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/166015483
CLEC16A	165705129	GCST90302863	Rheumatoid arthritis or type 1 diabetes	rheumatoid arthritis;type 1 diabetes mellitus	1e-09	16:11083944	CLEC16A	37377963	Wen YP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165705129
CLEC16A	165262561	GCST90565134	Psoriasis	psoriasis	4e-08	16:11108881	CLEC16A	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165262561
CLEC16A	165262290	GCST90565134	Psoriasis	psoriasis	1e-08	16:11105081	CLEC16A	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165262290
CLEC16A	165004884	GCST90013791	Type 1 diabetes	type 1 diabetes mellitus	4e-09	16:11238702	CLEC16A;HNRNPCP4	39749473	Crouch DJM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165004884
CLEC16A	165004501	GCST90013791	Type 1 diabetes	type 1 diabetes mellitus	7e-23	16:11100914	CLEC16A	39749473	Crouch DJM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165004501
CLEC16A	132772466	GCST90435159	Extraintestinal manifestations in inflammatory bowel disease (primary sclerosing cholangitis)	sclerosing cholangitis	6e-06	16:11065028	CLEC16A	38490347	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/132772466
CLEC16A	105700848	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	3.0000000000000003e-31	16:11100073	CLEC16A	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700848
CLEC16A	93347952	GCST90061442	Primary biliary cholangitis	primary biliary cholangitis	4e-26	16:11095073	CLEC16A	34033851	Cordell HJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93347952
CLEC16A	93347706	GCST90061441	Primary biliary cholangitis	primary biliary cholangitis	2e-06	16:11095399	CLEC16A	34033851	Cordell HJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93347706
CLEC16A	93347541	GCST90061440	Primary biliary cholangitis	primary biliary cholangitis	7e-24	16:11080508	CLEC16A	34033851	Cordell HJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93347541
CLEC16A	92481693	GCST90020042	Systemic lupus erythematosus	systemic lupus erythematosus	2e-07	16:11096031	CLEC16A	34076728	Zhang YM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/92481693
CLEC16A	81143742	GCST011956	Systemic lupus erythematosus	systemic lupus erythematosus	1e-17	16:11096178	CLEC16A	33272962	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/81143742
SH2B3	217724715	GCST90837324	Autoimmune hypothyroidism	autoimmune thyroid disease	0.0	12:111446804	SH2B3;ATXN2	41748903	Reeve MP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/217724715
GPR65	41473739	GCST003044	Crohn's disease	Crohn disease	9e-14	14:88006251	GPR65	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/41473739
GPR65	19715427	GCST004131	Inflammatory bowel disease	inflammatory bowel disease	3e-11	14:88006251	GPR65	28067908	de Lange KM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19715427
GPR65	19713849	GCST004132	Crohn's disease	Crohn disease	5e-12	14:88006251	GPR65	28067908	de Lange KM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19713849
GPR65	15071278	GCST003045	Ulcerative colitis	ulcerative colitis	3.0000000000000004e-09	14:88006251	GPR65	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15071278
GPR65	12719895	GCST001725	Inflammatory bowel disease	inflammatory bowel disease	2e-14	14:88006251	GPR65	23128233	Jostins L	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/12719895
GPR65	23846	GCST000879	Crohn's disease	Crohn disease	4e-18	14:88006251	GPR65	21102463	Franke A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/23846
CIITA	134133014	GCST90432182	Inflammatory bowel disease	inflammatory bowel disease	3.0000000000000004e-09	16:10877617	CIITA	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134133014
CIITA	62285603	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	2e-08	16:10944503	CLEC16A;CIITA	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62285603
CIITA	24301609	GCST005523	Celiac disease	celiac disease	6e-10	16:10870261	CIITA	22057235	Trynka G	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24301609
CIITA	14775380	GCST000624	Ulcerative colitis	ulcerative colitis	3e-06	16:10881454	CIITA	20228799	McGovern DP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/14775380
