gene	wave34_score	wave34_call	failed_gates	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	residual_retained_disease_count	ms_anchor	ms_wm_delta_log2	ms_wm_p	genetics_ready_score	ot_n_diseases_score_ge_0_5	gtex_n_relevant_tissues_with_significant_cis_eqtl	druggable_activity_count	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_best_nM	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	perturbation_or_model_support	foundation_rescue_recommendation	foundation_real_perturbation_alignment_call	manual_blocker_class	manual_blocker_text_wave34	proxy_call	primary_blocker
C3ORF62	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-33	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False	0.0304653450235008	0.9135691181809796				0.0					0.0	0.0	False						
C3ORF84	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-33	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
C6ORF47-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-40	ICD10 K50, K51: inflammatory bowel disease;Inflammatory bowel disease;Ulcerative colitis (chronic) (PheCode 555.21)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
C9ORF69	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-36	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CACNA2D1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-07	Crohn's disease (need for surgery);Lupus nephritis;Ulcerative colitis	0.0	0.0		0.0	False	-0.1434886062562679	0.9180283697007244				0.0					0.0	0.0	False						
CARD11	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-18	Atopic dermatitis;Multiple sclerosis;Ulcerative colitis	0.0	0.0		0.0	False	-0.618094157138577	0.1820306685607181				0.0					0.0	0.0	False						
CBX3P1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	8e-09	Crohn's disease;Fulminant type 1 diabetes;Inflammatory bowel disease	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CCDC101	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-12	Crohn's disease;Inflammatory bowel disease;Inflammatory bowel disease (early onset)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CCDC36	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-33	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False	0.0754265999319399	0.9318357801707488				0.0					0.0	0.0	False						
CCDST	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-228	Atopic dermatitis;Inflammatory skin disease;Skin condition (ex. Eczema, Psoriasis)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CCR12P	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-10	Atopic dermatitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CDKN2AIPNLP3	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-12	Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CELSR3	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-33	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False	0.1634719017154946	0.746652260492474				0.0					0.0	0.0	False						
CFAP263	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-13	Primary biliary cholangitis;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CNTN5	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-13	Crohn's disease (indolent vs progressive);Takes medication for multiple sclerosis?;Type 1 diabetes with ketoacidosis (PheCode 250.11)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
COX19	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	7e-14	Crohn's disease;Crohn's disease or Leprosy (opposite effect);Inflammatory bowel disease	0.0	0.0		0.0	False	-0.3500549472610714	0.353172455765064				0.0					0.0	0.0	False						
CPSF3L	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-07	Inflammatory bowel disease;Systemic lupus erythematosus;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CPXM2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	6e-08	Median relapse-independent longitudinal Multiple Sclerosis Severity Scale score in relapse-onset multiple sclerosis;Median relapse-independent longitudinal age-related multiple sclerosis severity score in relapse-onset multiple sclerosis;Ulcerative colitis	0.0	0.0		0.0	False	-1.6346486436079837	0.0851485919999506				0.0					0.0	0.0	False						
CREM	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-29	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease	0.0	0.0		0.0	False	-0.1708372882296753	0.7067410036544863				0.0					0.0	0.0	False						
CRHR1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-18	COVID-19 hospitalization or systemic lupus erythematosus (MTAG);Primary biliary cirrhosis;Severe COVID-19 or systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
CSMD3	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-11	Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count);Rheumatoid arthritis;Type 1 diabetes with ophthalmic manifestations (PheCode 250.13)	0.0	0.0		0.0	False	-1.83395967823673	0.2188968782718031				0.0					0.0	0.0	False						
CUX2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	7e-18	Age of onset of type 1 diabetes;Graves' disease;Type 1 diabetes	0.0	0.0		0.0	False	-0.2581426065283743	0.7973322408186246				0.0					0.0	0.0	False						
CYCSP20	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	8e-35	Hypothyroidism or rheumatoid arthritis (pleiotropy);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
DCTN4	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-19	Cholangiocarcinoma in primary sclerosing cholangitis;Crohn's disease;Inflammatory bowel disease	0.0	0.0		0.0	False	0.0129115989659176	0.937769245098136				0.0					0.0	0.0	False						
DDX39B	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-65	Atopic dermatitis;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False	-0.3640678359955824	0.0618583800895522				0.0					0.0	0.0	False						
DEXI	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-22	Atopic dermatitis;Primary biliary cholangitis;Type 1 diabetes	0.0	0.0		0.0	False	0.1652215421929863	0.3689697796999412				0.0					0.0	0.0	False						
DGKH	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-11	Crohn's disease;Inflammatory bowel disease;Neuropeptide Y autoantibody levels in type 1 diabetes	0.0	0.0		0.0	False	0.2122106628780287	0.6168169476343093				0.0					0.0	0.0	False						
DNAJC17P1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-09	Crohn's disease (Tractor method with African ancestry);Inflammatory bowel disease (Tractor method with African ancestry);Ulcerative colitis (Tractor method with African ancestry)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
DNAJC27	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-09	Crohn's disease;Inflammatory bowel disease;Type 1 diabetes	0.0	0.0		0.0	False	0.4098794606334	0.1412599301576886				0.0					0.0	0.0	False						
DQA1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-112	Graves' disease;Multiple sclerosis;Systemic lupus erythematosus	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
DRB1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-132	Graves' disease;Multiple sclerosis;Systemic lupus erythematosus	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
EFCAB13-DT	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	6e-15	Ankylosing spondylitis;Crohn's disease;Multiple sclerosis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
EHMT2-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-17	Psoriasis;Ulcerative colitis;Ulcerative colitis x sex interaction (2df)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FAM175B	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-09	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FAM193A	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-10	Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus	0.0	0.0		0.0	False	-0.0816970853721255	0.5633864824787357				0.0					0.0	0.0	False						
FAM213B	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-36	Inflammatory bowel disease;Multiple sclerosis;Ulcerative colitis	0.0	0.0		0.0	False	-0.1980358554494801	0.67394149302004				0.0					0.0	0.0	False						
FAM53B	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-09	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False	0.0251933651481284	0.9190752380509868				0.0					0.0	0.0	False						
FBXL20	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	6e-11	Primary biliary cholangitis;Systemic lupus erythematosus (MTAG);Ulcerative colitis	0.0	0.0		0.0	False	0.0711214455203084	0.780596452161545				0.0					0.0	0.0	False						
FDX1L	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-13	Crohn's disease;Inflammatory bowel disease;Inflammatory skin disease	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FLJ16341	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-17	Multiple sclerosis;Psoriasis;Psoriasis vulgaris	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FLVCR2-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	6e-13	Marginal zone lymphoma or multiple sclerosis;Multiple sclerosis;Multiple sclerosis (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FOS-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-16	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
FRMPD2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-09	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis (Tractor method with Amerindian ancestry)	0.0	0.0		0.0	False	-2.658981180640245	0.1147755684865876				0.0					0.0	0.0	False						
FYB	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-20	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
GABARAPL3	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-12	Multiple sclerosis;Multiple sclerosis (MTAG);Rheumatoid arthritis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
GABRB3	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-12	Crohn's disease;Takes medication for celiac disease/sprue?;Ulcerative colitis (Tractor method with Amerindian ancestry)	0.0	0.0		0.0	False	0.4388939112600574	0.6101554184163187				0.0					0.0	0.0	False						
GATA3-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	7e-11	Multiple sclerosis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
GNG5P5	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-06	Median relapse-independent longitudinal Multiple Sclerosis Severity Scale score in relapse-onset multiple sclerosis;Median relapse-independent longitudinal age-related multiple sclerosis severity score in relapse-onset multiple sclerosis;Sjögren's syndrome	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
GTF2IRD1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-53	Rheumatoid arthritis;Sjögren's syndrome;Systemic lupus erythematosus	0.0	0.0		0.0	False	0.7154905036797361	0.1204382007873933				0.0					0.0	0.0	False						
H2BC15	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-09	FEV1 or inflammatory bowel disease (pleiotropy);Rheumatoid arthritis or inflammatory bowel disease;Rheumatoid arthritis or multiple sclerosis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
H2BP5	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-24	Psoriasis;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
H3C9P	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-11	Hunner-type interstitial cystitis or rheumatoid arthritis (MTAG);Psoriasis;Rheumatoid arthritis or type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
HNRNPA1P1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-15	Coeliac disease;Psoriasis;Rheumatoid arthritis or type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
HNRNPCP4	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-10	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Multiple sclerosis;Type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
HNRNPKP2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-10	Graves' disease;Multiple sclerosis;Type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
HORMAD2-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	3e-10	Hashimoto thyroiditis;Lymphocytic thyroiditis;Type 1 diabetes	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IFITM3P8	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-12	Atopic dermatitis;Multiple sclerosis;Psoriasis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IFNAR2-IL10RB	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-28	COVID-19 hospitalization or rheumatoid arthritis (MTAG);COVID-19 infection or rheumatoid arthritis (MTAG);Severe COVID-19 or rheumatoid arthritis (MTAG)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IFNG	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-32	Inflammatory bowel disease;Systemic lupus erythematosus;Ulcerative colitis	0.0	0.0		0.0	False	0.0901466255577849	0.948067961362792				0.0					0.0	0.0	False						
IGBP1P1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-18	Colorectal carcinoma in primary sclerosing cholangitis;Primary biliary cholangitis;Psoriasis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IGF2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-27	Celiac disease;Pediatric autoimmune diseases;Type 1 diabetes	0.0	0.0		0.0	False	-0.0184798687272049	0.987870504617006				0.0					0.0	0.0	False						
IKZF2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-13	Multiple sclerosis;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False	-0.6777777234982487	0.0625565274548228				0.0					0.0	0.0	False						
IL20RA	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-36	Multiple sclerosis;Multiple sclerosis (MTAG);Primary biliary cholangitis	0.0	0.0		0.0	False	-1.2540093495216742	0.3054767800708484				0.0					0.0	0.0	False						
IL22	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-71	Atopic dermatitis;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IL2RA-AS1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-18	Atopic dermatitis;Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis;Multiple sclerosis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
INPP5D	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	4e-70	Atopic dermatitis;Crohn's disease;Psoriasis	0.0	0.0		0.0	False	-0.3037841690561134	0.0943958111282368				0.0					0.0	0.0	False						
INSL4	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-09	Inflammatory bowel disease (MTAG);Ulcerative colitis;Ulcerative colitis (Tractor method with African ancestry)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
INSL5	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	5e-111	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
INSL6	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-08	Inflammatory bowel disease (MTAG);Ulcerative colitis;Ulcerative colitis (Tractor method with African ancestry)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
INTS11	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	8e-13	Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
IQCB1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	7e-22	Multiple sclerosis;Multiple sclerosis and triglyceride levels (pleiotropy);Systemic lupus erythematosus (MTAG)	0.0	0.0		0.0	False	0.1585753888121068	0.3463087471729988				0.0					0.0	0.0	False						
IQGAP1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-10	Atopic dermatitis;Multiple sclerosis;Rheumatoid arthritis	0.0	0.0		0.0	False	0.1912847726501763	0.5471847083310679				0.0					0.0	0.0	False						
JKAMPP1	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	2e-08	Inflammatory bowel disease or major depressive disorder (pleiotropy);Inflammatory skin disease;Ulcerative colitis (Tractor method with African ancestry)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
KCNN2	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	9e-09	Psoriasis;Type 1 diabetes;joint destruction in rheumatoid arthritis (rapid vs slow)	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
KIAA1919	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-16	Inflammatory bowel disease;Inflammatory skin disease;Ulcerative colitis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
KLHDC7B-DT	6.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	3	1e-21	Chronic lymphocytic leukemia or multiple sclerosis;Diffuse large B-cell lymphoma or multiple sclerosis;Multiple sclerosis	0.0	0.0		0.0	False						0.0					0.0	0.0	False						
