gene	comparator	region	region_class	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	median_sensitivity_PP.H4	max_sensitivity_PP.H4	top_shared_snp	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_qtl_h4	max_qtl_h4	qtl_direction_proxy_values	same_gene_cellstate_score	same_gene_cellstate_gate	positive_c15_contexts	best_c15_context	chembl_target_id	druggable_activity_count	manual_blocker	landscape_score
AGER	Crohn	6:31128397-32626002	stable_H3_or_distinct	1.2884627800883145e-07	0.99999633141308	7.250486486726884e-09	1.316301138710997e-07	1.3162839857126445e-05	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625007128302828
AGER	UC	6:31128397-32626002	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
AGER	UC	6:31626002-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
AGER	UC	6:31626002-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
AGER	UC	6:31626002-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
AGER	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
AGER	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
AGER	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
AGER	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
AGER	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
AGER	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid		0.0		0.7625
PSMB8	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_uc_myeloid		0.0		0.7625
PSMB9	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.2	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7625
PRDM16	UC	1:1972081-3020527	stable_H3_or_distinct	0.005831115124530294	0.9941425201298074	0.00056195810455985	0.005831115124530294	0.06839983940593751	rs60389769	0.0		0.0					3.6	True	ibd_crohn_myeloid;t1d_ductal_cell	t1d_ductal_cell		0.0		0.7570711331849166
GPSM3	Crohn	6:31128397-32626002	stable_H3_or_distinct	1.2884627800883145e-07	0.99999633141308	7.250486486726884e-09	1.316301138710997e-07	1.3162839857126445e-05	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.7500007128302828
GPSM3	UC	6:31128397-32626002	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
GPSM3	UC	6:31626002-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
GPSM3	UC	6:31626002-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
GPSM3	UC	6:31626002-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
GPSM3	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
GPSM3	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
GPSM3	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
GPSM3	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
GPSM3	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
GPSM3	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	ibd_uc_myeloid		0.0		0.75
TAP2	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					4.0	True	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	ibd_crohn_myeloid		0.0		0.75
LST1	Crohn	6:30793436-31851940	stable_H3_or_distinct	8.503375272757774e-06	0.9999535145408373	6.061184615999846e-07	8.503375272757774e-06	0.0002666168145883567	rs9267658	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375467685640003
LTB	Crohn	6:30793436-31851940	stable_H3_or_distinct	8.503375272757774e-06	0.9999535145408373	6.061184615999846e-07	8.503375272757774e-06	0.0002666168145883567	rs9267658	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375467685640003
LST1	Crohn	6:30851940-32035539	stable_H3_or_distinct	9.097532533629815e-07	0.9999955500916359	5.3213076995504905e-08	9.097532533629815e-07	8.923804411485992e-05	rs3130285	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375050036428934
LTB	Crohn	6:30851940-32035539	stable_H3_or_distinct	9.097532533629815e-07	0.9999955500916359	5.3213076995504905e-08	9.097532533629815e-07	8.923804411485992e-05	rs3130285	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375050036428934
LST1	Crohn	6:31035539-32087042	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375006324501614
LTB	Crohn	6:31035539-32087042	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375006324501614
LST1	Crohn	6:31035539-32128397	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375006324501614
LTB	Crohn	6:31035539-32128397	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375006324501614
LST1	Crohn	6:30793436-32087042	stable_H3_or_distinct	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1.2953976833900812e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375006324501552
LTB	Crohn	6:30793436-32087042	stable_H3_or_distinct	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1.2953976833900812e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375006324501552
LST1	Crohn	6:30793436-32128397	stable_H3_or_distinct	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1.2953976833900812e-05	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375006324501552
LST1	UC	6:30793436-32128397	stable_H3_or_distinct	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1.568874623701814e-10	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375000000000131
LST1	UC	6:31035539-32128397	stable_H3_or_distinct	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1.568874623701814e-10	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid		0.0		0.7375000000000131
LTB	UC	6:31035539-32128397	stable_H3_or_distinct	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1.568874623701814e-10	rs3130342	0.0		0.0					3.8	True	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell	ibd_crohn_myeloid		0.0		0.7375000000000131
PBX2	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
PBX2	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:31983611-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
PBX2	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:31983611-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
PBX2	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:31985467-33110947	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
PBX2	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:32106385-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
PBX2	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
TAP1	UC	6:32109453-33110947	stable_H3_or_distinct	3.787900653010518e-34	1.0	1.7076898654254818e-35	1.7076898654256433e-33	2.232045456579758e-31	rs8227	0.0		0.0					3.8	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid		0.0		0.7375
DDAH2	Crohn	6:30793436-31851940	stable_H3_or_distinct	8.503375272757774e-06	0.9999535145408373	6.061184615999846e-07	8.503375272757774e-06	0.0002666168145883567	rs9267658	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18129676856400015
DDAH2	Crohn	6:30851940-32035539	stable_H3_or_distinct	9.097532533629815e-07	0.9999955500916359	5.3213076995504905e-08	9.097532533629815e-07	8.923804411485992e-05	rs3130285	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.1812550036428935
DDAH2	Crohn	6:31128397-32626002	stable_H3_or_distinct	1.2884627800883145e-07	0.99999633141308	7.250486486726884e-09	1.316301138710997e-07	1.3162839857126445e-05	rs8227	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125071283028282
DDAH2	Crohn	6:31035539-32087042	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125063245016146
DDAH2	Crohn	6:31035539-32128397	stable_H3_or_distinct	1.095345029876861e-07	0.9999963505657178	6.1639872636775595e-09	1.2954143300872634e-07	1.295397717127353e-05	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125063245016146
DDAH2	Crohn	6:30793436-32087042	stable_H3_or_distinct	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1.2953976833900812e-05	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125063245015527
DDAH2	Crohn	6:30793436-32128397	stable_H3_or_distinct	1.0953450270320575e-07	0.9999963505657178	6.163987254306239e-09	1.2954142963492642e-07	1.2953976833900812e-05	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125063245015527
DDAH2	UC	6:30793436-32128397	stable_H3_or_distinct	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1.568874623701814e-10	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125000000001307
DDAH2	UC	6:31035539-32128397	stable_H3_or_distinct	2.2225357563275267e-15	1.0	2.7817225471731686e-17	2.7817225471734318e-15	1.568874623701814e-10	rs3130342	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125000000001307
DDAH2	UC	6:31128397-32626002	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125
DDAH2	UC	6:31626002-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125
DDAH2	UC	6:31626002-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125
DDAH2	UC	6:31626002-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.9	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		0.18125
RPL37	Crohn	5:39896425-40940063	stable_H3_or_distinct	0.012254888036587303	0.9877451119609746	0.0010760491396514533	0.012254888036587303	0.2057017878391501	rs7713270	0.0		0.0					1.5	False				0.0		0.16115188420123017
HLA-DRB1	Crohn	6:31128397-32626002	stable_H3_or_distinct	1.2884627800883145e-07	0.99999633141308	7.250486486726884e-09	1.316301138710997e-07	1.3162839857126445e-05	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125071283028283
HLA-DRB1	UC	6:31128397-32626002	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125
HLA-DRB1	UC	6:31626002-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125
HLA-DRB1	UC	6:31626002-33106385	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125
HLA-DRB1	UC	6:31626002-33109453	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125
HLA-DRB1	UC	6:31983611-32985467	stable_H3_or_distinct	3.787891771360302e-34	1.0	1.7076896903229282e-35	3.787891771360302e-34	2.1445196993513592e-32	rs8227	0.0		0.0					2.1	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0		0.13125
