source	label	genes	source_call	source_score	local_breadth	state_coupling	ms_anchor	genetics_breadth	druggability_note	manual_prior_risk	blocker	gate_failures	meta_status	meta_reason	missing_tests	is_reopen_only	is_promotable_now	excluded_by_wave46_or_prior_core
wave32_resolution_rescue	SIRPA_CD47_EATME_BALANCE	SIRPA;CD47;CALR;LRP1	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	3.5749999999999993	3.0	6.0	True	0.0	CD47/SIRPA antibodies, engineered fragments, or cargo-specific efferocytosis concepts	blocking	CD47/SIRPA is druggable but systemic phagocytosis toxicity and oncology prior art make autoimmune transfer unsafe without cargo/cell specificity.	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;repair_safety_not_obviously_wrong;not_prior_art_blocked;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave38_crispr_efferocytosis_rescue	MCMBP	MCMBP	NO_GO_CRISPR_RESCUE	3.543248837727032	1.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	EFR3A	EFR3A	NO_GO_CRISPR_RESCUE	3.3947628318325367	1.0		True	1.0	inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	CLEC7A	CLEC7A	NO_GO_CRISPR_RESCUE	3.167046958222847	3.0		False		inhibit_or_reduce	prior_art_heavy	no_ms_directional_anchor;no_chembl_target;no_chembl_activity;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	no_ms_directional_anchor;no_chembl_target;no_chembl_activity;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave38_crispr_efferocytosis_rescue	SLC39A3	SLC39A3	NO_GO_CRISPR_RESCUE	2.7973819035726755	1.0		True		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_chembl_target;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_chembl_target;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	INTS7	INTS7	NO_GO_CRISPR_RESCUE	2.5702004249539363	1.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	TPCN1	TPCN1	NO_GO_CRISPR_RESCUE	2.55876835010751	0.0		False		activate_or_restore		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	MMS22L	MMS22L	NO_GO_CRISPR_RESCUE	2.541004774142687	1.0		False	1.0	inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	LYG2	LYG2	NO_GO_CRISPR_RESCUE	2.496209349335971	0.0		False		activate_or_restore		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	POC5	POC5	NO_GO_CRISPR_RESCUE	2.304487896071381	1.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	FBXO16	FBXO16	NO_GO_CRISPR_RESCUE	2.283729666809502	2.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave32_resolution_rescue	GPNMB_REPAIR_STATE_HANDLE	GPNMB	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	2.2750000000000004	3.0	3.0	True	0.0	antibody/ADC precedent exists but autoimmune repair direction would require non-depleting delivery	high	Strong MS foamy-state marker but local autoimmune direction is mixed and oncology-style targeting is therapeutically misaligned.	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;not_prior_art_blocked;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave38_crispr_efferocytosis_rescue	KIF24	KIF24	NO_GO_CRISPR_RESCUE	2.21939840981305	1.0		False		inhibit_or_reduce		too_few_guides;insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	too_few_guides;insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	KLHL33	KLHL33	NO_GO_CRISPR_RESCUE	2.160051754721309	1.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave32_resolution_rescue	TAM_EFFEROCYTOSIS_AGONISM	MERTK;AXL;TYRO3;GAS6;PROS1	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	1.2249999999999996	1.0	7.0	False	0.0	agonist biologic/ligand engineering; small-molecule TAM kinase inhibitors are directionally wrong	high	TAM biology is repair-relevant, but available mature chemical matter is mostly inhibitory oncology pharmacology; agonism/delivery and autoimmune direction are immature.	local_breadth_at_least_5_or_strong_state_specific_4;ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave32_resolution_rescue	CD200_CD200R_MYeloid_RESOLUTION	CD200;CD200R1	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	0.9749999999999996	3.0	0.0	True	0.0	CD200-Fc or agonist biologic concept	high	Checkpoint biology is plausible but not lipid-resolution specific; prior Wave19 found state coupling below gate and crowded prior art.	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave23_treatment_response_stratification	GSE296117:anti-TNF/JAK:		PARK	0.0			False		TNF-alpha/JAK inhibitor	treatment_response_dataset_only	public_metadata_heavy_controlled_parked	baseline association must survive multiplicity and generic-inflammation residual checks	CLOSED_PRIOR_WAVE_EXCLUDED_AXIS	overlaps explicitly closed central/prior branch	prior_art_or_trial_delta	False	False	True
wave40_parked_surface_failfast	MMP7	MMP7	NO_GO_PARKED_SURFACE_FAILFAST				False				MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; broad_inhibition_risks_tissue_remodeling_and_epithelial_repair; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; secreted_matrix_protease_repair_barrier_liability; wave25_NO_GO_CAUSAL_PROXY	MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; broad_inhibition_risks_tissue_remodeling_and_epithelial_repair; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; secreted_matrix_protease_repair_barrier_liability; wave25_NO_GO_CAUSAL_PROXY	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave40_parked_surface_failfast	CD82	CD82	NO_GO_PARKED_SURFACE_FAILFAST				False				MS_anchor_nominal_or_trend_only_not_FDR_supported; no_non_IBD_strict_residual_support; no_strict_core_covariate_residual_survival; previously_demoted_as_raw_state_marker; prior_review_Do not follow up.; tetraspanin_direction_agonism_vs_blockade_undefined; wave25_MODULE_MARKER_NOT_GENETICALLY_ANCHORED	MS_anchor_nominal_or_trend_only_not_FDR_supported; no_non_IBD_strict_residual_support; no_strict_core_covariate_residual_survival; previously_demoted_as_raw_state_marker; prior_review_Do not follow up.; tetraspanin_direction_agonism_vs_blockade_undefined; wave25_MODULE_MARKER_NOT_GENETICALLY_ANCHORED	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave40_parked_surface_failfast	SCD	SCD	NO_GO_PARKED_SURFACE_FAILFAST				False				MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; lipid_metabolism_enzyme_reopens_failed_lipid_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; same_gene_has_negative_disease_or_compartment_signal; systemic_SCD_inhibition_has_metabolic_and_barrier_risk; wave25_NO_GO_CAUSAL_PROXY	MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; lipid_metabolism_enzyme_reopens_failed_lipid_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; same_gene_has_negative_disease_or_compartment_signal; systemic_SCD_inhibition_has_metabolic_and_barrier_risk; wave25_NO_GO_CAUSAL_PROXY	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave40_parked_surface_failfast	CCL20	CCL20	NO_GO_PARKED_SURFACE_FAILFAST				False				MS_anchor_nominal_or_trend_only_not_FDR_supported; chemokine_blockade_direction_not_module_specific; generic_CCL20_CCR6_trafficking_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY	MS_anchor_nominal_or_trend_only_not_FDR_supported; chemokine_blockade_direction_not_module_specific; generic_CCL20_CCR6_trafficking_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave40_parked_surface_failfast	IL23A	IL23A	NO_GO_PARKED_SURFACE_FAILFAST				False				MS_anchor_nominal_or_trend_only_not_FDR_supported; established_IL23_autoimmune_axis_not_novel; missing_local_target_resolved_coloc_or_MR_package; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY; wave34_NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	MS_anchor_nominal_or_trend_only_not_FDR_supported; established_IL23_autoimmune_axis_not_novel; missing_local_target_resolved_coloc_or_MR_package; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY; wave34_NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
