dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	inflammatory_nfkb	4	-0.09595995647861602	-0.07831991926364686	-1.6311147373115749	0.2013636628270821	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.33689351611060164
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	ifn_apc	5	-0.14367350840089022	-0.1034422319656675	-3.246770625718469	0.031471679284918855	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.07081127839106743
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	hla_ii_apc	5	-0.11973839149879402	-0.1473335966345693	-2.6645055917275835	0.05612619746539422	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.10102715543770958
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	lysosomal_apc	5	-0.06654245797357208	-0.08952432545275679	-3.2981556930419047	0.029985210763162656	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.07081127839106743
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	mif_cd74_receptor_state	5	-0.08873732358386013	-0.0637396906584988	-1.3727616248650953	0.24176058480076953	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3108350376009894
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	mixscale_validated_ifng_readout	5	-0.09044075866343501	-0.1054575827812968	-3.6906774259420856	0.021006252851389164	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.07081127839106743
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	lipid_loader_repair	5	-0.02349201196430082	-0.0265681692443809	-2.3049453296296694	0.0824892171908134	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1237338257862201
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	complement_phagocytosis	5	-0.02060787852042174	-0.005132759255128898	-0.855699755982007	0.44039425264072474	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.49544353422081533
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	hif_nampt_metabolic	5	-0.12973492737185693	-0.10277014397433959	-3.7009121246365386	0.020818805367701483	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.07081127839106743
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=t_cell_like	inflammatory_nfkb	5	-0.010892990470829176	-0.018664378189782192	-0.5377266484748107	0.619287913184021	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.619287913184021
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	ifn_apc	4	-0.061320207717102546	-0.07281058284245656	-0.6426919925890058	0.5661672592376725	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	hla_ii_apc	4	-0.026332363397472983	-0.08669531184342086	-0.12409974215316094	0.9090844115271604	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9090844115271604
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	lysosomal_apc	4	0.03545485115048539	0.04555437709206928	0.7463466109472439	0.5096219965034736	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	mif_cd74_receptor_state	4	-0.0814300563564497	-0.10892625322231078	-0.42422984543193304	0.6999815348719671	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	mixscale_validated_ifng_readout	4	-0.08661511144882596	-0.0592340193257133	-1.0794322855941023	0.3594434752252476	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	lipid_loader_repair	4	0.011958165350129876	-0.0175800688073692	0.16621798668372004	0.8785563203423726	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9090844115271604
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	complement_phagocytosis	4	-0.07269976837925023	-0.038759612990243525	-1.6544925728178406	0.1966010896300924	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	hif_nampt_metabolic	4	-0.03267891525105636	-0.04817671492716575	-0.5369801673845898	0.6285519266696903	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=keratinocyte_like	inflammatory_nfkb	4	0.030532007561528712	0.043340051540978	0.8474393290648474	0.4590041635274367	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.8999762591211006
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	ifn_apc	4	-0.2137268108143425	-0.14461176046438057	-1.555566850192922	0.21766126362872154	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.40997168361059244
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	hla_ii_apc	4	-0.2272505344209078	-0.11923872936327674	-0.7988572585348659	0.48276984554046654	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.5446636856727082
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	lysosomal_apc	4	-0.18084907747889126	-0.17231902050851636	-4.3744775667542015	0.022104364737203838	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.19893928263483454
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	mif_cd74_receptor_state	4	-0.26933426242788266	-0.19923911976235825	-1.0884559249538355	0.35601835908112006	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.5340275386216802
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	mixscale_validated_ifng_readout	4	-0.1790210457569636	-0.1875516960671036	-1.5118356121130454	0.22776204645032916	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.40997168361059244
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	lipid_loader_repair	4	-0.05165179353630123	-0.11341737892880566	-0.5158946745610744	0.6415411114457787	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.6415411114457787
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	complement_phagocytosis	4	-0.20551325719607033	-0.1553993138110847	-2.266006883449866	0.1083234127772628	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.40997168361059244
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	hif_nampt_metabolic	4	-0.043289732268466864	-0.0411155462543243	-0.7961083548048515	0.48414549837574056	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.5446636856727082
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=myeloid_apc_like	inflammatory_nfkb	4	-0.08001168050185173	-0.12011990399785305	-1.5353853862134983	0.22225978858653983	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.40997168361059244
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	ifn_apc	4	-0.09848772449716231	-0.0677243272005402	-1.3872557101097633	0.25945932635527996	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	hla_ii_apc	4	-0.06444502389403953	-0.0940201895492227	-0.5035369481354669	0.6492349696313776	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	lysosomal_apc	4	0.0036549148269326773	0.03904141332341465	0.08927668608894661	0.9344882059367491	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	mif_cd74_receptor_state	4	-0.05442972990064943	-0.11803451079158396	-0.42337726606660814	0.7005394642730747	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	mixscale_validated_ifng_readout	4	-0.03738349742211801	-0.026765003326392478	-0.6375588271474546	0.5690882443624635	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	lipid_loader_repair	4	0.04656041600825259	-0.0003798804726710247	0.6938615959782962	0.5376694428088246	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	complement_phagocytosis	4	0.002506350146009688	-0.049903014570020526	0.03867446315253216	0.9715796465497291	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	hif_nampt_metabolic	4	0.004120659005388988	0.02490945672922912	0.0728956758974786	0.9464771858091251	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE183047	IL-17/IL-23	secukinumab	psoriasis	marker-derived lesional skin single-cell compartments	earliest post-secukinumab minus pretreatment	marker_compartment=t_cell_like	inflammatory_nfkb	4	0.05625479248806098	0.0470772651139648	1.915145414869588	0.1513580413740811	no responder labels; n=4 paired for analyzable lesional compartments; marker-derived compartments	0.9715796465497291
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	ifn_apc	10	-1.0248686463849501	-0.9173859849123251	-4.719952119167892	0.0010891627615091124	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.0024506162133955027
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	hla_ii_apc	10	-0.24859027033510808	-0.028635797142078395	-1.157630218961152	0.2768127879253008	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.4152191818879512
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	lysosomal_apc	10	-1.1318272110330883	-1.136276762799696	-5.839234008930213	0.00024705330023899746	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.0011117398510754886
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	mif_cd74_receptor_state	10	0.037207919698050804	0.1306866996139064	0.19523406027230258	0.8495461254167962	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.8495461254167962
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	mixscale_validated_ifng_readout	10	-0.7777365198982842	-0.4870630419340751	-2.8106462802418726	0.020355557627436623	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.03664000372938592
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	lipid_loader_repair	10	0.09665594951661946	0.1910611039551351	0.6725959843873319	0.5180984411705862	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.5828607463169095
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	complement_phagocytosis	10	-0.15909022663744268	-0.1325641853321982	-0.8803238238985817	0.4015793891304775	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.516316357453471
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	hif_nampt_metabolic	10	-1.0616628124663001	-1.1985882471912976	-7.649880978779616	3.159091168321557e-05	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.00028431820514894014
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=NR	inflammatory_nfkb	10	-0.824018295311429	-0.7378984811184172	-5.087551348625912	0.000656097825640899	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.001968293476922697
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	ifn_apc	19	-1.4269480753314243	-1.521888828121969	-7.216153936514855	1.0304136560338918e-06	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	7.769528401348614e-06
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	hla_ii_apc	19	-0.3003001937582315	-0.18531028448154574	-2.0166451775707155	0.058902646958008543	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.08835397043701282
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	lysosomal_apc	19	-1.4247046484396604	-1.438490421234832	-6.233861498092238	7.005885494771277e-06	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	1.5763242363235375e-05
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	mif_cd74_receptor_state	19	-0.1400168603424992	-0.1352193277837488	-0.7353422397407877	0.47160459367099666	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.47160459367099666
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	mixscale_validated_ifng_readout	19	-0.9335249075957097	-0.9832566225257213	-5.508343033348977	3.1321348523012934e-05	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	5.6378427341423276e-05
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	lipid_loader_repair	19	0.12089319652019032	0.03452503663234424	0.9234357834008999	0.36799402296420447	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.41399327583473006
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	complement_phagocytosis	19	-0.15986105192813346	-0.17874848712119928	-1.6166750180107805	0.12333889466446764	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.15857857885431553
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	hif_nampt_metabolic	19	-1.0158575230597922	-1.2937963459720718	-6.9449391806472685	1.7265618669663586e-06	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	7.769528401348614e-06
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=etanercept;response=R	inflammatory_nfkb	19	-0.7781073125362085	-0.7507440025109752	-6.307483792451568	6.041078733779758e-06	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	1.5763242363235375e-05
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	ifn_apc	9	-0.9899743613102887	-1.0328063511439372	-4.314026690378476	0.002566669674558502	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.007441491448122179
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	hla_ii_apc	9	-0.35353416634681156	-0.3364650584937557	-3.4338386799227707	0.008904301419521768	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.015819672015996034
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	lysosomal_apc	9	-0.9811241542377397	-1.0097079505784619	-4.128048770323242	0.003307329532498746	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.007441491448122179
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	mif_cd74_receptor_state	9	0.00839357177130471	-0.14598970396866348	0.05070128982019126	0.960806611695317	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.960806611695317
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	mixscale_validated_ifng_readout	9	-0.6741986513441963	-0.6896195027243217	-4.4397677112315295	0.002168616372839029	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.007441491448122179
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	lipid_loader_repair	9	0.22042770892309035	0.14625764025068413	1.6010938759025284	0.14802374216878694	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.19031623993129748
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	complement_phagocytosis	9	0.09905257132234231	-0.0420802817260425	0.5037249655528104	0.6280302816504677	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.7065340668567762
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	hif_nampt_metabolic	9	-0.8097438633091034	-0.8593475586740383	-3.319593961239223	0.010546448010664022	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.015819672015996034
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=NR	inflammatory_nfkb	9	-0.8434979223495347	-0.6775045007810485	-4.892909616192088	0.0012045179291625852	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.007441491448122179
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	ifn_apc	18	-1.5097281051898361	-1.4707076093569926	-9.015735945349848	6.912476313874367e-08	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	3.1106143412434655e-07
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	hla_ii_apc	18	-0.6410179965651179	-0.6540672241397205	-5.38559747806887	4.9308394629055375e-05	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	7.396259194358307e-05
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	lysosomal_apc	18	-1.3274540578319192	-1.2885732484155628	-10.32565347666212	9.659767985700925e-09	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	8.693791187130833e-08
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	mif_cd74_receptor_state	18	-0.3606078033182216	-0.18720921649020672	-2.2657023067004816	0.03681778666359251	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.0473371542817618
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	mixscale_validated_ifng_readout	18	-1.1201562372342837	-0.9457613556242669	-7.103040831632009	1.771190605636566e-06	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	3.985178862682273e-06
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	lipid_loader_repair	18	-0.1871932662178878	-0.2042972856658795	-1.977110192674494	0.06447888103777862	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.07253874116750095
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	complement_phagocytosis	18	-0.21129057244916077	-0.32584576375167146	-1.019390299633736	0.32230663308722196	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	0.32230663308722196
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	hif_nampt_metabolic	18	-1.1486655372307017	-1.2109045726327863	-8.220651618691187	2.5150546298641646e-07	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	7.545163889592494e-07
GSE106992	anti-TNF/IL-17/IL-23	etanercept/ustekinumab	psoriasis	lesional skin bulk biopsy	W12 minus baseline	therapy=ustekinumab;response=R	inflammatory_nfkb	18	-1.0522317144798436	-0.8567146827595394	-5.515899489031408	3.779531693084581e-05	post-treatment clinical response and lesion resolution; bulk-cell composition and generic inflammation dominate	6.803157047552245e-05
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	ifn_apc	3	-0.9298766738347649	-0.453290321126375	-1.0352326459029595	0.4093256782032281	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	hla_ii_apc	3	-0.7011378769375779	-0.6214029383480599	-0.9521161116276573	0.4415261067025056	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	lysosomal_apc	3	-0.3274725851767981	-0.17141299799419962	-0.5642252326407372	0.6294361986985819	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.7081157235359047
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	mif_cd74_receptor_state	3	-0.7421274660155007	-0.6922178370490618	-1.0630748844351479	0.39912685472412585	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	mixscale_validated_ifng_readout	3	-0.6050417572337567	-0.25216332212028325	-0.916446110335202	0.45617716851254303	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	lipid_loader_repair	3	-0.0543364565557917	-0.03130282227134534	-2.1510798900261747	0.1644098463288913	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	complement_phagocytosis	3	-0.21707575394936526	-0.2086750768434814	-0.3575320396179319	0.7548981504943476	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.7548981504943476
GSE24742	anti-CD20	rituximab	rheumatoid arthritis	synovial biopsy bulk	W12 minus baseline by EULAR response class	response=good	hif_nampt_metabolic	3	-0.6374860548550757	-0.41818298003549603	-1.2718795540652816	0.3313004121523496	post-treatment only, synovial composition, B-cell depletion and steroid coadministration	0.5865135023732696
