gene	sources_present	manual_route	manual_blocker	closure_text	wave81_call	wave81_score	direct_perturbation	direct_perturbation_detail	foundation_model_support_w81	foundation_model_detail_w81	model_support_contexts_w57	model_strong_contexts_w57	wave57_call	best_model_context	best_model_z	best_model_projection	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	manual_prior_blocked	cross_autoimmune_score_w83	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	positive_disease_count	positive_diseases	negative_disease_count	retained_residual_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	ibd_response_fdr10	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	wave91_call	wave83_call	wave62_call	has_direct_perturbation	has_foundation_support	has_nonexpression_anchor	ms_anchor	cross_disease_anchor	direction_or_response_support	reachable_modality	prior_or_safety_blocked	wrong_direction_or_undruggable	expression_only	wave103_score	wave103_gate_count	wave103_missing_gates	wave103_call	wave103_call_priority
CTLA4	wave83;wave37;wave62			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:checkpoint_axis_prior_art_systemic_immunosuppression;no_high_confidence_directional_support | checkpoint_axis_prior_art_systemic_immunosuppression | Direct clinical or therapeutic-class prior art blocks novelty. |  |  | 		0.0	0.0		0.0		0.0	0.0					5.5	receptor_or_ligand_axis	0.0	CHEMBL2364164	True	4.5	5.0	RA;T1D	2.0	2.0	2.0	0.0	0.0	0.6033987297082053	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.3502544781458254	0.9965506589785832		PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	True	True	False	False	3.5	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CD44	wave83;wave91;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails | NO_GO_ADHESION_MATRIX_PRIOR_ART_AND_BROAD_BIOLOGY |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		True	4.1	3.0	SLE;T1D	0.0	2.0	1.0	0.0	1.3446537852001974	0.0331669831445104	2.0	Crohn disease;ulcerative colitis	0.0	0.0	0.0	2.0	1.0	0.0	UNRESOLVED	0.1973187477149914	1.0	NO_GO_ROUTE_BLOCKED	NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	True	False	True	False	True	False	False	3.3	3	cross_disease_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CFB	wave83			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 341 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	enzyme	341.0	CHEMBL5731	True	6.7	1.0	AS	0.0	0.0	0.0	0.0	0.0	0.2868607768107353	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0			1.0		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	3.0999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
FKBP1A	wave83;wave37;wave62			no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; directional_negative_disease_signal; ChEMBL exact target found; ChEMBL activity records: 1023 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	kinase_or_phosphosignaling	1023.0	CHEMBL1902	True	4.7	1.0	Sjogren	0.0	1.0	0.0	0.0	0.0	0.2385454869670045	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2205199645557404	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	True	True	False	False	3.0999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
PTPRE	wave83;wave37			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 61 |  |  | 		0.0	0.0		0.0		0.0	0.0					4.0	kinase_or_phosphosignaling	61.0	CHEMBL4850	True	7.7	1.0	AS	0.0	0.0	0.0	0.0	0.0	0.5499680359747707	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0061118130207342	1.0		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	3.0999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CTSB	wave81;wave57;wave83;wave91;wave37;wave62			weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_independent_convergence_after_guardrails | NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	3.0	0.0		1.0	wave57:support=3,strong=2,token_contexts=7	3.0	2.0	NO_GO_MODEL_SCREEN	IBD_myeloid	0.6552505451187753	0.0415126765179189	0.5	intracellular_other	0.0		True	3.2	1.0	T1D	1.0	1.0	1.0	0.0	0.0	0.8140537383462653	2.0	psoriasis;ulcerative colitis	0.0	1.0	0.0	2.0	2.0	0.0	UNRESOLVED	0.6806693526076654	0.920009505703422	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	True	True	False	False	True	False	True	False	False	3.05	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
IL15	wave83;wave94;wave37			no_strong_ms_anchor;manual_or_prior_blocker |  | prior_demoted_or_class_blocked; generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 46 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	receptor_or_ligand_axis	46.0	CHEMBL3712954	True	5.0	0.0		0.0	0.0	0.0	0.0	1.1957614008388182	0.1225512579945805	5.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2151726182472718	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	3.0	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
JAK3	wave83;wave37			no_strong_ms_anchor;manual_or_prior_blocker |  | no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; directional_negative_disease_signal; prior_art_or_trial_saturation; ChEMBL exact target found; ChEMBL activity records: 14854 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	kinase_or_phosphosignaling	14854.0	CHEMBL2148	True	5.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0149902470163362	5.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0664720072714192	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	3.0	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
PPIA	wave83;wave37			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_ms_anchor; prior_demoted_or_class_blocked; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 646 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	kinase_or_phosphosignaling	646.0	CHEMBL1949	True	5.0	0.0		0.0	0.0	0.0	0.0	0.0798111319015699	0.5869705544995741	5.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0893714772097362	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	3.0	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CD80	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety | costimulation_axis_prior_art_and_systemic_safety | closed_costimulation_comparator |  |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	3.0	0.0		1.0	wave69d:support=1,strong=1,token_contexts=2;wave70c:support=2,strong=0,token_contexts=3	0.0	0.0					1.0	intracellular_other	0.0		True	4.6	3.0	PBC;SLE	3.0	0.0	3.0	0.4205642342567444	0.0	0.8621214280819472	1.0	ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.6897024474259502	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	True	True	False	False	True	False	True	False	False	2.9000000000000004	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CASP8	wave81;wave83;wave37			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; ChEMBL exact target found; ChEMBL activity records: 645 |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	4.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	645.0	CHEMBL3776	True	5.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0737162362572369	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2539592438363941	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
DDAH1	wave83;wave37			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; ChEMBL exact target found; ChEMBL activity records: 148 |  |  | 		0.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	148.0	CHEMBL6036	True	4.0	0.0		0.0	0.0	0.0	0.0	0.0	0.7856821149198733	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.3093881147241049	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
LTF	wave83;wave37;wave62			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found |  |  | 		0.0	0.0		0.0		0.0	0.0					3.0	transporter_or_trafficking	0.0	CHEMBL4523161	True	4.0	0.0		0.0	0.0	2.0	0.0	0.0	0.0043608765942223	4.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0871464102867347	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
MMP7	wave83;wave94;wave37			no_strong_ms_anchor;manual_or_prior_blocker |  | prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 937 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	surface_secreted_other	937.0	CHEMBL4073	True	7.0	0.0		0.0	0.0	0.0	0.0	1.836134503047833	0.1901690746366625	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0538492079253453	1.0		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
PSMB8	wave83;wave37			weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; core_machinery_or_hla_marker; ChEMBL exact target found; ChEMBL activity records: 689 |  |  | 		0.0	0.0		0.0		0.0	0.0					2.0	enzyme	689.0	CHEMBL5620	True	4.0	0.0		0.0	0.0	0.0	0.0	0.254256085876932	0.2662975252805021	4.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.0608727178886583	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
SQLE	wave83;wave37			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; ChEMBL exact target found; ChEMBL activity records: 99 |  |  | 		0.0	0.0		0.0		0.0	0.0					4.0	enzyme	99.0	CHEMBL3592	True	5.0	0.0		0.0	0.0	0.0	0.0	0.0	0.3307572199460259	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.0626412789132352	1.0		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	2.5999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
NFKB1	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | generic_nfkb_host_defense |  |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	1.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		True	3.5	7.0	AITD;AS;Crohn;PBC;Psoriasis;RA;UC	0.0	0.0	0.0	0.0	0.0	0.6530965209801629	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.1254413543536999	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	True	False	False	2.5	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CCL2	wave83;wave91;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails | NO_GO_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART |  | 		0.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	0.0		False	6.5	5.0	Crohn;UC	4.0	2.0	4.0	0.0	0.0490525604706171	0.90646856397048	1.0	type 1 diabetes mellitus	1.0	0.0	0.0	2.0	1.0	0.0	UNRESOLVED	-0.2139416949057235	0.9971256078463696	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	True	False	True	False	False	2.4000000000000004	3	ms_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
MAPK14	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	2.0	0.0		0.0		0.0	0.0					1.0	intracellular_other	0.0		True	5.5	5.0	AS;Celiac;T1D	0.0	3.0	0.0	0.0	0.024228322440198	0.831669682060653	2.0	psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2271063170261813	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	True	False	False	2.3	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
NCF1	wave81;wave83;wave37;wave62			weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | closed_nox_ros_branch |  |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	3.0	0.0		1.0	wave69d:support=3,strong=0,token_contexts=4;wave70c:support=3,strong=2,token_contexts=5	0.0	0.0					0.0	intracellular_other	0.0		True	3.2	1.0	Sjogren	3.0	0.0	3.0	0.0	0.6643413684356645	0.4799034657965054	1.0	Crohn disease	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.2471804065886498	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	True	True	False	False	True	False	True	False	False	1.9000000000000004	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
OSMR	wave83;wave37			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | prior_branch_blocked |  |  | 		0.0	0.0		0.0		0.0	0.0					1.0	intracellular_other	0.0		True	4.5	5.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.0	0.0	0.0	0.0	0.8643590462425126	1.0	psoriasis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.2277104987076789	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	False	True	False	False	1.9000000000000004	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CD74	wave83;wave91;wave94;wave37			no_strong_ms_anchor;manual_or_prior_blocker |  | prior_demoted_or_class_blocked; directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 25; Wave15 residual state support in 8 diseases | NO_GO_BROAD_ANTIGEN_PRESENTATION_AXIS |  | 		0.0	0.0		0.0		0.0	0.0					5.0	receptor_or_ligand_axis	25.0	CHEMBL4692	True	4.0	0.0		0.0	0.0	0.0	0.0	0.2553907019006836	0.2187160729350419	4.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	1.0	0.0	0.0	1.0	0.0	0.0	UNRESOLVED	0.2293709146181354	0.920009505703422	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	1.0999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
SCD	wave83;wave94			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1320 |  |  | 		0.0	0.0		0.0		0.0	0.0					5.0	intracellular_other	1320.0	CHEMBL5555	True	5.0	0.0		0.0	0.0	0.0	0.0	0.3699574700771606	0.1572805657312676	4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.0	0.0	0.0	0.0	0.0	0.0			1.0		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		False	False	True	False	True	False	True	True	False	False	1.0999999999999996	3	ms_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
ATG16L1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor |  | Genetics may be broad, but current modality is absent or wrong-direction restoration. |  |  | 		0.0	0.0		0.0		0.0	0.0					1.375	intracellular_other	0.0		False	4.0	9.0	Crohn	1.0	1.0	1.0	0.0	0.0	0.748415654224524	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.2625978641797406	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	True	True	False	1.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CTSD	wave81;wave57;wave91;wave37			 |  |  | NO_GO_BROAD_LYSOSOMAL_PROTEASE_HOST_DEFENSE |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	5.0	0.0		1.0	wave57:support=2,strong=0,token_contexts=6	2.0	0.0	NO_GO_MODEL_SCREEN	IBD_epithelial	0.2322186178486432	0.0245587734259768	0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	0.4931363740249406	0.0483200176388117	0.0		2.0	0.0	0.0	1.0	0.0	0.0	UNRESOLVED	0.5374293467867003	0.920009505703422	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES			False	True	True	True	False	True	False	True	False	False	1.0	3	cross_disease_anchor;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CARD9	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | Genetics may be broad, but current modality is absent or wrong-direction restoration. |  |  | 		0.0	0.0		0.0		0.0	0.0					1.1875	intracellular_other	0.0		False	6.0	5.0	AS;Crohn;Psoriasis;RA;UC	1.0	0.0	1.0	0.0	0.0	0.13197995180624	2.0	psoriasis;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.1624335858855492	0.9965506589785832		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	True	True	False	0.2999999999999998	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
ZC2HC1A	wave83;wave37;wave62			weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:locus_marker_without_druggable_route;no_high_confidence_directional_support | locus_marker_without_druggable_route | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		True	1.9	2.0	MS;Psoriasis	1.0	2.0	1.0	0.8042101263999939	0.0	0.4076457657420381	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2487724904368098	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	False	False	True	True	False	False	False	True	False	False	0.0	2	cross_disease_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CD86	wave83;wave37;wave62			weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety;no_high_confidence_directional_support | costimulation_axis_prior_art_and_systemic_safety | closed_costimulation_comparator |  |  | 		0.0	0.0		0.0		0.0	0.0					1.0	intracellular_other	0.0		True	3.2	1.0	MS	5.0	1.0	5.0	0.9702414870262146	0.0	0.8000892220307895	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.382112823294728	0.9965506589785832		NO_GO_NOT_REACHABLE_FIRST_CLASS	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	False	False	True	True	False	False	False	True	False	False	-0.5	2	cross_disease_anchor;direction_or_response_support;reachable_modality	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
FADS1	wave83;wave37;wave62			insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:lipid_desaturation_axis_not_cell_state_specific | lipid_desaturation_axis_not_cell_state_specific | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					4.0	intracellular_other	61.0	CHEMBL5840	True	2.7	1.0	Crohn	0.0	0.0	0.0	0.0	0.0	0.0302817182679143	2.0	psoriasis;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2988813627317634	0.920009505703422		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	False	False	True	True	False	False	-0.7000000000000002	2	ms_anchor;cross_disease_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
CCR6	wave83;wave37;wave62			insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Broad GWAS Catalog support is mapped-gene/top-association only; needs credible-set/eQTL coloc. |  |  | 		0.0	0.0		0.0		0.0	0.0					5.5	receptor_or_ligand_axis	0.0	CHEMBL4423	True	2.4	2.0	RA	2.0	1.0	2.0	0.0	0.2229856175356008	0.7784945025694487	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2593754157402955	0.9971256078463696		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	False	False	True	True	False	False	-1.0	2	ms_anchor;cross_disease_anchor;direction_or_response_support	NO_GO_PRIOR_OR_SAFETY_BLOCKED	7
