gene	approved_name	wave104_call	wave104_call_priority	wave104_score	wave104_missing_gates	route_hypothesis	manual_route_blocker	prior_or_safety	gate_ms_genetic	gate_cross_autoimmune_genetics	gate_lipid_state_or_recurrence	gate_directional_or_perturbation	gate_reachable_modality	ms_max_l2g_score	ms_max_relevant_qtl_h4	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	relevant_qtl_coloc_disease_count	strong_qtl_coloc_diseases	genetic_disease_count_union	genetic_diseases_union	local_positive_disease_count	local_positive_diseases	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	direct_perturbation	direct_perturbation_detail	foundation_support	model_support_contexts_w57	model_strong_contexts_w57	best_model_context	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	wave62_score	wave62_call	wave83_call	wave91_call	wave103_call	closure_text
PLD4	phospholipase D family member 4	NO_GO_NO_MS_GENETIC_ANCHOR	5	1.0	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	2	RA;SLE	2	2	RA;SLE	2	RA;SLE	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.1704904399739528	0.920009505703422	0.0	intracellular_other	0		2.2186064782397805	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor |  |  |  |  |  | 
LHX2	LIM homeobox 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.8999999999999999	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;reachable_modality			False	False	False	False	True	False	0.0	0.0	0		0	0		2	AS;RA	0		False	0	0	0	0	True	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	False	0.0	0.0		KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.9510873903574384	0.920009505703422	0.0		0		0.3330745100975036	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_NO_MS_ANCHOR	 |  |  |  |  |  |  |  |  |  | 
DNASE1L3	deoxyribonuclease 1L3	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.75	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		0	0		3	AITD;RA;SLE	2	psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3799777501434958	0.9971256078463696	0.0	intracellular_other	0		0.5736754760146141	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
EDEM1	ER degradation enhancing alpha-mannosidase like protein 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.75	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		2	AS;RA	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0108063507266646	1.0	0.0	intracellular_other	0		1.051962736994028	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
LHFPL6	LHFPL tetraspan subfamily member 6	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.75	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		0	0		2	AS;RA	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0					0.0	intracellular_other	0		1.1547198295593262	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
CDKN2B	cyclin dependent kinase inhibitor 2B	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	1	T1D	0	0		4	Crohn;Psoriasis;RA;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2748631280647722	1.0	0.0	intracellular_other	0		1.0238538980484009	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
DNMT3A	DNA methyltransferase 3 alpha	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	1	PBC	0	0		4	Crohn;PBC;SLE;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3519783087131138	0.920009505703422	0.0	intracellular_other	0		1.3861069679260254	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
ERBB3	erb-b2 receptor tyrosine kinase 3	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	0		1	1	Crohn	4	AITD;Crohn;RA;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1019618892144011	1.0	0.0		0		1.9070042705674783	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
GAL3ST2	galactose-3-O-sulfotransferase 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	0		1	1	UC	4	AS;Crohn;Psoriasis;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4374694233573943	0.9971256078463696	0.0	intracellular_other	0		1.570498645021853	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
KAZN	kazrin, periplakin interacting protein	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	1	SLE	0	0		4	AITD;AS;RA;SLE	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3646439950901077	0.9971256078463696	0.0	intracellular_other	0		1.1139333248138428	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
MYL2	myosin light chain 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	1	T1D	0	0		4	AITD;Crohn;RA;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2060996861024692	0.9971256078463696	0.0	intracellular_other	0		1.251605987548828	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
PCDH20	protocadherin 20	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	True	False	False	False	0.0	0.0	1	Celiac	0	0		4	AITD;AS;Celiac;RA	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1549670080928944	0.9971256078463696	0.0	intracellular_other	0		0.5387919545173645	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
ATG5	autophagy related 5	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	RA	0	0		3	AS;RA;SLE	1	psoriasis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.2689389331959025	0.920009505703422	0.0		0		1.2453882694244385	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CUL2	cullin 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	Crohn	0	0		3	Crohn;Psoriasis;UC	1	psoriasis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3582715882155987	0.920009505703422	0.0		0		1.053475558757782	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
DGKQ	diacylglycerol kinase theta	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	T1D	0	0		3	RA;SLE;T1D	1	psoriasis	False	0	0	0	0	False		False	0.0	0.0		KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	-0.5399037764566008	0.920009505703422	0.0		0		1.0191633105278015	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
MAPT	microtubule associated protein tau	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	PBC	0	0		3	AITD;PBC;T1D	1	type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1924358534581313	0.9971256078463696	0.0		0		1.1405082941055298	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
MSRA	methionine sulfoxide reductase A	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AITD	0	0		3	AITD;Crohn;SLE	1	psoriasis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0509518940370841	0.9971256078463696	0.0		0		1.0902103781700134	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
AKAP11	A-kinase anchoring protein 11	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	T1D	0	0		2	Crohn;T1D	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.2636528406072472	0.920009505703422	0.0		0		1.3287670016288755	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CCL7	C-C motif chemokine ligand 7	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		1	1	UC	2	Crohn;UC	2	psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.1308118162319922	0.9971256078463696	0.0		0		1.755494957412164	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CSK	C-terminal Src kinase	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		1	1	Celiac	2	Celiac;SLE	2	Crohn disease;psoriasis	False	0	0	0	0	False		False	0.0	0.0					0.0		0		1.5693103609267045	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
CTH	cystathionine gamma-lyase	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	AS	0	0		2	AS;RA	2	psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.3847086344394588	0.920009505703422	0.0		0		1.3775373101234436	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
DMAC1	distal membrane arm assembly component 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	SLE	0	0		2	AS;SLE	2	Sjogren syndrome;psoriasis	False	0	0	0	0	False		False	0.0	0.0					0.0		0		1.1276172399520874	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
DUSP22	dual specificity phosphatase 22	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	SLE	0	0		2	Crohn;SLE	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1754793799949867	0.9971256078463696	0.0		0		1.2377994656562803	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
IGFBP7	insulin like growth factor binding protein 7	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	T1D	0	0		2	AS;T1D	2	type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0925912694908865	1.0	0.0		0		0.5341494083404541	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
TBC1D2	TBC1 domain family member 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	1	SLE	0	0		2	AITD;SLE	2	psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0192969131733515	1.0	0.0		0		0.7156227231025696	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
TMEM50B	transmembrane protein 50B	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	False	False	False	False	False	0.0	0.0	0		1	1	RA	2	Crohn;RA	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.031061836402741	1.0	0.0		0		1.5399182649669625	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
ACTR2	actin related protein 2	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	Psoriasis	0	0		1	Psoriasis	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-1.5068240378571225	0.920009505703422	0.0	intracellular_other	0		2.297014057636261	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
ARHGEF3	Rho guanine nucleotide exchange factor 3	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	Celiac	0	0		1	Celiac	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0409781238048934		0.0	intracellular_other	0		2.3588231205940247	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
CD47	CD47 molecule	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	SLE	0	0		1	SLE	3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2323423275879266	0.9965506589785832	0.0	intracellular_other	0		1.829954743385315	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
MEOX1	mesenchyme homeobox 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	Celiac	0	0		1	Celiac	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0677849380473933	1.0	0.0	intracellular_other	0		1.5925302505493164	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		1	1	RA	1	RA	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.7110304326260917	0.920009505703422	0.0		0		2.5691557314525317	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
NAGLU	N-acetyl-alpha-glucosaminidase	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		1	1	Crohn	1	Crohn	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3295631021966174	0.920009505703422	0.0		0		2.503951235622329	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		1	1	Psoriasis	1	Psoriasis	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.531187115173025	0.9971256078463696	0.0		0		2.563755867309448	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
RGS19	regulator of G protein signaling 19	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		1	1	UC	1	UC	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0040398945663703	1.0	0.0		0		2.1410194712954675	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
SCLY	selenocysteine lyase	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	0		1	1	Psoriasis	1	Psoriasis	3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.2197167833916681	1.0	0.0		0		2.6618853813642898	NO_GO_WAVE62_TARGET_RESOLUTION			NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  |  |  |  |  |  |  |  |  | 
SLC39A8	solute carrier family 39 member 8	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	Crohn	0	0		1	Crohn	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.065243553721718	1.0	0.0	intracellular_other	0		2.3641997575759888	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor |  | weak_reachability;no_strong_ms_anchor |  |  |  |  |  | 
SMC4	structural maintenance of chromosomes 4	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0612001940608024	0.0	0		1	1	PBC	1	PBC	3	Crohn disease;psoriasis;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	1.2763900692921113	0.920009505703422	0.0	intracellular_other	0		1.970480919016098	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
ZC3HC1	zinc finger C3HC-type containing 1	NO_GO_NO_MS_GENETIC_ANCHOR	5	0.7000000000000002	ms_genetic_anchor;cross_autoimmune_genetics;directional_or_perturbation_support;reachable_modality			False	False	False	True	False	False	0.0	0.0	1	Psoriasis	0	0		1	Psoriasis	3	Crohn disease;psoriasis;type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0					0.0	intracellular_other	0		1.882795512676239	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_EXPRESSION_OR_CLASS_ONLY	 |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
