gene	selection_reasons	discovery_priority_score_resid	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2_resid	ms_wm_p_resid	in_lipid_lysosomal_myeloid_neighborhood_resid	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood_broad	ms_wm_delta_log2_broad	ms_wm_hedges_g	ms_wm_p_broad	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score_broad	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	target_level_genetics_dod_call	audit_priority_call	wave21_residual_modality_score	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url	wave21_call	wave21_failures	wave21_modality_read	wave21_manual_class	wave21_direction	wave21_prior_flag	prior_exclusion_reason
MTHFD2	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	False	0.0461599204982174	0.8145219094018459	False	6	4	0	6	4	2	2	0	0		ibd_crohn_epithelial:0.225,p=0.0017;ibd_uc_myeloid:0.365,p=0.0066;ibd_uc_stromal:0.443,p=0.018;ibd_crohn_stromal:0.349,p=0.019;t1d_stellate_cell:0.739,p=0.034;psoriasis_keratinocyte:0.355,p=0.036	ibd_crohn_epithelial|complement_phagocytosis:0.207,p=0.002;ibd_crohn_stromal|complement_effector:0.369,p=0.0042;ibd_uc_stromal|lysosomal_apc:0.475,p=0.0064;ibd_uc_stromal|hla_ii_apc:0.405,p=0.01;ibd_uc_stromal|ifn_apc:0.452,p=0.011;ibd_crohn_stromal|ifn_apc:0.36,p=0.014;ibd_uc_stromal|core_lysosomal_lipid:0.378,p=0.014;ibd_uc_stromal|complement_effector:0.444,p=0.017	8	17.0	8.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0009513198522795	0.0999672650786359	1.658403383426843	2.163146731150202			ibd_crohn_myeloid:1.04,p=0.00095;t1d_stellate_cell:1.66,p=0.0024;ibd_crohn_epithelial:1.08,p=0.0025;ibd_uc_myeloid:0.788,p=0.0055;ibd_crohn_stromal:1.32,p=0.0066;ibd_uc_stromal:1.3,p=0.0094;psoriasis_keratinocyte:1.26,p=0.02;psoriasis_skin_apc:0.668,p=0.021	False	0.0461599204982174	0.0986393692526818	0.8145219094018459	0.9761732664217524															False	False	0.0	22.0					5.0	CHEMBL3621036	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	SINGLE PROTEIN	Homo sapiens	65	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MTHFD2&limit=10	P13995	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	Although its dehydrogenase activity is NAD-specific, it can also utilize NADP at a reduced efficiency	Mitochondrion	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMTHFD2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	chembl_single_target_activity				
CASP4	four_disease_low_contradiction;mechanistic_scout;top_rank	23.0	4.0	0.0	False	0.2066862758954002	0.4927047679399916	False	5	4	0	5	4	3	2	0	0		ibd_crohn_myeloid:0.7,p=0.00039;ibd_uc_myeloid:0.777,p=0.0071;psoriasis_skin_apc:0.283,p=0.023;t1d_acinar_cell:0.401,p=0.029;t1d_ductal_cell:0.437,p=0.034	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.622,p=0.00066;ibd_crohn_myeloid|lipid_loader_repair:0.613,p=0.0007;ibd_crohn_myeloid|hla_ii_apc:0.686,p=0.00078;ibd_crohn_myeloid|complement_effector:0.651,p=0.00096;ibd_crohn_myeloid|complement_phagocytosis:0.556,p=0.0016;ibd_crohn_myeloid|core_lysosomal_lipid:0.539,p=0.0035;ibd_crohn_myeloid|lysosomal_apc:0.54,p=0.004;ibd_crohn_myeloid|mif_cd74_receptor_state:0.59,p=0.0043	8	17.0	7.0	0.0	2.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		8.269289671881575e-05	0.0328227639625369	1.398421123265413	1.7598501493950005			ibd_uc_myeloid:1.4,p=8.3e-05;ibd_crohn_myeloid:1.21,p=0.0009;t1d_acinar_cell:0.784,p=0.00097;t1d_stellate_cell:0.877,p=0.0034;psoriasis_skin_apc:0.618,p=0.011;ibd_uc_epithelial:1.02,p=0.014;t1d_ductal_cell:0.819,p=0.017	False	0.2066862758954002	0.3001486595291572	0.4927047679399916	0.9271619615463814															False	False	0.0	23.0					5.0	CHEMBL2226	Caspase-4	SINGLE PROTEIN	Homo sapiens	61	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CASP4&limit=10	P49662	Caspase-4	(Microbial infection) In response to the Td92 surface protein of the periodontal pathogen T.denticola, activated by cathepsin CTSG which leads to production and secretion of IL1A and pyroptosis of gingival fibroblasts	Cytoplasm, cytosol;Endoplasmic reticulum membrane;Mitochondrion;Inflammasome;Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACASP4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
ASL	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	False	-0.321226334266484	0.2727488139944647	False	3	3	0	3	3	1	1	0	0		ibd_crohn_epithelial:0.266,p=0.00043;psoriasis_keratinocyte:0.603,p=0.015;ibd_uc_stromal:0.437,p=0.035	ibd_crohn_epithelial|complement_phagocytosis:0.265,p=0.00049;ibd_crohn_epithelial|lysosomal_apc:0.25,p=0.00087;ibd_uc_stromal|lysosomal_apc:0.484,p=0.011;ibd_uc_stromal|complement_effector:0.445,p=0.015;ibd_uc_stromal|core_lysosomal_lipid:0.402,p=0.025;psoriasis_keratinocyte|inflammatory_nfkb:0.581,p=0.03;ibd_uc_stromal|hla_ii_apc:0.4,p=0.03;ibd_uc_stromal|ifn_apc:0.444,p=0.031	5	17.0	6.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007839726025205	0.0808141225355613	2.0430911451520246	1.5252463491804438			ibd_crohn_epithelial:0.656,p=0.00078;t1d_endothelial_cell:1.63,p=0.0087;psoriasis_keratinocyte:2.04,p=0.015;ibd_uc_stromal:1.12,p=0.018;t1d_ductal_cell:0.838,p=0.034;t1d_stellate_cell:1.56,p=0.046	False	-0.321226334266484	-0.4928165122313689	0.2727488139944647	0.9049965616313804															False	False	0.0	20.0					3.75	CHEMBL6066328	Adenylosuccinate lyase	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ASL&limit=10	P04424	Argininosuccinate lyase	Catalyzes the reversible cleavage of L-argininosuccinate to fumarate and L-arginine, an intermediate step reaction in the urea cycle mostly providing for hepatic nitrogen detoxification into excretable urea as well as de novo L-arginine synthesis in nonhepatic tissues (PubMed:11747432, PubMed:11747433, PubMed:22081021, PubMed:2263616, PubMed:9045711). Essential regulator of intracellular and extracellular L-arginine pools. As part of citrulline-nitric oxide cycle, forms tissue-specific multiprotein complexes with argininosuccinate synthase ASS1, transport protein SLC7A1 and nitric oxide synthase NOS1, NOS2 or NOS3, allowing for cell-autonomous L-arginine synthesis while channeling extracellular L-arginine to nitric oxide synthesis pathway (PubMed:22081021)		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AASL%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	none_detected				
LCN2	top_rank	21.0	3.0	0.0	False	-0.5023389988968477	0.6231471760280782	False	4	3	0	4	3	1	1	0	0		ibd_uc_epithelial:4.82,p=0.00034;ibd_crohn_epithelial:2.31,p=0.0084;ibd_uc_stromal:0.367,p=0.019;t1d_endothelial_cell:1.56,p=0.043	ibd_uc_epithelial|complement_phagocytosis:4.69,p=6.7e-09;ibd_uc_epithelial|lysosomal_apc:4.71,p=7.1e-06;ibd_uc_epithelial|core_lysosomal_lipid:3.84,p=0.00077;ibd_uc_epithelial|lipid_loader_repair:4.47,p=0.0016;ibd_uc_epithelial|mixscale_validated_ifng_readout:2.85,p=0.0058;ibd_crohn_epithelial|lysosomal_apc:1.92,p=0.0068;ibd_crohn_epithelial|complement_phagocytosis:2.1,p=0.01;ibd_uc_stromal|ifn_apc:0.375,p=0.011	5	17.0	6.0	0.0	3.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.819501745720937e-07	0.0009471597710929	6.238999451785841	2.3208652245431116			ibd_uc_epithelial:6.24,p=2.8e-07;ibd_crohn_epithelial:4.28,p=4.1e-05;ibd_uc_stromal:2.08,p=0.001;t1d_endothelial_cell:4.42,p=0.0013;ibd_uc_myeloid:1.65,p=0.039;t1d_stellate_cell:3.3,p=0.049	False	-0.5023389988968477	-0.210276118821332	0.6231471760280782	0.9490245393797272															False	False	0.0	21.0					3.75					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LCN2&limit=10	P80188	Neutrophil gelatinase-associated lipocalin	Iron-trafficking protein involved in multiple processes such as apoptosis, innate immunity and renal development (PubMed:12453413, PubMed:20581821, PubMed:27780864). Binds iron through association with 2,3-dihydroxybenzoic acid (2,3-DHBA), a siderophore that shares structural similarities with bacterial enterobactin, and delivers or removes iron from the cell, depending on the context. Iron-bound form (holo-24p3) is internalized following binding to the SLC22A17 (24p3R) receptor, leading to release of iron and subsequent increase of intracellular iron concentration. In contrast, association of the iron-free form (apo-24p3) with the SLC22A17 (24p3R) receptor is followed by association with an intracellular siderophore, iron chelation and iron transfer to the extracellular medium, thereby re	Secreted;Cytoplasmic granule lumen;Cytoplasmic vesicle lumen	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALCN2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
APOL1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	-0.1201588560224085	0.5940095372095473	False	3	3	0	3	3	1	1	0	0		psoriasis_skin_apc:0.571,p=0.0014;ibd_uc_epithelial:0.867,p=0.0018;ibd_crohn_epithelial:0.408,p=0.041	ibd_uc_epithelial|complement_phagocytosis:0.878,p=0.001;ibd_uc_epithelial|lysosomal_apc:0.884,p=0.001;psoriasis_skin_apc|complement_phagocytosis:0.571,p=0.0021;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.571,p=0.0022;psoriasis_skin_apc|lipid_loader_repair:0.553,p=0.0022;psoriasis_skin_apc|mif_cd74_receptor_state:0.542,p=0.0061;ibd_uc_epithelial|lipid_loader_repair:0.685,p=0.0062;ibd_uc_epithelial|core_lysosomal_lipid:0.666,p=0.007	5	17.0	5.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003577910696826	0.0417904697946241	2.8189585429046327	2.2257084457147083			ibd_uc_epithelial:2.82,p=0.00036;ibd_crohn_epithelial:1.76,p=0.011;psoriasis_skin_stromal:0.647,p=0.015;t1d_acinar_cell:1.69,p=0.028;t1d_ductal_cell:0.962,p=0.034	False	-0.1201588560224085	-0.2281927208994943	0.5940095372095473	0.9466965949245808															False	False	0.0	19.0					3.75	CHEMBL4680021	Apolipoprotein L1	SINGLE PROTEIN	Homo sapiens	593	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=APOL1&limit=10	O14791	Apolipoprotein L1	May play a role in lipid exchange and transport throughout the body. May participate in reverse cholesterol transport from peripheral cells to the liver. A component of trypanosome lytic factor of human serum; plays a crucial role in killing Trypanosoma brucei by forming pores in parasite lysosomal membranes and sensitizing T.brucei to oxidation-stimulated osmotic lysis (PubMed:12621437, PubMed:16020735, PubMed:19997494, PubMed:26645690, PubMed:7723792)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AAPOL1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
IDO1	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	False			False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:1.22,p=0.0066;ibd_crohn_myeloid:1.69,p=0.011;sjogren_gland_apc:0.355,p=0.037	ibd_crohn_myeloid|hla_ii_apc:1.51,p=0.0076;ibd_crohn_myeloid|complement_effector:1.42,p=0.011;ibd_uc_myeloid|hla_ii_apc:0.974,p=0.012;ibd_crohn_myeloid|lipid_loader_repair:1.64,p=0.013;ibd_crohn_myeloid|core_lysosomal_lipid:1.2,p=0.016;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.55,p=0.017;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.865,p=0.02;ibd_uc_myeloid|lipid_loader_repair:0.86,p=0.02	5	13.0	7.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.00322826600589	0.1536003676736752	5.7271363260966694	1.4771151962959084			ibd_crohn_myeloid:5.73,p=0.0032;ibd_uc_myeloid:4.95,p=0.0076;ibd_crohn_epithelial:2.71,p=0.025;ibd_crohn_stromal:3.24,p=0.027;psoriasis_skin_stromal:0.324,p=0.03;sjogren_gland_apc:2.42,p=0.032;ibd_uc_epithelial:3.09,p=0.05	False																			False	False	0.0	19.0					3.75	CHEMBL4685	Indoleamine 2,3-dioxygenase 1	SINGLE PROTEIN	Homo sapiens	7278	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IDO1&limit=10	P14902	Indoleamine 2,3-dioxygenase 1	Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway (PubMed:17671174, PubMed:18026683). Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses (PubMed:25691885). Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells (PubMed:25691885). Acts as a suppressor of anti-tumor immunity (PubMed:14502282, PubMed:23103127, PubMed:25157255, PubMed:25691885). Limits the growth of intracellular pathogens by depriving tryptophan (PubMed:25691885). Protects the fetus from maternal im	Cytoplasm, cytosol	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AIDO1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	chembl_single_target_activity				
PPIF	four_disease_low_contradiction;top_rank	18.064493936531907	4.0	0.0	False	0.0794098483837952	0.7293829927625533	False	3	3	0	3	3	1	1	0	0		psoriasis_keratinocyte:0.318,p=0.0064;ibd_uc_myeloid:1.58,p=0.0075;ibd_crohn_myeloid:1.31,p=0.021	ibd_crohn_myeloid|hla_ii_apc:1.43,p=0.0026;psoriasis_keratinocyte|inflammatory_nfkb:0.313,p=0.0089;ibd_uc_myeloid|hla_ii_apc:1.34,p=0.019;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.18,p=0.02;ibd_uc_myeloid|lipid_loader_repair:0.891,p=0.022;ibd_crohn_myeloid|mif_cd74_receptor_state:1.3,p=0.022;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.09,p=0.024;ibd_crohn_myeloid|core_lysosomal_lipid:1.03,p=0.024	5	17.0	4.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0007079680995625	0.0916163162915363	2.070558497023524	2.3950495317084552			ibd_crohn_myeloid:2.03,p=0.00071;ibd_uc_myeloid:2.07,p=0.0025;psoriasis_keratinocyte:1.08,p=0.0093;sjogren_gland_apc:0.483,p=0.023	False	0.0794098483837952	0.1532872643924068	0.7293829927625533	0.9684447890186522							1.2898787306381196	-0.2101212693618803	1.5	0.0	1.0		MS		False	False	0.0	18.064493936531907					3.75	CHEMBL3325306	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	SINGLE PROTEIN	Homo sapiens	46	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPIF&limit=10	P30405	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Involved in regulation of the mitochondrial permeability transition pore (mPTP) (PubMed:26387735). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated (PubMed:26387735). In cooperation with mitochondrial p53/TP53 is involved in activating oxidative stress-induced necrosis (PubMed:22726440). Involved in modulation of mitochondrial membrane F(1)F(0) ATP synthase activity and regulation of mitochondrial matrix adenine nucleotide	Mitochondrion matrix	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APPIF%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	chembl_single_target_activity				
PDIA4	four_disease_low_contradiction;top_rank	18.061463476526377	4.0	0.0	False	-0.6214340839245054	0.0407144742028937	False	3	3	0	3	3	1	1	0	0		ibd_uc_epithelial:0.492,p=0.0026;ibd_crohn_epithelial:0.467,p=0.011;psoriasis_keratinocyte:0.383,p=0.032	ibd_uc_epithelial|complement_phagocytosis:0.477,p=0.00047;ibd_uc_epithelial|lysosomal_apc:0.474,p=0.00097;ibd_uc_epithelial|lipid_loader_repair:0.488,p=0.003;ibd_crohn_epithelial|lysosomal_apc:0.354,p=0.0032;ibd_uc_epithelial|core_lysosomal_lipid:0.415,p=0.005;ibd_crohn_epithelial|complement_phagocytosis:0.428,p=0.017;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.292,p=0.033;psoriasis_keratinocyte|inflammatory_nfkb:0.309,p=0.04	5	17.0	4.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1.8382247381480167e-05	0.0326479535548552	1.3601199318790511	2.3012279584035573			ibd_crohn_epithelial:1.21,p=1.8e-05;ibd_uc_epithelial:1.36,p=0.0058;t1d_ductal_cell:0.658,p=0.019;psoriasis_keratinocyte:0.877,p=0.031	False	-0.6214340839245054	-0.9090225195686528	0.0407144742028937	0.8573807218486817							1.2292695305275312	-0.2707304694724688	1.5	0.0	0.0				False	False	0.0	18.061463476526377					3.75	CHEMBL4295717	Protein disulfide-isomerase A4	SINGLE PROTEIN	Homo sapiens	8	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDIA4&limit=10	P13667	Protein disulfide-isomerase A4		Endoplasmic reticulum lumen;Melanosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDIA4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	none_detected				
CFP	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-2.298076006660539	0.0364971261630132	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.863,p=0.0049;ibd_crohn_myeloid:0.641,p=0.022;psoriasis_skin_apc:0.334,p=0.041	ibd_uc_myeloid|hla_ii_apc:0.745,p=0.011;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.605,p=0.015;ibd_uc_myeloid|lipid_loader_repair:0.635,p=0.016;ibd_crohn_myeloid|lipid_loader_repair:0.623,p=0.026;ibd_crohn_myeloid|hla_ii_apc:0.585,p=0.027;ibd_crohn_myeloid|complement_effector:0.508,p=0.029;psoriasis_skin_apc|mif_cd74_receptor_state:0.289,p=0.031;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.542,p=0.034	5	17.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0011162649196748	0.1030263313631722	2.199927863846164	2.314625212326661			ibd_uc_myeloid:2.2,p=0.0011;ibd_crohn_myeloid:2.08,p=0.0015;t1d_stellate_cell:1.12,p=0.0045;psoriasis_skin_apc:0.868,p=0.021;t1d_beta_cell:0.487,p=0.049	False	-2.298076006660539	-0.9540224311735472	0.0364971261630132	0.8506970233122761															False	False	0.0	17.0					3.75					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CFP&limit=10	P27918	Properdin	A positive regulator of the alternate pathway (AP) of complement (PubMed:16301317, PubMed:20382442, PubMed:28264884, PubMed:9748277). It binds to and stabilizes the C3- and C5-convertase enzyme complexes (PubMed:16301317, PubMed:20382442, PubMed:28264884, PubMed:9748277). Inhibits CFI-CFH mediated degradation of Complement C3 beta chain (C3b) (PubMed:31507604)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACFP%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
SMCO4	four_disease_low_contradiction;top_rank	17.0	4.0	0.0	False	-0.9152482067315876	0.3027646120706504	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.582,p=0.00071;ibd_crohn_myeloid:0.671,p=0.0054;psoriasis_skin_apc:0.22,p=0.049	ibd_crohn_myeloid|hla_ii_apc:0.579,p=0.0017;ibd_uc_myeloid|hla_ii_apc:0.458,p=0.0042;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.446,p=0.0061;ibd_crohn_myeloid|complement_effector:0.536,p=0.0062;ibd_uc_myeloid|lipid_loader_repair:0.446,p=0.0068;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.65,p=0.0077;ibd_crohn_myeloid|lipid_loader_repair:0.627,p=0.0079;ibd_crohn_myeloid|complement_phagocytosis:0.612,p=0.012	5	17.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0017321778737476	0.1274153577026144	2.1994158707904603	1.6478135188034733			ibd_crohn_myeloid:2.2,p=0.0017;ibd_uc_myeloid:1.83,p=0.0057;ibd_crohn_stromal:1.75,p=0.012;sjogren_gland_stromal:0.952,p=0.042;t1d_beta_cell:1.7,p=0.044	False	-0.9152482067315876	-0.4764144243364233	0.3027646120706504	0.9075477698307116															False	False	0.0	17.0					3.75					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SMCO4&limit=10	Q9NRQ5	Single-pass membrane and coiled-coil domain-containing protein 4		Membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASMCO4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
