gene	prior_source	prior_call	prior_reason
PTPN6	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
PVR	wave19_checkpoint	PARK_LOW	wave19_reason=local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=1030, CT.gov=0)
RAB5A	wave19_lysosomal_candidates		
RFX5	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=CIITA_RFX5_HLAII_transcriptional_gate
RFX5	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=GSK3B_CIITA_controller
RFX5	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=IFNG_HLAII_CD74_transition_state
RHEB	wave19_lysosomal_candidates		
RHEB	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
RPTOR	wave19_lysosomal_candidates		
RPTOR	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
RPTOR	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
RRAGA	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
RXRA	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
RXRB	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
RXRG	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SEC61A1	static_wave21_guardrail	CORE_MACHINERY	core machinery/stress/structural readout; no selective intervention delta
SEC61B	static_wave21_guardrail	CORE_MACHINERY	core machinery/stress/structural readout; no selective intervention delta
SEL1L3	wave20_orchestrator	DEMOTE_LOCAL_TRIAGE	
SEL1L3	wave20_unrestricted	NO_GO_UNDERCHARACTERIZED_MARKER	wave20_rationale=Thin biology plus no residual, perturbation, direction, or modality.
SH2B3	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=SH2B3_LNK_cytokine_negative_regulator
SH2B3	wave20_genetic_altaxis	NO_GO	gate_failures=target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; real perturbation or strong model support is insufficient; manual_blocker=No direct drug modality; pleiotropic hematopoietic/platelet/cardiovascular locus makes autoimmune-specific targeting unclear.
SIGLEC10	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (1<3 diseases/tissues); state coupling below gate (1<3); directional local negatives present (1 broad negative diseases)
SIGLEC10	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SIGLEC5	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3)
SIGLEC7	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3)
SIGLEC9	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); tractable but saturated ChEMBL small-molecule/assay footprint (410 nM records)
SIRPA	wave19_checkpoint	PARK_LOW	wave19_reason=local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); known checkpoint/tolerance axis with non-novel autoimmune direction
SIRPA	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	wave18_accessible_reason=local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)
SLC15A4	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior SLC15A4/TASL route
SLC15A4	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=SLC15A4_TASL_IRF5_endolysosomal_checkpoint
SMPD1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SNX10	wave19_lysosomal_candidates		
SNX10	wave20_orchestrator	PARK_FOR_WORKER_REVIEW	
SNX10	wave20_unrestricted	LEAST_BAD_COMPARATOR_ONLY	wave20_rationale=Best comparator because it has Crohn/UC myeloid recurrence plus weak model and public macrophage perturbation, but it fails strict residual specificity, modality, safety, and novelty.
SOCS1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SOCS3	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SPI1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
SPP1	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior CD44/SPP1 route
SQSTM1	wave19_lysosomal_candidates		
SQSTM1	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
SQSTM1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
STAT1	static_wave21_guardrail	GENERIC_IFN_JAK	generic IFN/JAK/type-I/type-II IFN route; no new intervention delta
STAT2	static_wave21_guardrail	GENERIC_IFN_JAK	generic IFN/JAK/type-I/type-II IFN route; no new intervention delta
TASL	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior SLC15A4/TASL route
TASL	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=SLC15A4_TASL_IRF5_endolysosomal_checkpoint
TFE3	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior TFEB/TFE3 autophagy route
TFE3	wave19_lysosomal_candidates		
TFE3	wave19_lysosomal_routes	NO_GO	TFEB_TFE3_CLEAR_activation: Local TFEB/TFE3 expression is not recurrently positive; both have negative broad h5ad disease calls.
TFE3	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TFEB	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior TFEB/TFE3 autophagy route
TFEB	wave19_lysosomal_candidates		
TFEB	wave19_lysosomal_routes	NO_GO	TFEB_TFE3_CLEAR_activation: Local TFEB/TFE3 expression is not recurrently positive; both have negative broad h5ad disease calls.
TFEB	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TIGIT	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=5332, CT.gov=5)
TIGIT	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TIMP1	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	matrix/remodeling and repair-liability route; no new intervention delta
TNFAIP3	wave14_gate_matrix	HAND_CURATED	prior hand-curated gate matrix candidate=TNFAIP3_A20_negative_regulator
TNFAIP3	wave20_genetic_altaxis	NO_GO	gate_failures=target-level coloc/MR signal not established; not druggable now for the required autoimmune direction; blocking or near-blocking prior art for autoimmune use; manual_blocker=Strong biology but direct restoration modality is not druggable now; broad NF-kappaB prior art and haploinsufficiency literature are crowded.
TNFAIP8L1	wave20_orchestrator	DEMOTE_LOCAL_TRIAGE	
TNFAIP8L1	wave20_unrestricted	NO_GO_THIN_INTRACELLULAR_MARKER	wave20_rationale=Four-disease expression recurrence collapses under residual/model gates.
TPM4	static_wave21_guardrail	CORE_MACHINERY	core machinery/stress/structural readout; no selective intervention delta
TREM1	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement/Fc/TAM/TREM route
TREM2	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement/Fc/TAM/TREM route
TREM2	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	wave18_accessible_reason=local recurrence below promotion threshold (1<4 disease union); confounder/myeloid dominance high in surface screen (6 diseases)
TSC1	wave19_lysosomal_candidates		
TSC1	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
TSC1	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TSC2	wave19_lysosomal_candidates		
TSC2	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
TSC2	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TYK2	static_wave21_guardrail	GENERIC_IFN_JAK	generic IFN/JAK/type-I/type-II IFN route; no new intervention delta
TYK2	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
TYK2	wave20_genetic_altaxis	NO_GO	gate_failures=explicitly excluded: generic JAK/IFN-family route; no new modality/population delta found; blocking or near-blocking prior art for autoimmune use; manual_blocker=Explicitly excluded generic JAK/IFN route without a new modality or biomarker-delta; TYK2 inhibitors already have autoimmune clinical programs.
TYROBP	static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	prior complement/Fc/TAM/TREM route
ULK1	wave19_lysosomal_candidates		
ULK1	wave19_lysosomal_routes	NO_GO	mTOR_autophagy_modulation: Promotion criteria demote broad toxic lysosome/autophagy routes; local V3 does not rescue specificity.
VPS35	wave19_lysosomal_candidates		
VSIG4	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (2 broad negative diseases)
VSIR	wave19_checkpoint	NO_GO	wave19_reason=local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases); tractable but saturated ChEMBL small-molecule/assay footprint (159 nM records)
VSIR	wave19_orchestrator	DEMOTE_LOCAL_TRIAGE	
